Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2017-09-18,2725.0,3024.0,2725.0,2891.55,1766.0,6019374,17402746355.9,3024.0,2725.0,2891.12,1561829,25.95,EQ
2017-09-19,2946.0,2995.0,2872.4,2892.5,2891.55,793984,2334634506.75,3024.0,2725.0,2940.4,189771,23.9,EQ
2017-09-20,2888.0,2888.0,2752.85,2806.85,2892.5,502724,1413566060.3,3024.0,2725.0,2811.81,102847,20.46,EQ
2017-09-21,2803.6,2803.6,2684.0,2764.35,2806.85,319940,878066919.05,3024.0,2684.0,2744.47,91466,28.59,EQ
2017-09-22,2790.45,2790.45,2635.0,2659.65,2764.35,188337,508879465.0,3024.0,2635.0,2701.96,67713,35.95,EQ
2017-09-25,2620.0,2705.6,2506.35,2612.75,2659.65,331770,859654750.3,3024.0,2506.35,2591.12,105645,31.84,EQ
2017-09-26,2616.1,2679.0,2616.1,2634.95,2612.75,106349,281228908.6,3024.0,2506.35,2644.4,29234,27.49,EQ
2017-09-27,2658.0,2708.8,2569.9,2599.8,2634.95,135647,358356623.2,3024.0,2506.35,2641.83,40821,30.09,EQ
2017-09-28,2608.0,2660.0,2590.55,2633.9,2599.8,66796,175786763.15,3024.0,2506.35,2631.7,19539,29.25,EQ
2017-09-29,2646.0,2683.9,2640.0,2648.75,2633.9,58554,155831394.2,3024.0,2506.35,2661.33,18152,31.0,EQ
2017-10-03,2665.0,2715.0,2578.8,2695.9,2648.75,81130,217307958.55,3024.0,2506.35,2678.52,24114,29.72,EQ
2017-10-04,2710.15,2749.0,2677.0,2722.8,2695.9,78968,214812510.05,3024.0,2506.35,2720.25,22241,28.16,EQ
2017-10-05,2715.0,2741.0,2687.0,2697.15,2722.8,73062,198213183.2,3024.0,2506.35,2712.94,30593,41.87,EQ
2017-10-06,2701.25,2745.0,2663.5,2677.2,2697.15,49385,133639687.2,3024.0,2506.35,2706.08,27664,56.02,EQ
2017-10-09,2677.0,2709.95,2601.5,2631.65,2677.2,45353,120938036.55,3024.0,2506.35,2666.59,22821,50.32,EQ
2017-10-10,2635.0,2681.3,2622.0,2662.75,2631.65,48630,128840875.35,3024.0,2506.35,2649.41,21368,43.94,EQ
2017-10-11,2745.0,2755.0,2651.25,2667.45,2662.75,121158,327818993.3,3024.0,2506.35,2705.71,39494,32.6,EQ
2017-10-12,2696.0,2754.0,2670.0,2742.7,2667.45,83492,226730976.95,3024.0,2506.35,2715.6,47948,57.43,EQ
2017-10-13,2746.0,2787.0,2720.1,2734.05,2742.7,49186,135663556.8,3024.0,2506.35,2758.17,22329,45.4,EQ
2017-10-16,2740.0,2745.45,2660.3,2671.85,2734.05,29702,79996795.6,3024.0,2506.35,2693.31,16463,55.43,EQ
2017-10-17,2656.0,2682.0,2632.05,2651.15,2671.85,22621,60145244.45,3024.0,2506.35,2658.82,9517,42.07,EQ
2017-10-18,2645.5,2680.0,2634.4,2662.7,2651.15,18340,48730372.1,3024.0,2506.35,2657.05,8462,46.14,EQ
2017-10-19,2660.0,2686.95,2630.1,2654.85,2662.7,4823,12829359.85,3024.0,2506.35,2660.04,2842,58.93,EQ
2017-10-23,2655.0,2670.35,2646.05,2655.95,2654.85,28403,75442928.7,3024.0,2506.35,2656.16,16854,59.34,EQ
2017-10-24,2658.9,2805.0,2651.95,2760.3,2655.95,127849,351166023.3,3024.0,2506.35,2746.72,56556,44.24,EQ
2017-10-25,2780.0,2805.7,2680.0,2768.15,2760.3,50483,138965509.75,3024.0,2506.35,2752.72,21888,43.36,EQ
2017-10-26,2723.1,2778.45,2723.0,2754.25,2768.15,35734,98413799.85,3024.0,2506.35,2754.07,20005,55.98,EQ
2017-10-27,2765.0,2765.0,2720.0,2737.3,2754.25,26625,73067512.45,3024.0,2506.35,2744.32,18687,70.19,EQ
2017-10-30,2740.0,2780.0,2730.0,2736.7,2737.3,62954,173259078.1,3024.0,2506.35,2752.15,42322,67.23,EQ
2017-10-31,2730.0,2759.0,2675.0,2724.3,2736.7,49346,134045032.95,3024.0,2506.35,2716.43,28795,58.35,EQ
2017-11-01,2729.0,2742.2,2705.0,2712.3,2724.3,6784,18460734.7,3024.0,2506.35,2721.22,3363,49.57,EQ
2017-11-02,2731.9,2740.0,2700.0,2704.0,2712.3,9387,25442591.25,3024.0,2506.35,2710.41,5822,62.02,EQ
2017-11-03,2713.9,2714.0,2683.1,2688.35,2704.0,12047,32436063.05,3024.0,2506.35,2692.46,7480,62.09,EQ
2017-11-06,2688.0,2720.0,2669.05,2692.4,2688.35,11698,31524572.3,3024.0,2506.35,2694.87,5320,45.48,EQ
2017-11-07,2699.0,2703.0,2650.0,2667.6,2692.4,13244,35409949.5,3024.0,2506.35,2673.66,6959,52.54,EQ
2017-11-08,2661.05,2708.8,2651.0,2683.25,2667.6,13108,35120018.45,3024.0,2506.35,2679.28,6259,47.75,EQ
2017-11-09,2663.0,2720.0,2660.0,2677.6,2683.25,13395,36067178.85,3024.0,2506.35,2692.59,6926,51.71,EQ
2017-11-10,2659.0,2713.9,2659.0,2695.3,2677.6,17773,47822659.1,3024.0,2506.35,2690.75,9276,52.19,EQ
2017-11-13,2695.0,2725.0,2683.45,2704.85,2695.3,16599,44953164.65,3024.0,2506.35,2708.19,8851,53.32,EQ
2017-11-14,2686.8,2750.0,2686.8,2731.2,2704.85,18111,49433378.85,3024.0,2506.35,2729.47,10555,58.28,EQ
