Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2011-01-03,1167.0,1176.95,1154.55,1158.05,1165.65,702521,817004362.85,1180.0,685.25,1162.96,424604,60.44,EQ
2011-01-04,1163.9,1166.15,1138.1,1144.75,1158.05,1251434,1444351130.85,1180.0,685.25,1154.16,704124,56.27,EQ
2011-01-05,1145.25,1165.9,1141.75,1158.95,1144.75,1534837,1772568663.05,1180.0,685.25,1154.89,917295,59.76,EQ
2011-01-06,1168.0,1182.0,1153.1,1171.7,1158.95,1423360,1657361934.55,1182.0,685.25,1164.4,885495,62.21,EQ
2011-01-07,1176.0,1186.85,1138.15,1142.65,1171.7,1266362,1468752976.45,1186.85,685.25,1159.82,661873,52.27,EQ
2011-01-10,1147.5,1149.0,1121.0,1130.9,1142.65,1976213,2239793499.55,1186.85,685.25,1133.38,1217232,61.59,EQ
2011-01-11,1123.0,1135.55,1087.8,1098.5,1130.9,1884365,2090440983.6,1186.85,685.25,1109.36,877807,46.58,EQ
2011-01-12,1109.9,1151.6,1108.0,1135.95,1098.5,1580437,1787087391.1,1186.85,685.25,1130.76,717198,45.38,EQ
2011-01-13,1128.95,1155.95,1116.2,1124.25,1135.95,2794599,3162502979.85,1186.85,685.25,1131.65,1518581,54.34,EQ
2011-01-14,1129.9,1150.0,1120.0,1120.15,1124.25,1575846,1774164052.8,1186.85,685.25,1125.85,709385,45.02,EQ
2011-01-17,1121.2,1146.55,1120.0,1137.4,1120.15,1500106,1702840399.95,1186.85,685.25,1135.15,631675,42.11,EQ
2011-01-18,1174.0,1208.9,1164.35,1202.55,1137.4,4240685,5038138330.8,1208.9,685.25,1188.05,1688885,39.83,EQ
2011-01-19,1203.45,1209.0,1185.0,1193.0,1202.55,1476020,1760481172.0,1209.0,685.25,1192.72,742407,50.3,EQ
2011-01-20,1180.0,1218.75,1180.0,1212.2,1193.0,2272604,2749523938.85,1218.75,685.25,1209.86,1296599,57.05,EQ
2011-01-21,1210.0,1220.0,1204.0,1211.65,1212.2,1298702,1574156812.45,1220.0,685.25,1212.1,810356,62.4,EQ
2011-01-24,1200.0,1220.0,1198.25,1209.2,1211.65,1008339,1220005023.9,1220.0,685.25,1209.92,573084,56.83,EQ
2011-01-25,1214.8,1219.3,1180.0,1188.55,1209.2,1233547,1483701990.95,1220.0,685.25,1202.79,763327,61.88,EQ
2011-01-27,1187.55,1209.95,1181.6,1199.4,1188.55,2357059,2821576014.15,1220.0,685.25,1197.07,1524625,64.68,EQ
2011-01-28,1195.0,1203.6,1165.25,1181.35,1199.4,1507289,1782205433.85,1220.0,685.25,1182.39,815369,54.1,EQ
2011-01-31,1169.0,1169.0,1128.55,1159.5,1181.35,2970408,3400628008.3,1220.0,685.25,1144.84,1670207,56.23,EQ
2011-02-01,1165.0,1165.0,1133.0,1150.15,1159.5,2106354,2416723190.35,1220.0,685.25,1147.35,1295553,61.51,EQ
2011-02-02,1170.0,1198.9,1162.35,1182.45,1150.15,1968809,2334998156.15,1220.0,685.25,1186.0,1006307,51.11,EQ
2011-02-03,1184.7,1195.7,1170.65,1183.7,1182.45,941706,1116029932.95,1220.0,685.25,1185.12,342730,36.39,EQ
2011-02-04,1176.0,1183.1,1140.25,1148.8,1183.7,1728800,1998269215.2,1220.0,685.25,1155.87,838937,48.53,EQ
2011-02-07,1173.5,1173.5,1126.5,1131.15,1148.8,1289191,1474002848.8,1220.0,685.25,1143.35,568252,44.08,EQ
2011-02-08,1132.0,1149.9,1118.5,1125.1,1131.15,2644319,3000149081.1,1220.0,685.25,1134.56,1469806,55.58,EQ
2011-02-09,1122.5,1129.6,1083.7,1098.3,1125.1,3006366,3340065735.4,1220.0,685.25,1111.0,1645140,54.72,EQ
2011-02-10,1100.0,1114.5,1072.0,1090.75,1098.3,2275911,2473758227.0,1220.0,685.25,1086.93,1283088,56.38,EQ
2011-02-11,1084.1,1104.2,1055.9,1089.6,1090.75,1472528,1586818351.05,1220.0,685.25,1077.62,871941,59.21,EQ
2011-02-14,1091.0,1120.0,1087.0,1112.3,1089.6,1231274,1362835339.05,1220.0,685.25,1106.85,607668,49.35,EQ
2011-02-15,1119.0,1119.0,1076.55,1097.7,1112.3,1812713,1979075629.7,1220.0,685.25,1091.78,959233,52.92,EQ
2011-02-16,1105.0,1109.7,1081.0,1096.5,1097.7,1232296,1350167386.5,1220.0,685.25,1095.65,510445,41.42,EQ
2011-02-17,1105.0,1114.45,1092.4,1109.2,1096.5,738880,817399852.75,1220.0,685.25,1106.27,264799,35.84,EQ
2011-02-18,1110.25,1132.4,1082.1,1089.7,1109.2,2038464,2270496667.1,1220.0,685.25,1113.83,912124,44.75,EQ
2011-02-21,1090.0,1148.0,1058.2,1138.6,1089.7,2828900,3128920731.15,1220.0,685.25,1106.06,1394666,49.3,EQ
2011-02-22,1122.65,1147.7,1120.0,1138.75,1138.6,1652700,1878995154.8,1220.0,685.25,1136.92,724532,43.84,EQ
2011-02-23,1128.15,1144.95,1123.1,1125.55,1138.75,939672,1063842509.55,1220.0,685.25,1132.14,426440,45.38,EQ
2011-02-24,1119.0,1138.75,1091.3,1111.8,1125.55,2689415,2999435413.35,1220.0,685.25,1115.27,1458606,54.24,EQ
2011-02-25,1105.3,1117.0,1088.25,1110.05,1111.8,1535237,1695389292.85,1220.0,685.25,1104.32,729405,47.51,EQ
2011-02-28,1101.2,1148.25,1100.0,1110.25,1110.05,1614698,1802876556.35,1220.0,685.25,1116.54,710111,43.98,EQ
2011-03-01,1113.0,1132.0,1097.6,1124.5,1110.25,1583902,1767004435.35,1220.0,685.25,1115.6,671124,42.37,EQ
2011-03-03,1119.9,1155.0,1107.0,1150.2,1124.5,1726300,1959770617.3,1220.0,685.25,1135.24,844307,48.91,EQ
2011-03-04,1163.35,1163.35,1132.5,1135.55,1150.2,1030599,1182036663.75,1220.0,685.25,1146.94,440342,42.73,EQ
2011-03-07,1124.0,1125.0,1094.45,1108.25,1135.55,2092294,2320055941.6,1220.0,685.25,1108.86,1356045,64.81,EQ
2011-03-08,1105.15,1128.8,1105.15,1117.7,1108.25,1973951,2210403597.8,1220.0,685.25,1119.79,1187123,60.14,EQ
2011-03-09,1122.55,1138.0,1118.5,1126.7,1117.7,1212243,1365969988.55,1220.0,685.25,1126.81,629588,51.94,EQ
2011-03-10,1122.0,1122.0,1100.0,1108.55,1126.7,935662,1037109948.9,1220.0,685.25,1108.42,541259,57.85,EQ
2011-03-11,1100.0,1102.4,1063.3,1077.05,1108.55,2506441,2710579632.6,1220.0,685.25,1081.45,1456034,58.09,EQ
2011-03-14,1071.0,1102.0,1058.4,1097.55,1077.05,1624309,1753998752.15,1220.0,685.25,1079.84,676657,41.66,EQ
2011-03-15,1075.0,1095.45,1065.65,1089.8,1097.55,1705934,1850865088.5,1220.0,685.25,1084.96,891542,52.26,EQ
2011-03-16,1092.0,1123.45,1091.15,1114.85,1089.8,1338937,1488916006.45,1220.0,685.25,1112.01,669008,49.97,EQ
2011-03-17,1105.0,1118.9,1092.65,1098.0,1114.85,1028051,1132638885.5,1220.0,685.25,1101.73,494278,48.08,EQ
2011-03-18,1093.5,1109.0,1076.1,1082.75,1098.0,1105674,1197517240.4,1220.0,685.25,1083.07,559058,50.56,EQ
2011-03-21,1091.5,1091.5,1066.5,1070.8,1082.75,1309545,1408986677.65,1220.0,685.25,1075.94,867269,66.23,EQ
2011-03-22,1075.1,1080.0,1063.0,1069.5,1070.8,1328887,1423522335.2,1220.0,685.25,1071.21,905594,68.15,EQ
2011-03-23,1071.0,1071.0,1057.25,1064.35,1069.5,2176124,2315843583.6,1220.0,685.25,1064.21,1536592,70.61,EQ
2011-03-24,1071.0,1095.55,1070.0,1093.4,1064.35,1547417,1680445483.55,1220.0,685.25,1085.97,903290,58.37,EQ
2011-03-25,1116.85,1128.5,1103.75,1119.65,1093.4,2073217,2314967999.75,1220.0,685.25,1116.61,1247958,60.19,EQ
2011-03-28,1123.85,1126.7,1108.0,1119.9,1119.65,1124321,1256819928.1,1220.0,685.25,1117.85,576272,51.26,EQ
2011-03-29,1120.0,1151.9,1119.15,1138.7,1119.9,1579794,1800674665.5,1220.0,685.25,1139.82,751258,47.55,EQ
2011-03-30,1148.0,1164.0,1144.9,1151.95,1138.7,1147385,1325737207.5,1220.0,685.25,1155.44,629350,54.85,EQ
2011-03-31,1152.0,1198.0,1152.0,1183.9,1151.95,3697063,4375747419.7,1220.0,685.25,1183.57,2280917,61.7,EQ
2011-04-01,1185.0,1198.75,1172.55,1180.15,1183.9,899812,1063511158.85,1220.0,685.25,1181.93,465670,51.75,EQ
2011-04-04,1185.0,1216.0,1184.0,1213.2,1180.15,1155808,1387374105.95,1220.0,685.25,1200.35,549176,47.51,EQ
2011-04-05,1215.05,1243.95,1203.75,1239.85,1213.2,1445507,1766039561.7,1243.95,685.25,1221.74,763864,52.84,EQ
2011-04-06,1239.0,1246.95,1214.15,1221.85,1239.85,1211176,1488593712.65,1246.95,685.25,1229.05,636619,52.56,EQ
2011-04-07,1220.0,1220.0,1195.15,1199.2,1221.85,1074508,1292043964.45,1246.95,685.25,1202.45,631298,58.75,EQ
2011-04-08,1196.9,1214.0,1184.75,1196.0,1199.2,991884,1185116914.4,1246.95,685.25,1194.81,460690,46.45,EQ
2011-04-11,1180.15,1195.0,1175.3,1178.4,1196.0,1128116,1335817320.85,1246.95,685.25,1184.11,719588,63.79,EQ
2011-04-13,1175.0,1221.4,1174.3,1210.1,1178.4,1878765,2265745726.4,1246.95,685.25,1205.98,1146047,61.0,EQ
2011-04-15,1216.9,1219.9,1180.0,1191.4,1210.1,3783385,4526860783.0,1246.95,685.25,1196.51,2029316,53.64,EQ
