Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,10.66,11.46,10.65,11.26,29560100,10.49
2008-12-30,9.86,10.70,9.65,10.69,25456900,9.96
2008-12-29,10.00,10.25,9.52,9.73,10085900,9.06
2008-12-26,9.39,9.84,9.30,9.78,7650400,9.11
2008-12-24,9.64,9.66,9.31,9.39,4550000,8.75
2008-12-23,9.40,9.77,9.26,9.57,16502000,8.92
2008-12-22,9.90,9.99,8.95,9.23,22861700,8.60
2008-12-19,10.04,10.13,9.61,9.70,29015600,9.04
2008-12-18,10.56,10.57,9.72,9.77,23334600,9.10
2008-12-17,10.16,10.92,10.08,10.35,23803800,9.64
2008-12-16,10.07,10.40,9.82,10.39,19698500,9.68
2008-12-15,10.23,10.50,9.76,9.91,18700000,9.23
2008-12-12,9.37,10.14,9.25,10.08,27403600,9.39
2008-12-11,10.06,10.58,9.73,9.98,24013500,9.30
2008-12-10,10.10,10.30,9.91,10.20,22589500,9.50
2008-12-09,9.54,10.28,9.22,9.55,29108300,8.90
2008-12-08,8.81,9.77,8.75,9.58,38981800,8.93
2008-12-05,8.11,8.26,7.46,8.15,50684700,7.59
2008-12-04,9.17,9.17,7.93,8.06,35759300,7.51
2008-12-03,9.03,9.41,8.63,9.29,25642900,8.65
2008-12-02,9.75,10.01,9.37,9.76,21725600,9.09
2008-12-01,10.18,10.42,9.26,9.31,23760300,8.67
2008-11-28,10.40,10.80,9.97,10.76,12408400,10.02
2008-11-26,9.48,10.52,9.24,10.48,18441300,9.76
2008-11-25,9.56,9.85,9.04,9.70,26161400,9.04
2008-11-24,9.00,9.34,8.60,9.15,34169300,8.52
2008-11-21,7.61,8.50,7.27,8.44,48341500,7.86
2008-11-20,8.07,8.12,6.80,6.85,51029500,6.38
2008-11-19,9.35,9.37,8.11,8.16,33912000,7.60
2008-11-18,9.92,9.98,9.25,9.48,23024200,8.83
2008-11-17,10.51,10.69,9.66,9.67,25257200,9.01
2008-11-14,10.97,11.83,10.78,10.84,26030900,10.10
2008-11-13,10.43,11.30,9.50,11.20,32862500,10.43
2008-11-12,10.49,10.87,10.16,10.17,18126400,9.47
2008-11-11,11.20,11.37,10.63,10.94,21032100,10.19
2008-11-10,11.80,12.04,11.55,11.78,21502900,10.97
2008-11-07,10.47,11.28,10.39,11.19,19670700,10.42
2008-11-06,11.50,11.72,10.15,10.26,24528500,9.56
2008-11-05,12.22,12.45,11.70,11.80,21865700,10.99
2008-11-04,12.34,12.57,12.14,12.47,27848900,11.46
2008-11-03,11.83,12.12,11.28,11.88,21106500,10.92
2008-10-31,11.37,11.58,11.06,11.50,24523800,10.57
2008-10-30,11.69,11.88,11.01,11.45,28523000,10.52
2008-10-29,11.04,11.75,10.53,11.15,31628000,10.25
2008-10-28,9.50,10.83,9.00,10.78,32922500,9.91
2008-10-27,9.46,9.72,9.04,9.04,24810300,8.31
2008-10-24,9.33,9.94,9.05,9.41,31848900,8.65
2008-10-23,10.63,10.85,9.52,9.99,45439000,9.18
2008-10-22,11.69,11.76,10.15,10.52,42094200,9.67
2008-10-21,12.12,12.79,11.75,12.15,21362600,11.17
2008-10-20,12.20,12.42,11.73,12.41,23577400,11.40
2008-10-17,11.89,13.07,11.58,11.80,25961500,10.84
2008-10-16,11.55,12.28,10.96,12.21,30065700,11.22
2008-10-15,12.64,12.76,11.25,11.33,33351800,10.41
2008-10-14,14.65,15.00,12.60,12.99,27870200,11.94
2008-10-13,13.39,14.14,12.10,13.82,30195300,12.70
2008-10-10,11.64,13.20,10.51,11.25,44527500,10.34
2008-10-09,15.06,15.86,11.98,12.46,31007000,11.45
2008-10-08,15.16,15.49,13.40,14.71,58221000,13.52
2008-10-07,18.45,18.94,16.71,16.71,26210300,15.36
2008-10-06,18.65,19.00,16.70,18.11,31042600,16.64
2008-10-03,19.81,21.18,18.98,19.24,24410000,17.68
2008-10-02,21.08,21.18,19.24,19.38,25943800,17.81
2008-10-01,22.35,22.35,20.79,21.27,22614500,19.55
2008-09-30,22.06,22.61,21.74,22.58,15930800,20.75
