Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,8.10,8.47,8.10,8.24,6924100,8.13
2008-12-30,7.90,8.14,7.80,8.11,3412100,8.00
2008-12-29,7.76,7.96,7.58,7.85,5222300,7.74
2008-12-26,7.66,7.84,7.59,7.77,1695000,7.66
2008-12-24,7.63,7.67,7.57,7.62,1157600,7.52
2008-12-23,7.85,8.06,7.50,7.59,4497400,7.49
2008-12-22,7.90,8.11,7.58,7.80,7714500,7.69
2008-12-19,8.30,8.42,7.35,7.88,12824200,7.77
2008-12-18,7.54,8.24,7.47,8.05,11763700,7.94
2008-12-17,7.82,7.91,7.52,7.53,14662900,7.43
2008-12-16,7.06,8.00,7.06,7.99,10959400,7.88
2008-12-15,7.28,7.50,6.87,7.00,5347000,6.90
2008-12-12,6.89,7.27,6.68,7.27,7883100,7.17
2008-12-11,7.19,7.48,6.94,7.12,4235800,7.02
2008-12-10,7.24,7.52,6.93,7.03,7617000,6.93
2008-12-09,7.06,7.39,6.99,7.17,6570500,7.07
2008-12-08,6.59,7.25,6.53,7.06,11081800,6.96
2008-12-05,6.79,6.79,5.80,6.40,15601000,6.31
2008-12-04,7.00,7.39,6.73,6.91,9626800,6.82
2008-12-03,7.43,7.58,6.99,7.18,15197000,7.08
2008-12-02,7.10,7.90,6.95,7.82,12401100,7.71
2008-12-01,7.44,7.44,6.85,6.91,9130200,6.82
2008-11-28,7.45,7.82,7.45,7.69,3550800,7.58
2008-11-26,7.29,7.60,7.07,7.58,6784100,7.48
2008-11-25,7.70,7.71,7.05,7.49,10225100,7.39
2008-11-24,7.43,7.50,7.08,7.21,9927200,7.11
2008-11-21,7.10,7.30,6.53,7.26,10288800,7.16
2008-11-20,7.24,7.73,6.74,6.89,14549600,6.80
2008-11-19,7.99,8.19,7.51,7.55,8586600,7.45
2008-11-18,8.16,8.40,7.76,8.04,8100800,7.93
2008-11-17,8.12,8.70,7.90,8.20,9332800,8.09
2008-11-14,8.02,8.82,7.74,8.28,11281800,8.17
2008-11-13,7.42,8.49,7.34,8.26,22789600,8.15
2008-11-12,6.95,7.65,6.88,7.35,8740900,7.25
2008-11-11,7.56,7.62,6.71,7.18,10643500,7.08
2008-11-10,8.94,9.29,7.50,7.69,9820200,7.58
2008-11-07,6.84,8.57,6.84,8.48,12839700,8.36
2008-11-06,7.27,7.41,6.44,6.61,7911100,6.52
2008-11-05,7.55,7.61,7.10,7.24,9082200,7.14
2008-11-04,8.15,8.29,7.50,7.78,8779500,7.67
2008-11-03,7.80,8.17,7.62,7.92,5373300,7.81
2008-10-31,8.21,8.31,7.45,7.97,8303000,7.86
2008-10-30,7.77,8.98,7.72,8.10,12608500,7.99
2008-10-29,7.79,8.04,7.30,7.59,10107000,7.49
2008-10-28,7.50,7.90,6.30,7.85,12796800,7.74
2008-10-27,7.71,7.84,7.04,7.09,5757800,6.99
2008-10-24,7.70,8.00,7.06,7.86,9916300,7.75
2008-10-23,8.35,8.98,7.84,8.42,13458600,8.30
2008-10-22,9.60,9.72,8.05,8.31,11790500,8.20
2008-10-21,9.79,10.27,9.47,9.86,8626500,9.73
2008-10-20,8.25,9.91,8.25,9.89,14757900,9.75
2008-10-17,7.55,8.73,7.39,8.16,11730700,8.05
2008-10-16,8.14,8.51,7.51,7.74,12998400,7.63
2008-10-15,8.67,8.75,7.88,8.11,9721800,8.00
2008-10-14,9.87,10.23,8.43,8.93,13832300,8.81
2008-10-13,8.19,9.47,7.65,9.47,7508000,9.34
2008-10-10,8.21,8.21,6.66,7.63,17104500,7.53
2008-10-09,9.11,9.26,8.39,8.63,9875100,8.51
2008-10-08,9.09,9.78,8.90,9.09,14983400,8.97
2008-10-07,8.98,9.30,8.70,9.16,15884100,9.03
2008-10-06,9.70,10.76,8.38,8.83,13598500,8.71
2008-10-03,10.59,10.80,9.82,9.92,7304400,9.78
2008-10-02,11.20,11.32,10.25,10.45,6733300,10.31
2008-10-01,11.59,11.74,11.13,11.28,4878400,11.13
2008-09-30,11.48,11.85,11.13,11.69,5533700,11.53
2008-09-29,12.40,12.49,10.99,11.40,10533600,11.24
2008-09-26,12.90,12.96,12.40,12.58,5716300,12.41
2008-09-25,12.64,13.31,12.52,13.07,5606600,12.89
2008-09-24,12.75,12.86,12.35,12.54,6035100,12.37
2008-09-23,12.74,13.04,12.56,12.82,5587800,12.64
2008-09-22,13.30,13.43,12.68,12.81,7152600,12.63
2008-09-19,12.79,13.75,12.26,13.21,15522300,13.03
2008-09-18,11.34,12.32,10.90,12.02,19026400,11.86
2008-09-17,12.20,12.46,11.13,11.23,17203000,11.08
2008-09-16,12.72,12.83,11.90,12.43,12643500,12.26
2008-09-15,13.71,13.87,12.86,12.89,8131600,12.71
