Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,1.54,1.57,1.52,1.57,1337300,25.99
2008-12-30,1.57,1.58,1.52,1.56,1111300,25.83
2008-12-29,1.60,1.62,1.53,1.55,1059100,25.66
2008-12-26,1.59,1.59,1.52,1.57,755300,25.99
2008-12-24,1.56,1.57,1.52,1.56,621500,25.83
2008-12-23,1.63,1.65,1.52,1.55,1609500,25.66
2008-12-22,1.70,1.71,1.61,1.61,1404000,26.65
2008-12-19,1.68,1.69,1.60,1.60,2331400,26.49
2008-12-18,1.75,1.76,1.67,1.67,1697000,27.65
2008-12-17,1.75,1.77,1.71,1.75,1370300,28.97
2008-12-16,1.79,1.80,1.72,1.80,2053400,29.80
2008-12-15,1.84,1.85,1.69,1.74,1349600,28.81
2008-12-12,1.70,1.80,1.66,1.80,1937600,29.80
2008-12-11,1.79,1.81,1.73,1.73,2048000,28.64
2008-12-10,1.87,1.89,1.65,1.75,3954600,28.97
2008-12-09,1.92,1.97,1.86,1.93,1923400,31.95
2008-12-08,2.04,2.07,1.92,1.93,2736900,31.95
2008-12-05,1.81,1.95,1.75,1.94,2897200,32.12
2008-12-04,1.92,2.01,1.81,1.84,2639400,30.46
2008-12-03,1.82,2.12,1.80,2.01,4838800,33.28
2008-12-02,1.79,1.87,1.71,1.87,2199000,30.96
2008-12-01,1.96,2.00,1.65,1.65,2787000,27.32
2008-11-28,2.00,2.03,1.92,2.01,1616100,33.28
2008-11-26,1.73,1.96,1.71,1.95,2905300,32.28
2008-11-25,1.77,1.78,1.67,1.77,2439400,29.30
2008-11-24,1.73,1.77,1.61,1.77,2619000,29.30
2008-11-21,1.70,1.70,1.50,1.60,4669500,26.49
2008-11-20,1.58,1.70,1.44,1.44,4236800,23.84
2008-11-19,1.85,1.86,1.56,1.56,3124100,25.83
2008-11-18,1.94,1.97,1.80,1.95,2552400,32.28
2008-11-17,2.09,2.10,1.91,1.91,2740500,31.62
2008-11-14,2.11,2.20,2.06,2.08,2885200,34.44
2008-11-13,2.11,2.23,1.97,2.06,4628900,34.11
2008-11-12,2.15,2.28,2.03,2.03,2998100,33.61
2008-11-11,2.17,2.35,2.03,2.26,4500000,37.42
2008-11-10,2.77,2.84,2.25,2.28,10547100,37.75
2008-11-07,2.11,2.23,2.04,2.11,3698500,34.93
2008-11-06,1.98,2.00,1.82,1.87,3497900,30.96
2008-11-05,2.36,2.38,2.04,2.06,3930800,34.11
2008-11-04,2.36,2.49,2.31,2.41,5760200,39.90
2008-11-03,2.00,2.20,1.93,2.14,5220300,35.43
2008-10-31,1.63,1.96,1.58,1.91,5075100,31.62
2008-10-30,1.71,1.74,1.59,1.63,4215600,26.99
2008-10-29,1.81,1.82,1.50,1.55,5524000,25.66
2008-10-28,1.65,1.83,1.43,1.83,5216600,30.30
2008-10-27,1.70,1.71,1.35,1.35,5245100,22.35
2008-10-24,1.76,1.93,1.70,1.70,5485200,28.14
2008-10-23,2.22,2.22,2.03,2.10,3258300,34.77
2008-10-22,2.17,2.27,2.11,2.11,2741600,34.93
2008-10-21,2.24,2.35,2.18,2.21,2586400,36.59
2008-10-20,2.34,2.34,2.16,2.31,4207300,38.24
2008-10-17,2.18,2.51,2.10,2.10,5304700,34.77
2008-10-16,2.54,2.54,2.18,2.43,4306000,40.23
2008-10-15,2.67,2.70,2.42,2.43,3301400,40.23
2008-10-14,2.96,2.96,2.51,2.80,5128900,46.36
2008-10-13,2.94,3.00,2.28,2.57,7061200,42.55
2008-10-10,2.10,2.40,1.90,2.33,11405500,38.58
2008-10-09,3.36,3.37,2.39,2.39,11667600,39.57
2008-10-08,3.49,3.80,3.19,3.19,4358800,52.81
2008-10-07,4.22,4.22,3.51,3.51,4508000,58.11
2008-10-06,3.43,3.99,3.25,3.87,6544500,64.07
2008-10-03,4.62,4.96,3.71,3.86,12031200,63.91
2008-10-02,4.39,4.40,3.75,4.00,4906800,66.22
2008-10-01,3.73,4.00,3.50,3.95,6169900,65.40
2008-09-30,3.18,3.56,2.93,3.33,5477400,55.13
2008-09-29,3.35,3.52,2.50,2.50,7705300,41.39
2008-09-26,2.77,3.28,2.75,3.15,6752700,52.15
2008-09-25,3.90,4.36,2.70,3.02,15548500,50.00
2008-09-24,5.34,5.39,3.31,3.31,14057900,54.80
2008-09-23,5.38,5.70,4.80,5.00,12298200,82.78
2008-09-22,4.58,5.52,4.32,4.72,19929200,78.14
2008-09-19,4.18,4.45,2.50,3.85,25083000,63.74
2008-09-18,2.40,2.69,2.10,2.69,12277900,44.54
2008-09-17,2.29,3.10,1.99,2.05,27305000,33.94
2008-09-16,1.85,5.12,1.25,3.75,61554400,62.08
2008-09-15,7.12,7.99,3.50,4.76,36971200,78.81
2008-09-12,15.15,15.40,11.49,12.14,16033200,200.99
2008-09-11,15.70,17.80,13.82,17.55,8484000,290.56
2008-09-10,19.17,19.46,16.86,17.50,4126800,289.73
2008-09-09,22.19,22.39,18.28,18.37,4389100,304.13
2008-09-08,24.47,24.68,21.50,22.76,2774400,376.81
2008-09-05,20.33,22.43,20.29,22.34,2338800,369.86
2008-09-04,21.75,22.29,20.93,21.22,2064200,351.32
2008-09-03,21.83,22.60,21.30,22.58,1388600,373.83
2008-09-02,22.20,22.88,21.38,21.96,1706200,359.92
2008-08-29,21.18,21.67,21.00,21.49,1309900,352.22
2008-08-28,20.43,21.51,20.16,21.51,1970800,352.55
2008-08-27,19.66,20.27,19.50,20.00,1885600,327.80
2008-08-26,18.90,19.76,18.81,19.64,2204400,321.90
2008-08-25,19.18,19.26,18.64,18.78,2428700,307.80
2008-08-22,20.41,20.42,19.49,19.87,2385200,325.67
2008-08-21,20.34,20.57,19.48,19.78,2365600,324.19
