Date,Open,High,Low,Close,Volume,Adj Close
2005-12-30,53.41,53.62,53.39,53.47,909300,42.84
2005-12-29,53.56,54.03,53.46,53.52,997900,42.88
2005-12-28,53.45,53.62,53.24,53.38,913800,42.77
2005-12-27,53.81,53.87,53.03,53.05,1300200,42.50
2005-12-23,54.10,54.10,53.61,53.91,973500,43.19
2005-12-22,53.71,54.06,53.53,53.87,1392200,43.16
2005-12-21,54.10,54.37,53.48,53.71,2024300,43.03
2005-12-20,53.10,54.10,53.10,53.98,2907800,43.25
2005-12-19,53.15,53.33,52.84,53.04,7824600,42.49
2005-12-16,53.91,54.23,52.09,52.65,11200800,42.18
2005-12-15,54.60,55.30,53.94,54.84,3020500,43.94
2005-12-14,55.91,55.92,55.35,55.41,2216800,44.39
2005-12-13,55.25,55.95,55.11,55.92,3576800,44.80
2005-12-12,54.95,55.19,54.89,55.04,1627100,44.10
2005-12-09,54.26,54.76,54.17,54.57,1785900,43.72
2005-12-08,54.64,54.84,54.19,54.36,2575200,43.55
2005-12-07,54.94,55.05,54.52,54.65,2064500,43.78
2005-12-06,55.09,55.57,54.75,54.83,2171800,43.93
2005-12-05,55.75,55.85,54.88,55.11,1679400,44.15
2005-12-02,55.47,56.03,55.18,56.00,1686400,44.86
2005-12-01,54.73,55.58,54.49,55.46,2107800,44.43
2005-11-30,54.60,54.88,54.35,54.49,1852400,43.66
2005-11-29,54.84,54.98,54.44,54.83,1526500,43.93
2005-11-28,54.60,54.96,54.29,54.78,1835000,43.89
2005-11-25,54.64,54.64,54.15,54.16,526200,43.39
2005-11-23,53.72,54.76,53.60,54.63,1846600,43.77
2005-11-22,52.94,53.90,52.94,53.82,1530000,43.12
2005-11-21,53.00,53.40,52.86,53.22,1902500,42.64
2005-11-18,53.53,53.53,52.87,53.28,2115400,42.69
2005-11-17,52.70,53.39,52.57,53.30,2459900,42.70
2005-11-16,53.00,53.05,52.28,52.37,2684100,41.96
2005-11-15,53.31,54.07,53.23,53.52,1876600,42.68
2005-11-14,53.53,53.54,53.20,53.30,1591200,42.50
2005-11-11,53.60,54.12,53.47,54.05,1558900,43.10
2005-11-10,53.00,53.75,52.98,53.59,2517200,42.73
2005-11-09,52.33,52.85,52.30,52.66,2112400,41.99
2005-11-08,52.40,52.49,51.88,52.33,2658100,41.73
2005-11-07,52.12,52.52,51.69,52.39,2183200,41.78
