Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,65.42,65.52,65.00,65.21,1827400,64.52
2013-12-30,65.43,65.61,65.20,65.43,1892700,64.74
2013-12-27,65.07,65.45,64.99,65.37,1814500,64.68
2013-12-26,64.71,64.87,64.49,64.83,1683300,64.14
2013-12-24,64.71,64.89,64.55,64.71,1051200,64.03
2013-12-23,64.92,64.92,64.35,64.63,2525900,63.95
2013-12-20,64.27,65.05,64.17,64.74,4667700,64.05
2013-12-19,64.43,64.56,64.05,64.24,3558000,63.56
2013-12-18,63.78,64.68,62.80,64.64,3940300,63.96
2013-12-17,64.00,64.08,63.28,63.58,2243900,62.91
2013-12-16,64.14,64.40,63.83,64.04,2676600,63.36
2013-12-13,64.13,64.26,63.64,63.98,2130400,63.30
2013-12-12,65.02,65.08,63.96,63.97,3165000,63.29
2013-12-11,64.83,65.34,64.75,64.94,3187900,64.25
2013-12-10,65.46,65.46,64.56,64.69,3225300,64.01
2013-12-09,65.73,65.99,65.50,65.69,2340700,64.99
2013-12-06,65.13,65.87,65.09,65.66,2389300,64.97
2013-12-05,64.84,65.05,64.47,64.54,2057100,63.86
2013-12-04,64.94,65.14,64.32,65.04,2762600,64.35
2013-12-03,65.01,65.43,64.88,65.37,2183700,64.68
2013-12-02,65.64,65.96,65.06,65.28,2458500,64.59
2013-11-29,65.90,66.40,65.73,65.81,1621600,65.11
2013-11-27,66.23,66.25,65.44,65.83,1764000,65.13
2013-11-26,66.10,66.44,65.78,66.01,2539800,65.31
2013-11-25,66.42,66.49,65.83,65.95,2165800,65.25
2013-11-22,65.96,66.42,65.84,66.26,2780700,65.56
2013-11-21,65.37,66.04,65.32,65.98,3404500,65.28
2013-11-20,65.44,65.75,65.04,65.26,2202300,64.57
2013-11-19,64.97,65.39,64.95,65.28,2381900,64.59
2013-11-18,65.80,65.93,65.02,65.18,2039200,64.49
2013-11-15,65.72,65.97,65.38,65.78,2364300,65.08
2013-11-14,65.33,65.71,65.24,65.60,2673700,64.91
2013-11-13,64.60,65.12,64.42,65.09,2727600,64.40
2013-11-12,64.44,64.86,64.00,64.72,3570800,64.04
2013-11-11,64.90,65.11,64.55,64.62,1940000,63.94
2013-11-08,64.65,64.85,64.13,64.83,3020200,64.14
2013-11-07,65.97,65.97,64.62,64.80,4245600,64.11
2013-11-06,65.61,66.05,65.39,66.01,2523600,65.31
2013-11-05,65.55,65.76,65.05,65.36,3571100,64.67
2013-11-04,65.56,65.80,65.21,65.73,2657200,65.03
2013-11-01,64.82,65.56,64.56,65.39,3770700,64.70
2013-10-31,65.00,65.23,64.67,64.73,3944900,64.05
2013-10-30,65.98,66.04,65.06,65.22,2721700,64.53
2013-10-29,64.89,66.00,64.72,65.94,4525900,65.24
2013-10-28,63.69,64.79,63.66,64.76,4087300,64.07
2013-10-25,63.24,63.72,63.08,63.60,4429800,62.93
2013-10-24,62.42,63.30,61.93,63.04,5188300,62.37
2013-10-23,63.19,63.76,63.08,63.47,4075600,62.80
2013-10-22,62.39,63.61,62.25,63.47,3688600,62.80
2013-10-21,62.76,62.78,61.86,62.26,3253500,61.60
2013-10-18,63.13,63.13,62.13,62.81,4716400,62.15
2013-10-17,61.89,63.63,61.79,63.41,4795900,62.40
2013-10-16,61.33,62.35,61.23,62.28,2544400,61.29
2013-10-15,61.51,61.75,61.09,61.23,3007400,60.26
2013-10-14,61.15,61.59,61.06,61.53,1954300,60.55
2013-10-11,60.69,61.47,60.52,61.45,2573500,60.47
2013-10-10,60.65,60.80,60.11,60.79,3003900,59.82
2013-10-09,59.07,60.27,58.94,59.83,4594700,58.88
2013-10-08,59.30,59.60,58.94,58.96,3958200,58.02
2013-10-07,59.01,59.42,58.88,59.21,3725600,58.27
2013-10-04,59.22,59.49,58.90,59.33,2172500,58.39
2013-10-03,59.12,59.51,58.72,59.22,2620000,58.28
2013-10-02,59.70,59.75,59.03,59.43,2736900,58.49
2013-10-01,59.23,60.18,59.08,60.09,2676400,59.14
2013-09-30,60.16,60.54,59.09,59.30,5172800,58.36
2013-09-27,60.07,60.28,59.65,59.93,2945800,58.98
2013-09-26,59.63,60.41,59.49,60.39,2687700,59.43
2013-09-25,60.02,60.13,59.29,59.34,2714500,58.40
2013-09-24,60.02,60.42,59.83,59.87,2600300,58.92
2013-09-23,60.45,60.47,59.94,60.20,1935500,59.24
2013-09-20,60.84,60.99,60.44,60.44,3985400,59.48
2013-09-19,61.24,61.28,60.80,60.97,3252800,60.00
2013-09-18,60.06,61.19,59.80,61.19,3832500,60.22
2013-09-17,59.67,59.99,59.34,59.80,2898000,58.85
2013-09-16,59.78,60.24,59.67,60.02,2384100,59.07
2013-09-13,59.43,59.69,59.27,59.43,1754500,58.49
2013-09-12,59.11,59.38,58.92,59.28,1737700,58.34
2013-09-11,58.49,59.26,58.43,59.25,2194100,58.31
2013-09-10,58.79,59.09,58.29,58.59,2351100,57.66
2013-09-09,58.00,58.78,58.00,58.57,2094000,57.64
2013-09-06,57.76,58.23,57.47,58.00,2752700,57.08
2013-09-05,57.68,57.78,57.36,57.53,2758900,56.62
2013-09-04,57.45,58.19,57.26,57.80,2797900,56.88
2013-09-03,58.35,58.39,57.38,57.45,3376100,56.54
2013-08-30,57.33,57.82,57.25,57.77,3502500,56.85
2013-08-29,57.09,57.56,56.94,57.25,2627300,56.34
2013-08-28,57.51,57.51,57.14,57.27,2641000,56.36
2013-08-27,57.56,57.90,57.41,57.64,2780300,56.72
2013-08-26,59.08,59.25,58.20,58.22,1960700,57.30
2013-08-23,58.51,59.08,58.44,59.03,2728900,58.09
2013-08-22,58.47,58.59,58.25,58.45,3035500,57.52
2013-08-21,59.00,59.05,58.44,58.51,3036800,57.58
2013-08-20,59.24,59.62,59.02,59.09,1946300,58.15
2013-08-19,59.28,59.38,58.91,59.15,2351400,58.21
2013-08-16,59.52,59.67,59.12,59.47,3130100,58.53
2013-08-15,60.30,60.58,59.69,59.81,2814400,58.86
2013-08-14,61.00,61.14,60.44,60.67,2383200,59.71
2013-08-13,61.00,61.20,60.79,61.08,2430100,60.11
2013-08-12,60.30,60.98,60.24,60.96,2276400,59.99
2013-08-09,60.83,61.05,60.47,60.68,1656000,59.72
2013-08-08,61.27,61.50,60.50,60.91,2817000,59.94
2013-08-07,60.80,61.17,60.65,60.94,2469800,59.97
2013-08-06,60.82,61.25,60.76,60.99,2586100,60.02
2013-08-05,60.49,61.08,60.46,60.98,2965100,60.01
