Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,69.95,70.74,69.75,70.65,3281300,69.90
2013-12-30,70.47,70.64,69.87,69.91,3035400,69.17
2013-12-27,70.07,70.59,70.06,70.39,1965600,69.65
2013-12-26,70.00,70.44,69.93,70.19,2413200,69.45
2013-12-24,69.63,69.98,69.31,69.93,1625000,69.19
2013-12-23,70.08,70.75,69.45,69.56,4177400,68.82
2013-12-20,69.11,70.49,69.05,69.88,8311700,69.14
2013-12-19,68.91,69.38,68.72,69.08,6962200,68.35
2013-12-18,69.45,69.60,68.23,69.40,7959500,68.67
2013-12-17,69.82,69.85,69.05,69.06,4880900,68.33
2013-12-16,69.70,70.14,69.52,69.79,4167400,69.05
2013-12-13,69.54,70.16,69.29,69.43,4649000,68.70
2013-12-12,69.13,69.79,68.91,69.48,5714600,68.74
2013-12-11,70.31,70.33,69.05,69.11,5776900,68.38
2013-12-10,70.20,70.63,69.81,70.31,4712300,69.57
2013-12-09,70.55,70.99,70.20,70.44,4952900,69.69
2013-12-06,71.18,71.48,70.20,70.77,5560700,70.02
2013-12-05,71.21,71.35,70.12,70.84,5040400,70.09
2013-12-04,72.34,72.62,71.12,71.41,5399100,70.65
2013-12-03,72.47,73.14,72.14,72.47,5411900,71.70
2013-12-02,73.39,73.49,72.25,72.57,5696100,71.80
2013-11-29,72.64,73.54,72.50,72.80,2434300,72.03
2013-11-27,72.94,73.40,72.38,72.62,3301300,71.85
2013-11-26,72.82,73.51,72.49,72.93,4089800,72.16
2013-11-25,73.76,73.92,72.75,72.81,5294800,72.04
2013-11-22,73.49,74.07,73.24,74.02,3633800,73.24
2013-11-21,72.47,73.60,72.40,73.34,3988900,72.56
2013-11-20,72.49,72.93,72.09,72.25,4139300,71.49
2013-11-19,72.12,72.69,71.76,72.26,7124200,71.50
2013-11-18,73.47,73.63,72.20,72.31,4718300,71.54
2013-11-15,73.55,73.57,72.75,73.30,5341200,72.52
2013-11-14,73.58,73.80,73.20,73.68,3833000,72.90
2013-11-13,72.74,73.36,72.57,73.34,3463600,72.56
2013-11-12,73.25,73.47,72.61,72.82,3125000,72.05
2013-11-11,73.46,73.83,73.33,73.56,2786700,72.78
2013-11-08,72.49,73.72,72.37,73.69,4819600,72.91
2013-11-07,73.85,73.93,72.27,72.51,5836600,71.74
2013-11-06,73.19,73.97,73.11,73.90,5644300,73.12
2013-11-05,73.03,73.28,72.50,72.57,4592500,71.80
2013-11-04,73.37,73.51,72.84,73.33,3604300,72.55
2013-11-01,73.56,73.56,72.21,73.09,4921000,72.32
2013-10-31,73.66,74.48,73.28,73.33,5556600,72.55
2013-10-30,74.40,74.48,72.87,73.25,5278500,72.48
2013-10-29,74.20,74.59,74.00,74.34,3389900,73.55
2013-10-28,73.91,74.06,73.60,73.89,3480100,73.11
2013-10-25,73.53,74.10,73.01,74.06,4218700,73.28
2013-10-24,72.67,73.49,72.44,73.39,3707900,72.61
2013-10-23,72.92,72.92,71.95,72.39,4442600,71.62
2013-10-22,73.26,73.53,72.88,73.26,3597300,72.48
2013-10-21,73.53,73.58,72.90,73.05,3407000,72.28
2013-10-18,73.58,73.59,72.73,73.43,5223700,72.65
2013-10-17,72.68,73.47,72.54,73.41,4494300,72.63
2013-10-16,72.32,73.09,72.20,72.96,5534800,72.19
2013-10-15,71.90,72.25,71.47,71.89,6252200,71.13
2013-10-14,71.30,72.03,71.25,71.96,4223800,71.20
2013-10-11,70.82,71.85,70.76,71.71,4592100,70.95
2013-10-10,69.80,71.11,69.69,71.08,4454400,70.33
2013-10-09,70.24,70.39,69.62,69.77,5768400,68.35
2013-10-08,70.77,71.13,70.15,70.17,5142800,68.74
2013-10-07,70.40,71.18,70.15,70.88,4621600,69.44
2013-10-04,70.18,70.99,70.03,70.97,4996700,69.52
2013-10-03,70.19,70.32,69.57,70.17,6550800,68.74
2013-10-02,70.02,70.57,69.75,70.36,5022400,68.93
2013-10-01,69.46,70.45,69.32,70.04,4141300,68.61
2013-09-30,69.69,69.92,69.30,69.51,4802100,68.09
2013-09-27,70.16,70.38,69.92,70.31,3423000,68.88
2013-09-26,70.34,70.44,69.89,70.23,3836600,68.80
2013-09-25,70.49,70.69,70.03,70.32,3970000,68.89
2013-09-24,70.63,71.04,70.34,70.40,5739700,68.97
2013-09-23,70.66,70.73,69.80,70.58,4680500,69.14
2013-09-20,70.85,71.09,70.27,71.00,10130600,69.55
2013-09-19,70.60,70.91,70.06,70.84,4741300,69.40
2013-09-18,69.59,70.94,69.42,70.56,5209400,69.12
2013-09-17,69.31,69.92,69.26,69.70,3737500,68.28
2013-09-16,69.77,69.81,69.14,69.34,4780300,67.93
2013-09-13,69.14,69.42,68.88,69.19,3996100,67.78
2013-09-12,69.19,69.21,68.72,68.78,3616300,67.38
2013-09-11,68.73,69.38,68.58,69.16,3782500,67.75
2013-09-10,68.90,68.97,68.31,68.66,4464700,67.26
2013-09-09,68.25,68.92,68.05,68.87,5166400,67.47
2013-09-06,67.88,68.77,67.45,68.20,5990100,66.81
2013-09-05,67.66,68.11,67.46,67.77,4285000,66.39
2013-09-04,66.87,68.10,66.71,67.66,6529100,66.28
2013-09-03,66.96,66.99,66.51,66.79,5541900,65.43
2013-08-30,66.28,66.54,66.12,66.30,4963300,64.95
2013-08-29,66.51,66.55,65.98,66.16,4382800,64.81
2013-08-28,66.18,67.33,66.18,66.77,6656000,65.41
2013-08-27,65.95,66.56,65.94,66.02,5352100,64.68
2013-08-26,66.59,66.94,66.21,66.31,3214400,64.96
2013-08-23,66.26,66.65,66.04,66.55,4396400,65.19
2013-08-22,65.58,66.43,65.45,66.15,4100800,64.80
2013-08-21,65.97,66.02,65.29,65.52,4414200,64.19
2013-08-20,65.82,66.40,65.56,65.98,5589600,64.64
2013-08-19,67.41,67.41,65.79,65.83,6449400,64.49
2013-08-16,67.37,67.91,66.97,67.38,6536000,66.01
2013-08-15,66.76,67.70,66.62,67.62,6475900,66.24
2013-08-14,67.15,67.50,66.72,67.16,6488600,65.79
2013-08-13,66.43,67.30,66.30,66.90,4963300,65.54
2013-08-12,66.32,66.52,66.06,66.10,4489200,64.75
2013-08-09,67.01,67.02,66.17,66.83,3668600,65.47
2013-08-08,67.04,67.29,66.37,67.09,4646200,65.72
2013-08-07,66.93,66.97,66.28,66.52,4168400,65.17
2013-08-06,67.12,67.47,66.63,67.09,6248000,65.72
2013-08-05,67.00,67.42,66.57,67.19,4002600,65.82
2013-08-02,65.96,67.23,65.79,67.23,7520800,65.86
2013-08-01,65.72,66.29,65.52,66.09,7272900,64.74
2013-07-31,64.92,65.64,64.86,64.86,5529900,63.54
2013-07-30,65.45,65.46,64.51,64.83,5285100,63.51
2013-07-29,65.54,65.58,64.90,65.18,4255200,63.85
2013-07-26,65.41,65.73,65.33,65.72,3118000,64.38
2013-07-25,65.41,65.93,65.30,65.71,4094800,64.37
2013-07-24,66.25,66.25,65.13,65.59,5025400,64.25
2013-07-23,65.97,66.24,65.92,66.12,4089800,64.77
2013-07-22,66.08,66.17,65.72,65.83,3984000,64.49
2013-07-19,65.59,66.00,65.28,66.00,6958100,64.66
2013-07-18,65.37,65.78,65.15,65.30,5061400,63.97
2013-07-17,65.24,65.64,65.13,65.56,4853300,63.55
2013-07-16,65.24,65.40,64.71,64.95,16526800,62.96
2013-07-15,64.79,65.32,64.67,65.26,15601600,63.26
2013-07-12,64.26,64.85,64.25,64.84,16577100,62.85
2013-07-11,64.11,64.44,63.88,64.32,6187500,62.35
2013-07-10,63.62,63.88,63.31,63.53,4849600,61.58
2013-07-09,63.31,63.68,63.21,63.50,4831500,61.55
2013-07-08,62.51,63.21,62.31,63.04,5872800,61.11
2013-07-05,62.11,62.42,61.52,62.31,4281700,60.40
2013-07-03,61.47,62.01,61.06,61.84,3780700,59.94
2013-07-02,61.21,62.19,61.05,61.79,6708000,59.89
2013-07-01,60.73,61.63,60.73,61.23,5100100,59.35
2013-06-28,60.30,60.77,60.04,60.50,6160900,58.64
2013-06-27,60.62,61.10,60.31,60.34,3704500,58.49
2013-06-26,60.37,60.45,59.76,60.33,4009600,58.48
2013-06-25,59.81,60.02,59.37,59.83,6078400,57.99
2013-06-24,59.78,59.90,58.71,59.35,7389700,57.53
2013-06-21,60.77,60.80,59.55,60.36,8780900,58.51
2013-06-20,61.13,61.21,60.12,60.28,7998200,58.43
2013-06-19,62.15,62.57,61.71,61.71,5932600,59.82
2013-06-18,61.94,62.23,61.75,62.10,3437300,60.20
2013-06-17,61.45,62.05,61.44,61.94,3664000,60.04
2013-06-14,61.67,61.71,60.87,61.03,3327800,59.16
2013-06-13,60.67,61.72,60.38,61.65,5346900,59.76
2013-06-12,62.27,62.27,60.79,60.88,5031600,59.01
2013-06-11,61.72,62.18,61.36,61.91,4698000,60.01
2013-06-10,62.36,62.44,61.95,62.20,4148100,60.29
2013-06-07,62.17,62.38,61.76,62.32,5081700,60.41
2013-06-06,61.51,61.92,60.96,61.91,6616200,60.01
2013-06-05,61.96,62.11,61.44,61.62,7571900,59.73
2013-06-04,61.89,62.08,61.32,61.68,5171300,59.79
2013-06-03,61.58,62.10,61.28,62.09,6813400,60.19
2013-05-31,62.12,62.65,61.34,61.34,8032400,59.46
2013-05-30,62.58,62.61,62.05,62.28,5658200,60.37
2013-05-29,62.49,63.01,62.20,62.78,6431700,60.85
2013-05-28,63.24,63.61,62.72,62.84,5906600,60.91
2013-05-24,62.54,62.62,62.18,62.53,4623700,60.61
2013-05-23,62.03,62.93,61.90,62.79,5274700,60.86
2013-05-22,63.54,63.97,62.57,62.74,9364600,60.82
2013-05-21,64.25,64.77,63.80,64.31,6543700,61.70
2013-05-20,63.30,64.46,63.25,64.03,6215900,61.43
2013-05-17,62.39,63.31,62.37,63.31,7076800,60.74
2013-05-16,62.37,62.87,62.24,62.43,5214000,59.89
2013-05-15,62.84,62.84,61.86,62.42,8092100,59.88
2013-05-14,62.02,63.14,61.84,63.06,6927600,60.50
2013-05-13,62.11,62.33,61.75,62.00,12518500,59.48
2013-05-10,62.44,62.58,61.82,62.23,12466000,59.70
2013-05-09,62.56,62.89,62.33,62.58,11026300,60.04
2013-05-08,62.80,62.94,62.33,62.59,6497100,60.05
2013-05-07,62.38,62.99,62.26,62.84,5933700,60.29
2013-05-06,61.96,62.42,61.71,62.22,5802500,59.69
2013-05-03,61.41,61.97,61.25,61.92,6456400,59.40
2013-05-02,60.10,61.23,59.95,60.96,8343100,58.48
2013-05-01,60.15,60.72,59.90,60.01,7150200,57.57
2013-04-30,59.84,60.45,59.51,60.45,6207700,57.99
2013-04-29,59.29,60.05,59.02,59.90,5645200,57.47
2013-04-26,58.42,59.00,58.36,58.91,6303600,56.52
