Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,73.89,74.10,73.50,73.53,5410000,57.97
2006-12-28,74.26,74.51,74.01,74.28,4057500,58.56
2006-12-27,73.28,74.14,73.26,74.04,5114800,58.37
2006-12-26,72.64,73.40,72.53,73.09,4007500,57.63
2006-12-22,73.30,73.51,72.66,72.73,4486600,57.34
2006-12-21,73.66,74.16,72.54,73.23,7539900,57.74
2006-12-20,74.46,74.91,73.48,73.65,8691800,58.07
2006-12-19,72.98,74.79,72.50,74.49,9201300,58.73
2006-12-18,75.10,75.43,73.25,73.33,9217200,57.81
2006-12-15,75.99,76.11,74.98,75.38,9534400,59.43
2006-12-14,74.72,76.20,74.45,75.97,9234800,59.90
2006-12-13,74.53,74.72,73.87,74.40,7637100,58.66
2006-12-12,74.46,74.57,73.37,73.85,9241400,58.22
2006-12-11,72.83,74.04,72.66,73.70,7986000,58.11
2006-12-08,73.62,74.00,72.77,72.83,7637300,57.42
2006-12-07,73.66,74.00,73.05,73.32,7181300,57.81
2006-12-06,73.85,74.41,73.50,73.56,10276400,58.00
2006-12-05,73.66,74.17,72.78,73.95,8262900,58.30
2006-12-04,73.11,73.54,72.70,73.50,7489600,57.95
2006-12-01,72.33,73.26,71.83,73.11,10402900,57.64
2006-11-30,71.25,72.96,71.15,72.32,11974600,57.02
2006-11-29,70.20,72.00,69.91,71.05,10238300,56.02
2006-11-28,68.89,70.07,68.85,69.88,7682000,55.09
2006-11-27,69.29,69.67,68.40,68.75,9568100,54.20
2006-11-24,68.97,69.80,68.74,68.84,2883700,54.27
2006-11-22,70.22,70.50,69.02,69.60,7388400,54.87
2006-11-21,69.58,70.32,69.45,70.22,7708400,55.36
2006-11-20,68.84,69.91,68.73,69.24,7456100,54.59
2006-11-17,68.11,69.28,67.86,69.10,10323100,54.48
2006-11-16,70.31,70.46,68.49,68.55,9311100,54.05
2006-11-15,69.85,70.63,69.57,69.95,8780000,55.15
2006-11-14,70.46,70.67,69.90,70.38,8066700,55.08
2006-11-13,69.54,70.83,69.06,70.35,8858100,55.06
2006-11-10,70.30,70.39,69.14,69.54,8790400,54.42
2006-11-09,69.86,70.40,69.54,70.20,11484500,54.94
2006-11-08,68.60,69.78,68.60,69.51,9312600,54.40
2006-11-07,69.85,69.92,68.64,68.91,9893000,53.93
2006-11-06,69.05,69.94,68.76,69.77,10218800,54.60
2006-11-03,68.00,69.33,68.00,68.91,8608400,53.93
2006-11-02,66.95,67.89,66.53,67.79,9013600,53.05
2006-11-01,67.20,67.56,66.51,66.98,7874500,52.42
2006-10-31,66.10,67.35,65.76,67.20,10721500,52.59
2006-10-30,67.21,67.68,66.02,66.39,8869400,51.96
2006-10-27,68.05,68.48,67.42,67.68,8888200,52.97
2006-10-26,68.28,68.50,67.28,67.50,8884500,52.82
2006-10-25,66.66,68.26,66.42,67.58,11946400,52.89
2006-10-24,65.64,67.03,65.46,66.89,9061900,52.35
2006-10-23,64.94,65.64,64.53,65.64,6606100,51.37
2006-10-20,65.83,65.88,64.92,65.28,9599500,51.09
2006-10-19,64.80,65.64,64.36,65.64,7052200,51.37
2006-10-18,64.94,65.42,64.26,64.60,8085200,50.56
2006-10-17,65.11,65.18,64.71,64.93,6809000,50.81
2006-10-16,64.41,65.20,64.18,65.05,7813300,50.91
2006-10-13,64.36,64.72,63.94,64.20,7704500,50.24
2006-10-12,63.49,64.16,63.31,64.02,8136600,50.10
