Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,105.34,105.39,104.03,104.07,5189400,93.67
2009-12-30,104.93,105.33,104.88,105.22,3243500,94.71
2009-12-29,105.49,105.64,105.25,105.29,3356400,94.77
2009-12-28,105.20,105.35,104.89,105.29,8116800,94.77
2009-12-24,104.57,105.04,104.55,105.00,3568000,94.51
2009-12-23,104.65,104.72,104.17,104.45,4867200,94.01
2009-12-22,104.22,104.61,104.05,104.45,6849400,94.01
2009-12-21,103.56,104.39,103.52,103.88,5968000,93.50
2009-12-18,103.45,103.64,102.43,103.14,8299800,92.83
2009-12-17,104.04,104.15,103.29,103.38,8223700,92.69
2009-12-16,105.09,105.31,104.47,104.67,6283400,93.85
2009-12-15,104.91,105.15,104.47,104.74,7191500,93.91
2009-12-14,105.32,105.38,104.92,105.20,9752400,94.32
2009-12-11,104.51,105.04,104.25,104.92,9235500,94.07
2009-12-10,103.99,104.62,103.95,104.18,8039500,93.41
2009-12-09,102.96,103.56,102.48,103.45,8583800,92.75
2009-12-08,103.42,103.44,101.75,102.94,10719700,92.30
2009-12-07,103.83,104.53,103.69,104.05,8189500,93.29
2009-12-04,104.96,105.27,103.20,103.99,16602800,93.24
2009-12-03,104.85,105.18,103.59,103.69,9723500,92.97
2009-12-02,104.74,105.25,104.32,104.58,7124600,93.77
2009-12-01,104.28,105.13,104.27,104.73,10101300,93.90
2009-11-30,103.11,103.74,102.71,103.58,11959000,92.87
2009-11-27,102.46,103.84,102.23,103.18,12916100,92.51
2009-11-25,104.54,104.84,104.20,104.63,6489600,93.81
2009-11-24,104.44,104.56,103.59,104.36,10211800,93.57
2009-11-23,104.20,104.98,104.13,104.46,9489200,93.66
2009-11-20,102.92,103.45,102.72,103.25,8680400,92.57
2009-11-19,104.04,104.07,102.87,103.65,12739500,92.63
2009-11-18,104.50,104.62,103.91,104.55,7773400,93.43
2009-11-17,104.09,104.64,103.86,104.59,8398000,93.47
2009-11-16,103.40,104.57,103.35,104.26,10497400,93.17
2009-11-13,102.35,103.25,102.10,102.91,11677800,91.97
2009-11-12,102.96,103.41,101.90,102.17,11966800,91.31
2009-11-11,103.11,103.62,102.64,103.13,10532400,92.16
2009-11-10,102.27,102.80,102.15,102.69,9959100,91.77
2009-11-09,101.07,102.44,100.91,102.42,10959900,91.53
2009-11-06,99.65,100.60,99.43,100.37,10786100,89.70
2009-11-05,98.86,100.23,98.81,100.16,9811600,89.51
2009-11-04,98.38,99.38,97.94,98.17,14714300,87.73
2009-11-03,97.26,97.93,97.07,97.80,13945600,87.40
2009-11-02,97.40,99.00,96.82,97.85,20615900,87.45
2009-10-30,99.35,99.64,96.87,97.06,29751800,86.74
2009-10-29,98.34,99.74,98.05,99.54,12927200,88.96
2009-10-28,98.62,99.07,97.62,97.68,17191500,87.29
2009-10-27,98.95,99.53,98.40,98.82,14503800,88.31
2009-10-26,99.90,100.77,98.52,98.81,16109800,88.30
2009-10-23,100.98,101.07,99.37,99.83,13214000,89.22
2009-10-22,99.62,101.09,99.20,100.74,13423200,90.03
2009-10-21,100.22,101.20,99.41,99.43,12893600,88.86
2009-10-20,100.97,101.01,99.90,100.39,9387400,89.72
2009-10-19,100.11,101.17,99.93,100.86,9772400,90.14
2009-10-16,99.74,100.21,99.37,99.99,13185400,89.36
2009-10-15,99.87,100.67,99.84,100.65,7667900,89.86
2009-10-14,99.77,100.36,99.43,100.23,9162700,89.49
2009-10-13,98.64,99.02,98.22,98.83,6026200,88.24
2009-10-12,99.00,99.39,98.56,98.94,5438300,88.34
2009-10-09,97.87,98.72,97.69,98.69,6494100,88.11
2009-10-08,97.94,98.45,97.54,97.91,9701300,87.42
2009-10-07,97.13,97.48,96.83,97.28,10039900,86.86
2009-10-06,96.58,97.77,96.56,97.29,12439600,86.86
2009-10-05,95.07,96.28,94.80,95.97,8742700,85.69
2009-10-02,94.22,95.27,94.20,94.86,15752800,84.69
2009-10-01,96.92,96.94,95.01,95.12,15473500,84.93
2009-09-30,97.62,97.79,96.07,97.09,15351500,86.69
2009-09-29,97.95,98.36,97.39,97.44,8171200,87.00
2009-09-28,97.01,98.24,96.95,97.84,6393200,87.36
2009-09-25,96.88,97.35,96.38,96.74,13350100,86.37
2009-09-24,97.75,98.02,96.62,96.99,16702600,86.60
2009-09-23,98.36,99.16,97.40,97.58,13199100,87.12
2009-09-22,98.31,98.42,97.69,98.21,8206300,87.69
2009-09-21,97.56,98.04,97.23,97.74,7711800,87.27
2009-09-18,98.34,98.46,97.92,98.11,9910900,87.60
2009-09-17,97.97,98.72,97.64,98.06,15803800,87.40
2009-09-16,97.32,98.15,96.94,98.08,10580800,87.41
