Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,200.93,202.40,199.32,199.35,2762500,183.76
2006-12-28,202.33,202.48,199.76,200.80,2395600,185.10
2006-12-27,199.86,202.29,199.72,201.95,2887200,186.16
2006-12-26,198.90,200.60,198.29,199.86,2575600,184.23
2006-12-22,199.10,199.15,195.66,198.09,3500600,182.60
2006-12-21,202.36,202.69,197.70,198.10,4661800,182.61
2006-12-20,201.79,204.31,201.24,201.37,4336800,185.62
2006-12-19,201.98,202.67,200.43,201.24,4865700,185.51
2006-12-18,200.50,203.59,199.64,203.24,6018800,187.35
2006-12-15,200.61,201.95,199.80,199.84,5451400,184.21
2006-12-14,199.20,200.80,197.63,200.13,5081500,184.48
2006-12-13,200.72,201.78,198.00,198.31,5823000,182.80
2006-12-12,200.21,203.85,198.44,200.00,8926200,184.36
2006-12-11,205.50,205.50,201.84,202.52,5905800,186.68
2006-12-08,200.24,205.26,200.00,205.10,4968600,189.06
2006-12-07,206.70,206.70,200.00,200.20,5237500,184.55
2006-12-06,202.00,205.05,201.00,205.00,4133200,188.97
2006-12-05,199.70,202.25,198.21,201.61,3733000,185.85
2006-12-04,195.65,200.08,195.39,200.05,4259100,184.41
2006-12-01,195.70,196.43,191.52,194.50,4820900,179.29
2006-11-30,195.98,196.45,193.18,194.80,4082500,179.57
2006-11-29,197.99,199.45,193.06,196.22,5915000,180.88
2006-11-28,193.00,197.49,191.50,197.12,5864900,181.71
2006-11-27,201.35,202.10,193.11,193.11,6328200,178.01
2006-11-24,200.23,203.35,199.15,201.60,1978600,185.84
2006-11-22,200.00,202.47,199.99,202.29,3057200,186.47
2006-11-21,199.00,199.89,198.29,199.76,3447600,184.14
2006-11-20,195.35,198.11,195.03,197.45,3344800,182.01
2006-11-17,195.98,197.00,194.88,195.04,3397300,179.79
2006-11-16,194.00,196.80,194.00,196.72,4784000,181.34
2006-11-15,190.37,194.32,189.84,193.11,5090900,178.01
2006-11-14,188.40,190.94,185.40,190.36,4702800,175.48
2006-11-13,187.65,189.80,187.23,187.73,3382300,173.05
2006-11-10,185.46,187.07,184.60,187.06,3319800,172.43
2006-11-09,188.40,189.00,184.78,184.78,4488400,170.33
2006-11-08,187.65,189.92,186.50,188.77,3989800,174.01
2006-11-07,190.20,191.42,188.56,188.68,3697900,173.93
2006-11-06,187.68,191.70,187.68,190.00,4639000,175.14
2006-11-03,188.90,188.95,185.30,187.13,4153100,172.50
2006-11-02,184.51,187.79,182.70,187.39,6191000,172.74
2006-11-01,191.00,192.21,184.75,185.00,7731800,170.53
2006-10-31,190.00,191.02,188.88,189.79,4548300,174.95
2006-10-30,188.00,190.55,186.70,189.75,5354900,174.91
2006-10-27,192.01,193.23,188.39,188.67,5703200,173.92
2006-10-26,189.18,193.60,188.29,193.38,5732100,178.26
2006-10-25,188.64,189.69,187.16,188.61,5224400,173.86
2006-10-24,184.52,188.25,184.40,187.84,5516100,173.15
2006-10-23,180.23,184.87,180.21,184.70,4695800,170.26
2006-10-20,179.72,180.69,178.85,180.40,4206600,166.29
2006-10-19,181.25,182.63,179.90,180.05,5560400,165.97
2006-10-18,184.07,184.65,181.85,182.97,6127000,168.34
2006-10-17,184.22,184.71,182.14,183.07,5867200,168.43
2006-10-16,183.82,185.48,183.09,185.22,4699100,170.41
2006-10-13,181.21,183.96,180.65,183.85,5163300,169.15
2006-10-12,179.27,181.92,178.61,181.51,5754200,167.00
2006-10-11,177.30,178.97,176.75,178.97,5615300,164.66
2006-10-10,177.05,179.85,176.79,178.86,6559900,164.56
2006-10-09,175.40,177.49,175.32,177.45,3985500,163.26
2006-10-06,174.32,176.00,173.80,175.65,4898200,161.61
2006-10-05,176.52,176.52,174.69,175.50,5749400,161.47
2006-10-04,173.31,176.66,173.31,176.56,8069400,162.44
2006-10-03,170.44,174.40,170.10,174.20,5823500,160.27
2006-10-02,168.51,171.45,168.51,170.69,4143700,157.04
2006-09-29,170.05,171.15,169.10,169.17,4394400,155.64
2006-09-28,168.95,170.00,167.80,170.00,4413800,156.41
2006-09-27,168.93,169.90,167.25,169.00,5185300,155.49
2006-09-26,167.94,169.92,167.02,168.68,6095300,155.19
2006-09-25,167.90,169.42,167.00,168.69,4780000,155.20
2006-09-22,166.95,168.33,165.76,167.52,5103900,154.13
2006-09-21,167.50,169.69,165.86,167.15,8052600,153.79
2006-09-20,164.63,167.16,164.23,166.60,6403800,153.28
2006-09-19,163.08,164.22,162.31,163.39,4851400,150.33
2006-09-18,162.02,164.80,162.00,163.22,5733300,150.17
2006-09-15,162.50,163.75,161.52,162.71,6845100,149.70
2006-09-14,159.75,163.18,159.52,162.52,5496800,149.53
2006-09-13,157.70,162.26,156.81,160.86,7605900,148.00
2006-09-12,154.75,159.75,154.71,158.29,10644400,145.63
2006-09-11,149.25,151.23,149.15,151.00,3134200,138.93
2006-09-08,151.00,151.00,147.52,149.80,3277400,137.82
2006-09-07,150.10,150.68,148.35,148.57,3577600,136.69
2006-09-06,150.65,151.44,149.92,150.67,2962200,138.62
2006-09-05,149.75,151.51,149.05,151.28,3576000,139.18
2006-09-01,148.70,149.43,147.13,149.14,3453100,137.22
2006-08-31,147.07,148.75,147.07,148.65,2834300,136.76
2006-08-30,147.20,147.76,146.42,147.06,2938000,135.30
2006-08-29,149.60,149.79,145.66,147.09,4939600,135.33
2006-08-28,148.25,150.54,147.88,149.53,4151000,137.57
2006-08-25,150.69,151.42,149.75,150.07,2476200,138.07
2006-08-24,153.55,153.60,150.75,151.40,3100000,139.30
2006-08-23,153.41,154.75,152.15,152.70,2811300,140.49
2006-08-22,154.36,155.01,153.05,154.15,3696600,141.83
2006-08-21,153.16,154.25,151.64,153.83,3731200,141.53
2006-08-18,154.45,154.75,153.00,154.68,2742100,142.31
2006-08-17,153.90,156.87,153.85,154.45,3365700,142.10
2006-08-16,153.95,155.05,152.72,154.99,3563900,142.60
2006-08-15,152.38,153.99,151.21,152.65,4907000,140.45
2006-08-14,152.48,153.01,149.43,150.37,3110900,138.35
2006-08-11,152.35,152.87,149.99,151.11,2576500,139.03
2006-08-10,149.50,152.12,148.50,151.63,3782100,139.51
2006-08-09,153.50,153.75,149.60,150.01,4234300,138.02
2006-08-08,152.65,155.40,150.49,151.45,6199900,139.34
2006-08-07,152.12,154.85,151.76,152.65,3029800,140.45
2006-08-04,154.00,156.29,152.17,152.99,4892300,140.76
2006-08-03,148.75,153.15,148.47,152.10,3854000,139.94
2006-08-02,150.26,150.50,147.54,149.90,6139300,137.91
2006-08-01,151.63,151.74,149.59,151.26,3468500,139.17
2006-07-31,151.60,153.73,150.66,152.75,4370000,140.54
2006-07-28,149.65,152.35,149.33,151.72,4752200,139.59
2006-07-27,148.70,149.63,147.59,148.26,4085900,136.41
2006-07-26,147.50,148.82,146.69,147.38,3326000,135.60
2006-07-25,146.90,149.67,145.34,148.49,4984000,136.62
2006-07-24,143.30,147.50,143.06,146.90,4610700,135.15
2006-07-21,145.05,145.06,141.80,142.04,4682400,130.68
2006-07-20,146.70,147.80,145.00,145.18,4264500,133.25
2006-07-19,142.70,147.85,142.70,146.97,6079400,134.89
2006-07-18,140.62,142.48,139.90,142.34,5874300,130.64
2006-07-17,140.10,142.27,139.20,140.87,4528700,129.29
2006-07-14,143.10,143.50,138.97,140.10,5659400,128.59
2006-07-13,144.03,145.20,142.10,142.55,6116700,130.84
2006-07-12,148.70,149.23,145.07,145.27,4300100,133.33
2006-07-11,148.40,149.00,146.55,148.67,3817200,136.45
2006-07-10,149.25,150.41,148.16,148.85,2946100,136.62
2006-07-07,150.01,150.50,148.44,148.51,3618700,136.31
2006-07-06,152.29,152.30,150.20,150.58,3441000,138.21
2006-07-05,151.70,151.70,150.00,150.95,4478600,138.55
2006-07-03,151.93,152.79,151.34,152.45,3250500,139.92
2006-06-30,152.20,152.72,149.50,150.43,5973300,138.07
2006-06-29,148.10,152.20,146.35,152.20,6656800,139.69
2006-06-28,147.41,148.50,145.07,146.49,4907100,134.45
2006-06-27,149.05,150.89,147.16,147.16,3666400,135.07
2006-06-26,148.92,149.95,148.10,149.90,3799600,137.58
2006-06-23,147.85,149.40,147.21,147.92,3488000,135.77
2006-06-22,149.71,150.50,146.95,148.31,4402000,136.12
2006-06-21,145.77,150.32,145.50,149.83,7645900,137.52
2006-06-20,144.65,145.99,143.59,145.26,5808700,133.32
2006-06-19,144.98,145.75,142.95,143.75,6517300,131.94
2006-06-16,143.30,144.59,142.61,144.00,6368000,132.17
2006-06-15,140.40,145.19,140.07,144.12,10870200,132.28
2006-06-14,139.75,141.76,136.79,138.50,10541300,127.12
2006-06-13,144.50,145.50,138.01,139.25,15679700,127.81
2006-06-12,150.30,150.72,145.00,145.00,5860300,133.09
2006-06-09,151.00,152.10,148.99,149.89,4407300,137.57
2006-06-08,148.80,150.67,144.50,149.76,7885500,137.45
2006-06-07,149.25,152.53,148.30,149.95,4319900,137.63
2006-06-06,151.39,152.06,147.50,149.24,6562400,136.98
2006-06-05,154.95,156.29,149.85,150.40,5400000,138.04
2006-06-02,155.50,157.00,153.60,154.09,4253400,141.43
2006-06-01,150.92,153.59,150.19,153.55,4206200,140.93
2006-05-31,151.30,152.39,149.15,150.95,5262200,138.55
2006-05-30,151.00,151.95,149.25,149.83,5217200,137.52
2006-05-26,150.00,152.94,149.47,152.94,5749700,140.37
2006-05-25,145.20,147.32,144.68,147.32,5611300,135.21
2006-05-24,143.65,145.59,140.42,143.92,8759600,132.09
2006-05-23,148.05,148.88,143.70,143.70,5606600,131.89
2006-05-22,148.51,148.51,143.34,146.15,8472600,134.14
2006-05-19,148.30,150.45,146.75,149.41,6502500,137.13
2006-05-18,149.36,150.25,146.25,147.03,6076200,134.95
2006-05-17,150.85,151.15,147.00,148.21,7477600,136.03
