Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,42.19,42.38,41.84,42.10,7473400,39.19
2010-12-30,42.37,42.46,42.16,42.26,6774300,39.34
2010-12-29,42.29,42.62,42.25,42.32,8649700,39.39
2010-12-28,41.99,42.49,41.94,42.25,10400600,39.33
2010-12-27,41.49,41.98,41.47,41.82,6553800,38.93
2010-12-23,41.35,41.92,41.29,41.74,8501400,38.85
2010-12-22,41.72,41.82,41.40,41.48,14701600,38.61
2010-12-21,41.76,42.10,41.74,41.91,15001000,39.01
2010-12-20,41.73,42.10,41.72,41.89,15423700,38.99
2010-12-17,41.95,42.19,41.68,41.96,24231600,39.06
2010-12-16,41.13,42.01,41.00,41.95,22671500,39.05
2010-12-15,41.45,41.61,41.22,41.23,13308200,38.38
2010-12-14,41.69,41.86,41.27,41.54,14149000,38.67
2010-12-13,42.06,42.18,41.53,41.65,25978200,38.77
2010-12-10,42.44,42.66,42.19,42.62,16845000,39.60
2010-12-09,42.78,42.78,42.20,42.54,16667000,39.52
2010-12-08,42.30,42.72,42.16,42.66,12235500,39.63
2010-12-07,43.15,43.21,42.09,42.19,22008500,39.20
2010-12-06,42.54,43.25,42.51,42.85,11974700,39.81
2010-12-03,42.52,43.27,42.52,43.03,17651600,39.98
2010-12-02,42.45,43.17,42.42,43.11,16610900,40.05
2010-12-01,42.50,42.94,42.33,42.57,20672300,39.55
2010-11-30,41.82,42.43,41.80,41.93,23364300,38.96
2010-11-29,42.58,42.76,42.08,42.60,20622000,39.58
2010-11-26,43.06,43.40,43.03,43.20,9895700,40.14
2010-11-24,43.95,44.35,43.48,43.74,27894600,40.64
2010-11-23,43.98,44.44,43.11,44.19,51532700,41.06
2010-11-22,42.95,43.29,42.15,43.25,33275400,40.18
2010-11-19,41.77,42.54,41.70,42.49,20285000,39.48
2010-11-18,41.14,41.86,41.03,41.69,19897300,38.73
2010-11-17,41.78,42.12,40.77,40.97,28672400,38.06
2010-11-16,42.25,42.39,41.44,41.80,22351800,38.84
2010-11-15,42.32,43.01,42.24,42.54,14456900,39.52
2010-11-12,42.72,42.98,42.02,42.21,18229700,39.22
2010-11-11,43.79,43.97,42.73,43.10,24429700,40.04
2010-11-10,44.51,44.52,43.74,44.16,13256200,41.03
2010-11-09,44.64,44.65,43.94,44.12,15209000,40.99
2010-11-08,43.63,44.49,43.51,44.25,15720900,41.11
2010-11-05,43.93,44.10,43.36,43.72,15618400,40.62
2010-11-04,44.13,44.56,43.81,44.07,21611000,40.94
2010-11-03,42.85,44.00,42.83,43.81,22216500,40.70
2010-11-02,42.75,42.99,42.63,42.91,11552200,39.87
2010-11-01,42.17,42.75,42.07,42.49,12888400,39.48
2010-10-29,42.44,42.68,41.88,42.04,18187500,39.06
2010-10-28,42.57,42.80,42.16,42.66,15160800,39.63
2010-10-27,42.55,42.84,41.96,42.39,18750100,39.38
2010-10-26,42.37,43.06,42.16,42.95,14494500,39.90
2010-10-25,42.96,43.23,42.56,42.88,13181700,39.84
2010-10-22,42.37,42.96,42.29,42.87,10305800,39.83
2010-10-21,42.87,42.97,41.92,42.40,19923800,39.39
2010-10-20,43.00,43.25,42.76,42.82,18360300,39.78
2010-10-19,42.88,43.15,42.54,42.83,20787100,39.79
2010-10-18,42.69,43.47,42.50,43.32,18463100,40.25
2010-10-15,42.39,42.84,42.12,42.82,23639000,39.78
2010-10-14,42.20,42.34,41.80,42.13,14963200,39.14
2010-10-13,41.55,42.54,41.55,42.21,24626400,39.22
2010-10-12,41.18,41.55,40.89,41.35,14963900,38.42
2010-10-11,41.25,41.39,40.82,41.20,12905400,38.28
2010-10-08,40.85,41.30,40.68,41.15,18830300,38.23
2010-10-07,40.88,40.98,40.46,40.81,18988100,37.92
2010-10-06,41.05,41.22,40.44,40.74,25891900,37.85
2010-10-05,41.04,41.07,40.36,40.81,30354700,37.92
2010-10-04,40.86,41.24,40.40,40.64,22997800,37.76
2010-10-01,41.21,41.29,40.25,40.77,62986400,37.88
2010-09-30,42.96,43.15,41.72,42.07,28162600,39.09
2010-09-29,41.97,42.74,41.90,42.53,31308500,39.51
2010-09-28,41.38,41.84,41.00,41.62,26545000,38.67
2010-09-27,41.16,41.76,40.91,41.26,23055200,38.33
2010-09-24,41.16,41.70,40.87,40.98,24551000,38.07
2010-09-23,39.11,40.67,39.09,40.15,22945800,37.30
2010-09-22,39.69,39.83,39.00,39.55,21475400,36.75
2010-09-21,39.55,40.52,39.40,39.92,25986400,37.09
2010-09-20,39.25,39.56,39.16,39.39,22174600,36.60
2010-09-17,40.38,40.62,39.10,39.14,35399900,36.36
2010-09-16,39.71,40.49,39.63,40.35,23331300,37.49
2010-09-15,39.30,40.04,39.14,39.62,24135900,36.81
2010-09-14,38.15,40.06,38.15,39.29,40924800,36.50
2010-09-13,38.45,38.54,37.97,38.28,33830200,35.57
2010-09-10,38.78,38.83,38.08,38.28,22784300,35.49
2010-09-09,39.30,39.34,38.58,38.82,17872700,35.99
2010-09-08,39.28,39.60,38.25,38.81,32778100,35.98
2010-09-07,39.75,40.16,39.71,39.92,20739100,37.01
2010-09-03,40.08,40.49,40.08,40.34,18115300,37.40
2010-09-02,39.16,39.68,39.10,39.68,17781000,36.79
2010-09-01,39.00,39.25,38.73,39.21,22331600,36.35
2010-08-31,38.37,38.98,38.03,38.45,30199900,35.65
2010-08-30,38.88,39.49,38.55,38.56,29391600,35.75
2010-08-27,38.30,38.55,37.32,38.00,37171800,35.23
2010-08-26,38.54,38.65,38.09,38.22,18326700,35.44
2010-08-25,38.14,38.57,38.03,38.24,26239100,35.45
2010-08-24,38.49,38.86,38.34,38.39,30243700,35.59
2010-08-23,39.94,40.00,38.61,39.04,37413600,36.20
2010-08-20,40.49,40.59,39.33,39.85,38850400,36.95
2010-08-19,41.62,41.70,40.33,40.76,25349700,37.79
2010-08-18,41.15,41.61,40.89,41.36,22174600,38.35
