Date,Open,High,Low,Close,Volume,Adj Close
2005-12-30,81.85,82.49,81.56,82.20,5449000,70.94
2005-12-29,82.80,83.06,82.22,82.40,3958400,71.11
2005-12-28,83.10,83.57,82.80,83.04,3836800,71.66
2005-12-27,83.48,84.50,82.89,82.99,4377800,71.62
2005-12-23,84.00,84.20,83.39,83.48,3616200,72.04
2005-12-22,82.61,83.23,82.30,83.22,6573600,71.82
2005-12-21,82.46,84.00,82.46,83.12,6846800,71.73
2005-12-20,82.95,83.10,82.06,82.48,5276200,71.18
2005-12-19,83.23,83.60,82.65,82.76,4985400,71.42
2005-12-16,83.89,84.00,83.00,83.37,7398200,71.95
2005-12-15,82.88,83.63,82.75,83.53,6155900,72.09
2005-12-14,83.65,83.95,82.95,83.13,7161800,71.74
2005-12-13,84.50,84.90,83.50,83.71,12545300,72.24
2005-12-12,87.01,87.35,85.76,85.96,6044100,74.18
2005-12-09,86.80,87.10,86.33,86.97,6461800,75.06
2005-12-08,88.57,88.91,86.67,87.50,5787000,75.51
2005-12-07,89.00,89.92,88.45,88.72,5284000,76.57
2005-12-06,88.56,89.84,88.56,89.14,4871500,76.93
2005-12-05,88.40,88.65,87.71,88.43,4023600,76.32
2005-12-02,89.00,89.15,88.36,88.65,4730500,76.51
2005-12-01,89.15,89.74,89.05,89.21,4668500,76.99
2005-11-30,89.05,89.64,88.73,88.90,6021500,76.72
2005-11-29,89.18,89.94,89.02,89.10,5147000,76.89
2005-11-28,88.80,89.43,88.75,89.11,5197900,76.90
2005-11-25,88.95,89.32,88.62,88.80,2199300,76.63
2005-11-23,88.12,89.39,87.95,88.80,5399300,76.63
2005-11-22,86.88,88.08,86.88,87.99,5786600,75.94
2005-11-21,87.60,87.87,87.01,87.29,4807900,75.33
2005-11-18,88.00,88.00,87.17,87.77,7985800,75.75
2005-11-17,86.18,86.98,85.76,86.89,5293600,74.99
2005-11-16,85.45,86.58,85.39,86.54,6694100,74.68
2005-11-15,84.03,85.90,84.03,85.53,6830800,73.81
2005-11-14,84.25,85.00,84.11,84.36,3915300,72.80
2005-11-11,84.20,84.84,84.15,84.55,4841300,72.97
2005-11-10,82.70,84.30,82.30,83.99,4732000,72.48
2005-11-09,82.71,83.33,82.49,82.84,3936200,71.49
2005-11-08,83.41,83.90,83.11,83.15,3798000,71.76
2005-11-07,83.10,83.85,83.07,83.61,4455100,71.98
2005-11-04,82.91,83.30,82.65,83.00,3831400,71.46
2005-11-03,81.55,83.03,81.31,82.87,7690900,71.35
2005-11-02,81.20,81.89,80.64,81.06,6447400,69.79
2005-11-01,81.85,82.15,81.29,81.59,5653100,70.24
2005-10-31,81.51,82.30,81.30,81.88,7531200,70.49
2005-10-28,82.32,82.43,80.50,81.42,6941300,70.10
2005-10-27,82.53,82.93,82.25,82.31,3705800,70.86
2005-10-26,82.97,83.87,82.72,82.89,4270800,71.36
2005-10-25,83.08,83.95,82.71,83.36,5393300,71.77
2005-10-24,83.15,83.61,82.60,83.47,5482200,71.86
2005-10-21,83.08,84.00,82.91,83.33,6020700,71.74
2005-10-20,84.00,84.19,82.88,83.17,5752700,71.60
2005-10-19,82.41,84.20,82.38,84.17,7502600,72.47
2005-10-18,84.33,84.60,83.35,83.48,12045300,71.87
2005-10-17,82.36,82.99,81.93,82.59,7964800,71.11
2005-10-14,82.60,82.71,81.60,82.35,5573700,70.90
2005-10-13,81.70,83.20,81.70,82.20,5530600,70.77
2005-10-12,82.75,82.93,81.95,82.19,7580800,70.76
2005-10-11,82.25,83.52,81.97,83.19,9781300,71.62
2005-10-10,81.24,82.10,81.08,81.25,7882900,69.95
2005-10-07,80.25,81.12,80.09,80.50,6130100,69.31
2005-10-06,79.82,80.27,78.70,79.70,8130200,68.62
2005-10-05,80.11,80.68,79.56,79.82,4998800,68.72
2005-10-04,80.65,81.47,79.93,80.11,6365100,68.97
2005-10-03,80.22,80.60,79.50,80.45,5297600,69.26
2005-09-30,80.02,80.50,79.97,80.22,5536500,69.06
2005-09-29,79.25,80.55,78.87,80.36,5899700,69.19
2005-09-28,78.06,79.73,78.06,79.50,7747700,68.44
2005-09-27,77.17,78.60,77.16,77.99,5499600,67.14
2005-09-26,78.31,78.41,76.93,77.41,5433200,66.65
2005-09-23,77.70,78.11,77.50,78.00,5434600,67.15
2005-09-22,77.56,78.50,77.30,78.21,6870400,67.33
2005-09-21,78.00,78.46,77.37,77.56,7126000,66.77
2005-09-20,79.27,79.65,78.63,78.70,7122300,67.76
2005-09-19,79.74,79.98,79.01,79.43,5148500,68.38
2005-09-16,80.38,80.50,79.83,80.33,7624900,69.16
2005-09-15,80.43,80.65,79.67,80.01,4864100,68.88
2005-09-14,80.75,81.40,80.42,80.48,3887700,69.29
2005-09-13,81.49,81.49,80.52,80.75,5040900,69.52
2005-09-12,81.03,82.11,81.00,81.48,3692800,70.15
2005-09-09,80.86,81.49,80.52,81.44,3982200,70.12
2005-09-08,81.28,81.52,80.50,80.80,4277300,69.56
2005-09-07,80.70,81.13,80.32,80.98,4116300,69.72
2005-09-06,79.70,81.19,79.70,81.02,6305500,69.75
2005-09-02,79.50,80.01,79.46,79.46,3680600,68.41
2005-09-01,80.16,80.32,79.34,79.54,6390600,68.48
2005-08-31,80.35,80.79,79.87,80.62,5400800,69.41
2005-08-30,81.00,81.00,79.98,80.54,5674200,69.34
2005-08-29,80.00,81.75,79.90,81.34,4025300,70.03
2005-08-26,80.81,81.02,80.26,80.38,5029300,69.20
2005-08-25,81.45,81.45,80.72,81.10,3606100,69.82
2005-08-24,81.53,82.40,81.23,81.32,4417600,70.01
2005-08-23,82.70,83.14,81.60,82.03,4000300,70.62
2005-08-22,82.75,83.35,81.85,82.60,5157200,71.11
2005-08-19,81.36,83.30,81.36,82.76,6481000,71.25
2005-08-18,81.10,82.00,80.80,81.15,3713300,69.87
2005-08-17,81.40,81.94,80.84,81.30,4853000,69.99
2005-08-16,82.07,82.43,81.09,81.30,4407400,69.99
2005-08-15,81.90,82.94,81.61,82.50,3431100,71.03
2005-08-12,82.15,82.58,82.06,82.19,4378200,70.76
2005-08-11,81.93,82.75,81.62,82.66,4570400,71.17
2005-08-10,83.65,84.01,81.97,82.02,5402400,70.61
2005-08-09,83.40,83.95,82.94,83.50,3793500,71.89
2005-08-08,83.41,83.89,83.02,83.36,4424300,71.77
2005-08-05,82.75,83.74,82.73,83.36,3714600,71.60
2005-08-04,83.75,83.89,82.98,83.12,5249900,71.39
2005-08-03,83.31,84.20,83.11,84.06,4256200,72.20
2005-08-02,83.27,83.86,83.04,83.31,5380700,71.55
2005-08-01,83.00,83.85,82.85,83.43,3664300,71.66
2005-07-29,83.30,83.95,83.22,83.46,4330300,71.68
2005-07-28,83.55,83.97,83.27,83.80,6189700,71.97
2005-07-27,83.80,84.13,82.81,83.87,4862200,72.03
2005-07-26,84.15,84.35,83.85,84.12,4542900,72.25
2005-07-25,83.98,84.52,83.92,84.20,4457800,72.32
2005-07-22,83.98,84.63,83.86,84.44,4570400,72.52
2005-07-21,84.60,84.95,83.40,84.40,8265300,72.49
2005-07-20,83.20,84.96,82.99,84.60,9323200,72.66
2005-07-19,84.72,85.11,83.70,83.70,14149700,71.89
2005-07-18,81.99,83.94,81.68,81.81,8705600,70.26
2005-07-15,82.43,82.75,81.52,82.38,7644100,70.75
2005-07-14,82.00,82.67,82.00,82.42,8546200,70.79
2005-07-13,81.16,81.75,81.16,81.45,11340000,69.96
2005-07-12,79.20,80.49,79.18,80.04,10945500,68.74
2005-07-11,79.40,79.52,78.52,78.96,7186700,67.82
2005-07-08,77.38,79.52,77.14,79.30,13440500,68.11
2005-07-07,75.15,77.53,75.00,77.38,10757200,66.46
2005-07-06,74.80,76.15,74.40,75.81,8009300,65.11
2005-07-05,74.38,74.97,74.16,74.79,5181800,64.24
2005-07-01,74.30,75.33,74.30,74.67,4353100,64.13
2005-06-30,74.80,75.49,74.07,74.20,6127000,63.73
2005-06-29,75.26,75.68,74.62,74.73,5519100,64.18
2005-06-28,73.83,75.30,73.45,75.30,8188800,64.67
2005-06-27,74.01,74.77,73.50,73.88,6489800,63.45
2005-06-24,75.17,75.40,74.00,74.01,10792100,63.57
2005-06-23,76.81,76.97,75.06,75.41,7766700,64.77
2005-06-22,76.83,77.49,76.67,77.23,5646300,66.33
2005-06-21,76.70,77.00,76.11,76.41,5339100,65.63
2005-06-20,76.03,76.98,75.57,76.55,3745600,65.75
2005-06-17,77.70,77.73,76.38,76.39,8593800,65.61
2005-06-16,76.40,77.25,76.31,77.05,7840000,66.18
2005-06-15,75.70,76.50,75.15,76.30,7103600,65.53
2005-06-14,75.05,75.43,74.73,74.89,4314900,64.32
2005-06-13,74.50,75.93,74.45,75.05,5715700,64.46
2005-06-10,74.75,75.05,74.10,74.77,4895800,64.22
2005-06-09,74.58,75.47,74.23,74.93,4423200,64.36
2005-06-08,75.04,75.40,74.63,74.80,4280000,64.24
2005-06-07,75.00,76.09,75.00,75.04,5226600,64.45
2005-06-06,75.80,75.90,74.92,75.00,5978600,64.42
2005-06-03,77.06,77.10,75.74,75.79,6149900,65.09
2005-06-02,76.75,77.39,76.68,77.35,4025600,66.43
2005-06-01,75.57,77.50,75.57,76.84,7380600,66.00
2005-05-31,77.30,77.41,75.50,75.55,6419000,64.89
2005-05-27,77.11,77.24,76.53,77.10,3163900,66.22
2005-05-26,76.45,77.41,76.29,77.14,5832000,66.25
2005-05-25,75.42,76.03,75.17,76.00,5483400,65.27
2005-05-24,76.14,76.51,75.56,75.81,5660700,65.11
2005-05-23,76.30,76.95,76.00,76.51,4759800,65.71
2005-05-20,77.28,77.28,76.36,76.41,6329800,65.63
2005-05-19,76.50,77.64,76.37,77.16,7030400,66.27
2005-05-18,75.00,76.82,74.69,76.36,10309600,65.58
2005-05-17,73.93,74.43,73.33,74.29,5135600,63.81
2005-05-16,73.09,74.49,73.09,74.34,5501500,63.85
2005-05-13,72.53,73.86,72.52,73.16,7150600,62.84
2005-05-12,73.53,73.80,72.50,72.62,6061900,62.37
2005-05-11,73.63,73.69,72.51,73.28,6915700,62.94
2005-05-10,74.75,74.76,73.04,73.30,7982200,62.96
2005-05-09,75.26,75.46,74.71,74.98,5616700,64.40
