Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,107.91,107.96,107.45,107.49,1742800,104.56
2012-12-28,108.01,108.07,107.90,108.06,552200,105.11
2012-12-27,107.54,108.02,107.52,107.81,446700,104.87
2012-12-26,107.49,107.64,107.48,107.59,780000,104.65
2012-12-24,107.55,107.58,107.50,107.52,903400,104.44
2012-12-21,107.74,107.81,107.61,107.63,499200,104.55
2012-12-20,107.42,107.58,107.29,107.34,377100,104.26
2012-12-19,107.27,107.53,107.22,107.27,675300,104.20
2012-12-18,107.48,107.54,107.00,107.12,846400,104.05
2012-12-17,108.01,108.03,107.51,107.54,660100,104.46
2012-12-14,108.00,108.15,108.00,108.11,380700,105.01
2012-12-13,107.95,108.10,107.80,107.87,862900,104.78
2012-12-12,108.42,108.60,108.08,108.08,1165600,104.98
2012-12-11,108.51,108.55,108.42,108.54,734300,105.43
2012-12-10,108.79,108.82,108.65,108.75,707500,105.63
2012-12-07,108.69,108.86,108.63,108.65,515700,105.54
2012-12-06,109.10,109.15,108.95,108.96,443700,105.84
2012-12-05,108.92,109.06,108.87,108.90,505500,105.78
2012-12-04,108.69,108.82,108.66,108.81,479300,105.69
2012-12-03,108.44,108.64,108.37,108.62,750400,105.51
2012-11-30,108.90,108.91,108.76,108.80,557800,105.55
2012-11-29,108.71,108.86,108.65,108.82,814200,105.57
2012-11-28,108.77,108.87,108.66,108.71,1057500,105.46
2012-11-27,108.39,108.58,108.33,108.57,579100,105.33
2012-11-26,108.40,108.52,108.29,108.32,1522400,105.08
2012-11-23,108.20,108.21,108.13,108.14,466000,104.91
2012-11-21,108.20,108.28,108.16,108.20,291500,104.97
2012-11-20,108.64,108.70,108.36,108.36,970700,105.12
2012-11-19,108.72,108.82,108.68,108.81,712300,105.56
2012-11-16,108.94,109.20,108.91,109.03,578100,105.77
2012-11-15,108.79,109.07,108.77,108.96,1448500,105.71
2012-11-14,108.70,109.03,108.67,109.01,1477300,105.75
2012-11-13,108.99,109.00,108.81,108.98,1608900,105.72
2012-11-12,108.78,108.87,108.70,108.85,267900,105.60
2012-11-09,108.71,108.82,108.55,108.78,368200,105.53
2012-11-08,108.27,108.79,108.15,108.77,514700,105.52
2012-11-07,108.33,108.54,108.20,108.29,979800,105.06
2012-11-06,107.79,107.86,107.37,107.39,486000,104.18
2012-11-05,107.84,107.99,107.81,107.88,805400,104.66
2012-11-02,107.29,107.64,107.25,107.62,527200,104.41
2012-11-01,107.64,107.68,107.40,107.53,918300,104.32
2012-10-31,107.69,107.98,107.65,107.89,728100,104.53
2012-10-26,107.14,107.46,107.11,107.45,414800,104.10
2012-10-25,106.65,107.04,106.59,106.77,437300,103.44
2012-10-24,107.15,107.32,107.09,107.16,682400,103.82
2012-10-23,107.20,107.39,107.20,107.39,414600,104.04
2012-10-22,107.03,107.13,106.88,106.88,760000,103.55
2012-10-19,106.95,107.34,106.92,107.24,808100,103.90
2012-10-18,107.08,107.18,106.75,106.79,1157500,103.46
2012-10-17,107.34,107.38,106.94,106.98,597300,103.64
2012-10-16,107.93,107.93,107.66,107.66,585500,104.30
2012-10-15,108.18,108.25,108.06,108.17,635000,104.80
2012-10-12,108.21,108.38,108.11,108.14,427900,104.77
2012-10-11,107.69,108.14,107.63,108.13,1217500,104.76
2012-10-10,107.60,108.07,107.53,108.03,318100,104.66
2012-10-09,107.70,107.95,107.68,107.77,387200,104.41
2012-10-08,107.88,108.01,107.86,107.99,403700,104.62
2012-10-05,107.76,107.81,107.57,107.64,805200,104.28
2012-10-04,108.32,108.42,108.09,108.13,376700,104.76
2012-10-03,108.44,108.56,108.30,108.56,938000,105.18
2012-10-02,108.30,108.56,108.29,108.45,846500,105.07
2012-10-01,108.41,108.54,108.23,108.52,1213500,105.14
2012-09-28,108.58,108.70,108.36,108.46,612500,104.94
2012-09-27,108.43,108.54,108.32,108.46,295400,104.94
2012-09-26,108.49,108.69,108.43,108.69,444600,105.16
2012-09-25,107.95,108.25,107.70,108.24,471900,104.73
2012-09-24,107.74,107.93,107.74,107.84,943800,104.34
2012-09-21,107.26,107.61,107.23,107.60,682000,104.11
2012-09-20,107.69,107.74,107.24,107.37,422300,103.89
2012-09-19,107.36,107.41,107.18,107.31,437200,103.83
2012-09-18,107.22,107.28,107.01,107.06,578700,103.59
2012-09-17,106.67,106.96,106.65,106.79,745300,103.33
2012-09-14,106.98,107.58,106.42,106.57,1050800,103.11
2012-09-13,107.56,107.77,106.77,107.58,1458700,104.09
2012-09-12,107.39,107.80,107.20,107.27,660700,103.79
2012-09-11,107.93,107.95,107.71,107.80,375200,104.30
2012-09-10,108.04,108.10,107.82,108.00,1614100,104.50
2012-09-07,108.53,108.57,107.95,107.95,2748500,104.45
2012-09-06,108.06,108.08,107.79,107.81,1376700,104.31
2012-09-05,108.56,108.68,108.44,108.55,782300,105.03
2012-09-04,108.60,108.83,108.52,108.59,1200200,105.07
2012-08-31,108.29,108.99,108.22,108.99,912700,105.31
2012-08-30,108.35,108.45,108.28,108.29,642200,104.63
2012-08-29,108.16,108.16,107.92,108.09,764700,104.44
2012-08-28,108.19,108.37,108.14,108.16,615000,104.51
2012-08-27,108.01,108.13,107.98,108.12,467400,104.47
2012-08-24,108.07,108.14,107.80,107.84,311500,104.20
2012-08-23,107.86,108.01,107.70,107.89,440200,104.25
2012-08-22,107.26,107.70,107.18,107.70,730600,104.06
2012-08-21,106.67,106.89,106.42,106.87,684500,103.26
2012-08-20,106.70,106.92,106.68,106.78,1000100,103.17
2012-08-17,106.68,106.90,106.68,106.72,784300,103.12
2012-08-16,106.88,106.98,106.43,106.59,861400,102.99
2012-08-15,107.14,107.21,106.80,106.85,934600,103.24
2012-08-14,107.50,107.63,107.39,107.39,642100,103.76
2012-08-13,108.10,108.19,107.92,107.92,729500,104.27
2012-08-10,108.14,108.18,107.68,107.99,466900,104.34
2012-08-09,107.63,107.83,107.42,107.68,833700,104.04
2012-08-08,107.95,108.06,107.68,107.76,862800,104.12
2012-08-07,107.98,108.02,107.79,107.91,1228200,104.27
2012-08-06,108.48,108.66,108.43,108.48,850800,104.82
2012-08-03,108.52,108.63,108.19,108.41,765500,104.75
2012-08-02,109.05,109.28,108.93,108.98,620000,105.30
2012-08-01,108.84,109.05,108.55,108.72,977300,105.05
2012-07-31,109.26,109.32,108.94,109.28,2209700,105.43
2012-07-30,108.78,109.12,108.71,109.09,666000,105.25
2012-07-27,109.18,109.18,108.36,108.74,1072300,104.91
2012-07-26,109.66,109.74,109.50,109.53,742000,105.67
2012-07-25,109.76,109.88,109.69,109.87,1246800,106.00
2012-07-24,109.44,109.89,109.42,109.81,905500,105.94
2012-07-23,109.74,109.77,109.52,109.60,1675600,105.74
2012-07-20,109.29,109.50,109.29,109.42,250900,105.57
2012-07-19,109.06,109.20,108.94,108.99,949100,105.15
2012-07-18,109.22,109.28,109.13,109.15,606000,105.31
2012-07-17,109.15,109.30,109.00,109.04,637900,105.20
2012-07-16,109.42,109.54,109.28,109.32,349400,105.47
2012-07-13,109.13,109.13,108.91,109.08,307900,105.24
2012-07-12,109.08,109.20,109.04,109.17,840400,105.33
2012-07-11,109.07,109.34,108.88,108.92,825800,105.09
2012-07-10,108.89,109.08,108.86,109.02,631900,105.18
2012-07-09,108.77,108.99,108.74,108.97,495300,105.13
2012-07-06,108.62,108.76,108.56,108.67,1146900,104.84
2012-07-05,108.14,108.36,108.08,108.29,1602600,104.48
2012-07-03,108.25,108.27,107.95,108.00,588000,104.20
2012-07-02,108.00,108.54,107.98,108.27,1580800,104.46
2012-06-29,107.82,108.04,107.78,107.93,646900,103.98
2012-06-28,108.47,108.54,108.35,108.43,413400,104.46
2012-06-27,108.07,108.12,107.85,108.08,3445300,104.12
2012-06-26,107.90,108.12,107.82,107.93,2395600,103.98
2012-06-25,107.99,108.18,107.98,108.17,594900,104.21
2012-06-22,107.63,107.82,107.57,107.58,1770300,103.64
2012-06-21,107.93,108.20,107.87,108.05,1655900,104.09
2012-06-20,107.70,108.12,107.53,107.82,913100,103.87
2012-06-19,108.17,108.21,107.88,108.04,1536800,104.08
2012-06-18,108.46,108.53,108.24,108.41,718800,104.44
2012-06-15,108.39,108.54,108.26,108.44,769400,104.47
2012-06-14,108.16,108.25,107.83,107.94,802600,103.99
2012-06-13,107.85,108.31,107.71,108.23,1332100,104.26
2012-06-12,107.92,108.10,107.64,107.66,569700,103.72
2012-06-11,107.71,108.32,107.71,108.24,1050900,104.27
2012-06-08,108.39,108.43,107.86,107.95,468000,103.99
2012-06-07,107.58,107.94,107.51,107.87,631800,103.92
2012-06-06,108.29,108.32,107.58,107.61,1492800,103.67
2012-06-05,108.51,108.65,108.31,108.32,836700,104.35
2012-06-04,108.84,108.99,108.64,108.68,849500,104.70
2012-06-01,109.06,109.37,108.91,109.31,2186400,105.31
2012-05-31,108.34,108.89,108.30,108.55,2994300,104.41
2012-05-30,107.85,108.21,107.81,108.13,645600,104.00
2012-05-29,107.26,107.47,107.11,107.11,865400,103.02
2012-05-25,107.11,107.25,107.06,107.20,370400,103.11
2012-05-24,106.96,107.04,106.85,106.89,417700,102.81
2012-05-23,107.13,107.40,107.08,107.12,658000,103.03
2012-05-22,106.79,106.94,106.63,106.84,538300,102.76
2012-05-21,107.18,107.26,107.07,107.07,791600,102.98
2012-05-18,107.10,107.44,107.07,107.35,831900,103.25
2012-05-17,106.92,107.43,106.90,107.42,764000,103.32
2012-05-16,106.65,107.08,106.62,107.02,761600,102.94
2012-05-15,106.84,107.00,106.76,106.94,922100,102.86
2012-05-14,106.88,107.00,106.73,106.91,650200,102.83
2012-05-11,106.44,106.47,106.27,106.44,403500,102.38
2012-05-10,106.00,106.13,105.85,106.09,347000,102.04
2012-05-09,106.44,106.50,106.14,106.24,961400,102.19
2012-05-08,106.12,106.38,106.10,106.15,522300,102.10
2012-05-07,105.98,106.04,105.87,105.91,490800,101.87
2012-05-04,105.68,105.94,105.67,105.94,814100,101.90
2012-05-03,105.31,105.58,105.31,105.52,360000,101.49
2012-05-02,105.57,105.61,105.39,105.53,1030200,101.50
2012-05-01,105.66,105.70,105.22,105.33,864100,101.31
2012-04-30,105.69,105.81,105.64,105.69,1820300,101.50
2012-04-27,105.42,105.61,105.41,105.60,368100,101.41
2012-04-26,105.50,105.53,105.31,105.49,314300,101.30
2012-04-25,105.02,105.32,104.77,105.14,681200,100.97
2012-04-24,105.43,105.46,105.25,105.27,506100,101.09
2012-04-23,105.60,105.72,105.51,105.54,746600,101.35
2012-04-20,105.13,105.33,105.07,105.33,377500,101.15
2012-04-19,105.31,105.40,105.27,105.32,408800,101.14
2012-04-18,105.14,105.23,105.08,105.20,502900,101.03
2012-04-17,104.97,105.08,104.88,104.99,923400,100.82
2012-04-16,105.09,105.42,105.05,105.10,1179600,100.93
2012-04-13,104.90,105.15,104.87,105.13,461400,100.96
2012-04-12,104.79,104.82,104.47,104.50,451500,100.35
2012-04-11,104.71,104.83,104.61,104.71,435000,100.55
2012-04-10,104.80,105.20,104.72,105.12,900500,100.95
2012-04-09,104.66,104.76,104.53,104.63,573700,100.48
2012-04-05,103.57,103.60,103.29,103.57,456400,99.46
2012-04-04,103.01,103.12,102.90,103.11,461300,99.02
2012-04-03,103.51,103.69,102.51,102.59,833100,98.52
2012-04-02,103.53,103.54,103.25,103.35,1433800,99.25
2012-03-30,103.77,103.91,103.15,103.28,502600,99.01
2012-03-29,103.73,103.79,103.57,103.79,727700,99.50
2012-03-28,103.36,103.74,103.36,103.36,314700,99.09
2012-03-27,103.16,103.61,103.14,103.54,579200,99.26
2012-03-26,103.02,103.13,102.67,102.97,471700,98.71
2012-03-23,102.98,103.25,102.95,103.09,396100,98.83
2012-03-22,102.82,102.90,102.63,102.71,326200,98.46
2012-03-21,102.27,102.63,102.26,102.58,458100,98.34
2012-03-20,102.11,102.25,101.77,102.06,769100,97.84
2012-03-19,102.50,102.56,101.83,102.01,1133200,97.79
2012-03-16,102.24,102.65,102.15,102.64,681200,98.40
2012-03-15,102.57,102.90,102.57,102.67,2302300,98.43
2012-03-14,103.39,103.44,102.62,102.70,1733100,98.46
2012-03-13,104.40,104.44,103.87,103.89,618600,99.60
2012-03-12,104.86,104.90,104.64,104.64,503100,100.32
2012-03-09,104.63,104.71,104.43,104.67,286800,100.34
2012-03-08,104.97,105.07,104.71,104.75,329900,100.42
2012-03-07,105.21,105.25,105.01,105.06,436100,100.72
2012-03-06,105.23,105.42,105.20,105.26,605800,100.91
2012-03-05,104.94,105.09,104.78,104.82,1406100,100.49
2012-03-02,104.73,105.10,104.73,105.03,360100,100.69
2012-03-01,104.48,104.64,104.34,104.61,1185200,100.29
2012-02-29,105.50,105.53,104.99,105.12,787500,100.61
2012-02-28,105.69,105.80,105.46,105.54,817900,101.01
2012-02-27,105.60,105.66,105.45,105.49,588600,100.97
2012-02-24,105.13,105.21,105.06,105.14,360100,100.63
2012-02-23,104.82,105.19,104.68,105.06,805900,100.55
2012-02-22,104.66,105.00,104.66,104.91,538200,100.41
2012-02-21,104.67,104.71,104.37,104.50,635300,100.02
2012-02-17,104.67,104.92,104.64,104.88,653600,100.38
2012-02-16,105.21,105.34,104.81,104.99,1540500,100.49
2012-02-15,105.36,105.68,105.35,105.47,344100,100.95
2012-02-14,105.32,105.55,105.23,105.39,615500,100.87
2012-02-13,105.04,105.30,105.00,105.17,299300,100.66
2012-02-10,105.15,105.34,105.02,105.24,1322600,100.73
2012-02-09,104.70,104.80,104.38,104.65,1802500,100.16
2012-02-08,104.83,105.00,104.73,104.89,404800,100.39
2012-02-07,105.07,105.15,104.76,104.84,1164900,100.34
2012-02-06,105.27,105.59,105.15,105.52,2968500,101.00
2012-02-03,105.28,105.41,105.09,105.23,1112600,100.72
2012-02-02,105.98,106.13,105.88,106.07,839900,101.52
2012-02-01,106.04,106.08,105.84,105.92,1698800,101.38
2012-01-31,105.93,106.49,105.93,106.48,1001800,101.73
2012-01-30,106.10,106.31,106.02,106.08,1152400,101.35
2012-01-27,105.56,105.75,105.37,105.72,767600,101.01
2012-01-26,105.12,105.46,105.12,105.40,1055000,100.70
2012-01-25,104.28,105.44,104.23,104.84,1149200,100.16
2012-01-24,104.34,104.34,104.05,104.34,1388100,99.69
2012-01-23,104.14,104.32,104.00,104.22,734000,99.57
2012-01-20,104.61,104.78,104.42,104.45,650600,99.79
2012-01-19,105.23,105.30,104.69,104.81,1587200,100.14
2012-01-18,105.92,105.92,105.39,105.44,455200,100.74
2012-01-17,105.62,105.83,105.60,105.77,1158100,101.05
2012-01-13,105.70,105.91,105.64,105.67,554000,100.96
2012-01-12,105.36,105.41,105.09,105.20,685000,100.51
2012-01-11,105.08,105.45,105.08,105.42,931600,100.72
2012-01-10,104.74,105.01,104.69,104.81,1636100,100.14
2012-01-09,104.94,105.27,104.90,105.02,379900,100.34
2012-01-06,104.72,105.06,104.72,105.00,998200,100.32
2012-01-05,104.66,105.01,104.52,104.59,1311300,99.93
2012-01-04,104.89,104.93,104.45,104.57,1789000,99.91
2012-01-03,104.90,105.19,104.77,104.90,1297700,100.22
