Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,30.70,31.94,30.44,31.53,25891700,28.17
2008-12-30,29.89,31.05,29.88,31.01,29842400,27.70
2008-12-29,29.99,30.02,28.80,29.78,22318000,26.60
2008-12-26,30.05,30.26,29.25,29.80,12630500,26.62
2008-12-24,28.65,29.88,28.65,29.85,12339700,26.66
2008-12-23,30.23,30.40,29.11,29.11,26931700,26.00
2008-12-22,30.64,31.19,29.51,29.82,36378400,26.64
2008-12-19,30.11,31.25,29.78,30.32,55696800,27.08
2008-12-18,32.16,32.59,30.12,30.21,57491500,26.99
2008-12-17,31.50,32.89,31.05,31.86,46719900,28.46
2008-12-16,29.01,32.75,28.84,32.35,75822100,28.90
2008-12-15,29.34,29.78,28.17,28.63,51629100,25.57
2008-12-12,28.44,31.22,28.01,30.94,59939000,27.64
2008-12-11,32.60,32.76,29.74,29.94,70746400,26.75
2008-12-10,34.40,34.96,33.08,33.52,47919600,29.94
2008-12-09,35.67,35.70,33.66,33.96,65827700,30.34
2008-12-08,33.97,37.70,33.60,36.49,84589300,32.60
2008-12-05,30.41,34.00,29.73,33.35,73599200,29.79
2008-12-04,29.84,32.90,29.75,31.08,80719600,27.76
2008-12-03,27.44,30.74,27.04,30.25,64914200,27.02
2008-12-02,26.54,28.90,24.61,28.53,81316000,25.49
2008-12-01,30.67,30.70,26.02,26.12,70984500,23.33
2008-11-28,30.36,31.93,30.13,31.66,22787500,28.28
2008-11-26,28.76,30.75,28.17,30.62,55644900,27.35
2008-11-25,29.63,30.71,28.50,29.77,105430800,26.59
2008-11-24,23.92,28.34,22.50,27.58,137382200,24.64
2008-11-21,23.74,24.42,19.69,22.72,194075000,20.30
2008-11-20,27.74,28.71,22.32,23.38,160729900,20.89
2008-11-19,31.69,32.02,28.28,28.47,90226200,25.43
2008-11-18,32.76,33.10,30.36,32.14,67807700,28.71
2008-11-17,33.82,34.87,32.50,32.77,57560400,29.27
2008-11-14,36.33,36.91,34.16,34.47,55941000,30.79
2008-11-13,34.65,37.50,33.50,37.19,74523600,33.22
2008-11-12,35.42,36.30,34.31,34.57,56726100,30.88
2008-11-11,35.82,37.45,35.27,36.35,61577400,32.47
2008-11-10,38.28,38.48,35.65,36.41,41558500,32.52
2008-11-07,38.23,38.52,36.47,37.75,50210800,33.72
2008-11-06,38.96,39.76,37.86,38.26,56467100,34.18
2008-11-05,41.73,42.50,38.62,39.22,53524900,35.03
2008-11-04,41.25,42.42,40.88,42.17,48917100,37.67
2008-11-03,41.25,41.25,40.20,40.73,45059900,36.38
2008-10-31,37.29,41.25,37.28,41.25,86948900,36.85
2008-10-30,36.89,38.00,36.03,37.62,47372000,33.61
2008-10-29,37.11,38.38,35.51,35.71,61823300,31.90
2008-10-28,34.95,37.72,32.52,37.60,73082500,33.59
2008-10-27,35.10,35.90,33.33,34.00,62712700,30.37
2008-10-24,35.12,37.73,34.51,35.43,61968800,31.65
2008-10-23,37.36,38.75,35.82,37.85,63917000,33.81
2008-10-22,39.15,40.05,36.01,37.17,60825200,33.20
2008-10-21,39.92,41.27,39.60,39.74,41780700,35.50
2008-10-20,40.01,40.70,38.80,40.66,44732100,36.32
2008-10-17,39.63,41.39,39.06,39.33,60991200,35.13
2008-10-16,39.02,41.00,36.31,40.49,75112400,36.17
