Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,57.58,57.75,56.93,57.00,10848800,25.19
2009-12-30,57.74,57.90,57.48,57.68,9625200,25.49
2009-12-29,57.45,57.97,57.45,57.74,9551000,25.52
2009-12-28,57.41,57.58,57.28,57.44,7679600,25.39
2009-12-24,57.49,57.51,57.05,57.44,5814200,25.39
2009-12-23,57.20,57.50,56.99,57.29,10937600,25.32
2009-12-22,57.15,57.58,57.09,57.27,12111800,25.31
2009-12-21,57.02,57.61,56.90,57.18,14616200,25.27
2009-12-18,57.26,57.26,56.31,56.92,37737800,25.16
2009-12-17,58.26,58.27,56.94,56.98,25472000,25.18
2009-12-16,58.95,59.20,58.38,58.42,19605000,25.82
2009-12-15,59.15,59.19,58.85,59.06,15299800,26.10
2009-12-14,59.11,59.45,58.92,59.04,16670200,26.09
2009-12-11,58.60,59.40,58.60,59.11,30435600,26.12
2009-12-10,57.98,58.92,57.92,58.58,30755400,25.89
2009-12-09,57.45,57.85,57.03,57.83,19494600,25.56
2009-12-08,57.53,57.74,57.07,57.68,18290800,25.49
2009-12-07,56.96,58.10,56.70,57.87,16705400,25.58
2009-12-04,57.60,58.03,56.81,57.49,24927200,25.41
2009-12-03,58.09,58.09,57.16,57.27,20241800,25.31
2009-12-02,57.83,58.20,57.68,57.96,13599400,25.62
2009-12-01,57.59,58.26,57.38,58.08,15359800,25.67
2009-11-30,57.29,57.32,56.80,57.20,18884800,25.28
2009-11-27,56.98,57.53,56.40,57.18,15675400,25.27
2009-11-25,58.37,58.37,57.99,58.11,13380600,25.50
2009-11-24,58.43,58.43,57.86,58.19,15581400,25.54
2009-11-23,57.71,58.35,57.71,58.24,18542400,25.56
2009-11-20,56.69,57.69,56.69,57.48,20697600,25.22
2009-11-19,56.24,56.98,56.04,56.88,18154400,24.96
2009-11-18,56.93,57.00,56.29,56.58,15253200,24.83
2009-11-17,56.64,56.92,56.45,56.87,11344000,24.96
2009-11-16,56.65,57.09,56.43,56.74,16239400,24.90
2009-11-13,56.06,56.70,55.90,56.46,23351000,24.78
2009-11-12,56.11,56.38,55.85,55.94,15196000,24.55
2009-11-11,56.06,56.27,55.74,56.13,14304600,24.63
2009-11-10,55.35,56.19,55.25,55.81,16139400,24.49
2009-11-09,54.59,55.50,54.17,55.48,19230400,24.35
2009-11-06,53.97,54.50,53.81,54.49,10680400,23.91
2009-11-05,53.51,54.48,53.45,54.40,16305800,23.87
2009-11-04,53.42,54.00,53.03,53.49,14114400,23.47
2009-11-03,53.65,53.68,52.77,53.12,16314800,23.31
2009-11-02,53.51,53.92,53.16,53.72,18603600,23.57
2009-10-30,54.06,54.27,53.11,53.31,21812200,23.39
2009-10-29,53.52,54.11,53.15,54.09,14807000,23.74
2009-10-28,53.25,54.00,53.23,53.51,16017200,23.48
2009-10-27,53.24,53.92,53.09,53.46,14735200,23.46
2009-10-26,53.08,54.30,52.71,53.23,21567600,23.36
2009-10-23,53.91,54.15,53.12,53.24,21709400,23.36
2009-10-22,53.58,54.27,53.41,54.15,16361000,23.76
2009-10-21,53.82,54.69,53.70,54.07,16511200,23.73
2009-10-20,53.59,54.15,53.18,54.07,26859600,23.73
2009-10-19,55.14,55.50,54.67,54.79,20656000,24.04
2009-10-16,54.92,55.20,54.69,55.01,22090800,24.14
2009-10-15,54.73,55.21,54.35,54.92,24241800,24.10
2009-10-14,54.92,55.03,54.59,54.84,16081000,24.07
2009-10-13,54.77,54.96,54.55,54.80,11937400,24.05
2009-10-12,54.83,55.25,54.53,54.79,16013800,24.04
2009-10-09,54.67,54.90,54.25,54.65,11828400,23.98
2009-10-08,55.01,55.01,54.32,54.59,18030400,23.96
2009-10-07,54.86,55.28,54.32,54.81,20761400,24.05
2009-10-06,53.81,54.65,53.66,54.32,19109800,23.84
2009-10-05,53.81,54.00,53.30,53.80,15554600,23.61
2009-10-02,53.06,54.08,52.91,53.87,25169000,23.64
2009-10-01,53.40,53.70,53.04,53.12,28071000,23.31
2009-09-30,53.32,53.95,52.60,53.70,28275800,23.57
2009-09-29,53.40,53.54,53.19,53.31,17321200,23.39
2009-09-28,53.03,53.63,52.90,53.13,15193400,23.31
2009-09-25,52.33,53.28,52.27,52.97,21737000,23.24
2009-09-24,52.58,53.14,52.23,52.34,24283000,22.97
2009-09-23,52.94,53.15,52.17,52.58,20835200,23.07
2009-09-22,53.31,53.31,52.73,52.85,19425600,23.19
2009-09-21,53.48,53.76,52.78,53.00,24711600,23.26
2009-09-18,53.68,54.12,53.30,53.76,124169000,23.59
2009-09-17,52.50,53.45,52.42,53.42,27358600,23.44
2009-09-16,52.44,52.82,51.90,52.67,26104600,23.11
2009-09-15,52.08,52.58,51.65,52.45,27725400,23.02
2009-09-14,51.08,52.47,50.91,52.16,33162200,22.89
2009-09-11,50.13,51.74,50.00,51.51,34130200,22.60
2009-09-10,50.53,50.80,50.16,50.58,21545000,22.02
2009-09-09,50.39,50.81,50.24,50.63,15813000,22.04
2009-09-08,49.94,50.79,49.72,50.41,31283600,21.94
2009-09-04,49.30,50.08,49.05,49.95,15117600,21.74
2009-09-03,49.63,49.85,49.23,49.58,22579800,21.58
2009-09-02,48.55,50.30,48.55,49.80,40824000,21.68
2009-09-01,48.72,49.25,48.38,48.53,24552800,21.12
2009-08-31,48.84,49.37,48.50,48.77,21321600,21.23
2009-08-28,49.62,49.64,48.92,49.06,13716200,21.35
2009-08-27,49.18,49.64,48.76,49.44,13884800,21.52
2009-08-26,48.82,49.32,48.70,49.18,13591400,21.41
2009-08-25,49.12,49.15,48.69,48.74,21427800,21.22
2009-08-24,49.80,49.80,48.81,49.06,21742400,21.35
2009-08-21,49.60,49.98,49.25,49.91,17650000,21.72
2009-08-20,49.39,49.58,49.12,49.42,11873200,21.51
2009-08-19,48.32,49.48,48.32,49.36,17039600,21.49
2009-08-18,48.75,48.95,48.48,48.61,15516200,21.16
2009-08-17,48.44,48.79,48.12,48.70,16211600,21.20
2009-08-14,48.05,48.47,48.00,48.47,14806400,21.10
2009-08-13,48.43,48.65,47.42,48.12,26560600,20.95
2009-08-12,48.96,49.09,48.43,48.46,24894800,21.09
2009-08-11,49.42,49.48,48.95,49.04,12509000,21.35
2009-08-10,49.26,49.48,48.98,49.44,13499200,21.52
2009-08-07,49.66,49.75,49.17,49.34,13305400,21.48
2009-08-06,49.41,49.55,49.20,49.39,13811600,21.50
2009-08-05,49.51,49.59,49.00,49.17,15010000,21.40
2009-08-04,49.56,50.15,49.35,49.50,17580200,21.55
2009-08-03,50.03,50.10,49.30,49.60,18436000,21.59
2009-07-31,49.64,50.20,49.50,49.84,16822200,21.69
2009-07-30,49.82,50.50,49.55,49.67,19436600,21.62
2009-07-29,49.42,49.94,49.09,49.28,18125000,21.45
2009-07-28,49.43,49.75,49.00,49.39,16079600,21.50
2009-07-27,49.36,49.59,49.15,49.52,16257600,21.55
2009-07-24,49.41,49.64,48.84,49.36,16574000,21.49
2009-07-23,49.13,50.02,48.88,49.18,26749000,21.41
2009-07-22,50.32,50.34,48.85,49.13,28358800,21.38
2009-07-21,50.83,50.83,49.80,50.35,28738600,21.92
2009-07-20,50.61,51.03,50.07,51.03,19104800,22.21
2009-07-17,50.31,50.55,50.03,50.32,19808400,21.90
2009-07-16,50.35,50.88,50.16,50.79,15817800,22.11
2009-07-15,49.47,50.58,49.39,50.53,20127200,21.99
2009-07-14,49.02,49.35,48.74,49.29,15369200,21.45
2009-07-13,48.38,49.18,48.10,49.05,20608400,21.35
2009-07-10,48.50,48.87,48.02,48.31,15619200,21.03
2009-07-09,48.72,48.85,48.51,48.71,17427000,21.20
2009-07-08,48.55,48.88,48.17,48.51,21321000,21.12
2009-07-07,48.73,49.17,48.55,48.64,17109000,21.17
2009-07-06,48.68,49.05,48.38,49.00,16671800,21.33
2009-07-02,48.77,49.43,48.77,48.88,22199200,21.28
2009-07-01,48.48,49.60,48.41,49.18,24212400,21.41
2009-06-30,48.21,48.25,47.81,47.99,31447400,20.89
2009-06-29,48.14,48.50,48.12,48.29,17526600,21.02
2009-06-26,47.72,48.29,47.63,48.13,26200600,20.95
2009-06-25,47.42,48.03,47.18,47.85,20630200,20.83
2009-06-24,48.12,48.49,47.36,47.50,17777000,20.68
2009-06-23,48.19,48.53,47.75,47.80,18727000,20.81
2009-06-22,48.52,48.81,47.99,47.99,21359600,20.89
2009-06-19,49.73,49.89,48.71,48.81,30718400,21.25
2009-06-18,47.99,49.64,47.96,49.55,24154600,21.57
2009-06-17,47.88,48.64,47.84,47.93,16653800,20.86
2009-06-16,48.19,48.33,47.82,47.83,15866200,20.82
2009-06-15,48.61,48.66,48.10,48.11,17630000,20.94
2009-06-12,48.68,49.04,48.48,48.89,17240800,21.28
2009-06-11,48.12,49.21,48.08,48.58,20569000,21.15
2009-06-10,49.30,49.36,48.05,48.41,28236200,20.89
2009-06-09,49.51,49.60,48.86,49.09,20304400,21.19
2009-06-08,49.23,49.63,48.81,49.38,15849400,21.31
2009-06-05,49.91,49.94,49.23,49.44,19833400,21.34
2009-06-04,49.14,49.79,48.71,49.76,21710200,21.48
2009-06-03,49.34,49.50,48.77,49.09,26862800,21.19
2009-06-02,49.01,49.93,48.88,49.66,33442000,21.43
2009-06-01,49.25,49.45,48.72,49.02,42668400,21.16
2009-05-29,47.01,49.16,46.95,49.16,45436800,21.22
2009-05-28,46.65,47.20,46.36,46.90,18940200,20.24
2009-05-27,47.13,47.19,46.54,46.63,19064800,20.12
2009-05-26,47.00,47.48,46.88,47.21,28784800,20.38
2009-05-22,46.67,47.71,46.64,47.30,24576400,20.41
2009-05-21,46.64,46.82,46.40,46.68,28366400,20.15
2009-05-20,46.81,47.29,46.54,47.00,33379200,20.28
2009-05-19,46.14,46.93,45.82,46.64,31889400,20.13
2009-05-18,45.14,46.12,44.68,46.07,28462000,19.88
2009-05-15,44.83,45.08,44.63,44.96,34102200,19.40
2009-05-14,43.92,45.17,43.91,44.90,34590000,19.38
2009-05-13,44.03,44.39,43.44,43.63,23717800,18.83
2009-05-12,42.96,44.69,42.86,44.40,37052200,19.16
2009-05-11,42.73,43.19,42.54,42.75,18437800,18.45
2009-05-08,42.95,43.17,42.51,42.92,24158600,18.52
2009-05-07,43.32,43.32,42.57,42.80,27057600,18.47
2009-05-06,43.50,43.59,42.75,42.94,19488600,18.53
2009-05-05,43.32,43.75,43.02,43.14,22393600,18.62
2009-05-04,42.60,43.24,42.23,43.17,26789000,18.63
2009-05-01,43.14,43.21,42.18,42.47,21220200,18.33
2009-04-30,43.13,44.07,42.80,43.05,35959200,18.58
2009-04-29,42.37,43.09,42.36,42.71,20426400,18.43
2009-04-28,42.11,42.55,42.00,42.28,18167600,18.25
2009-04-27,42.42,42.97,42.08,42.24,23763600,18.23
2009-04-24,42.95,43.09,42.57,42.79,29316200,18.47
2009-04-23,43.07,43.15,42.69,42.92,28034600,18.52
2009-04-22,43.20,43.22,42.60,42.93,28969200,18.53
2009-04-21,44.16,44.95,42.62,43.09,37523000,18.60
2009-04-20,44.85,45.00,43.81,44.33,27665400,19.13
2009-04-17,45.25,45.44,44.66,45.02,22426000,19.43
2009-04-16,45.37,45.51,44.34,45.10,17325600,19.46
2009-04-15,44.20,45.12,44.10,45.03,16665600,19.43
2009-04-14,44.60,44.60,43.81,44.21,16458200,19.08
2009-04-13,44.95,44.97,44.40,44.73,13174400,19.30
2009-04-09,45.71,45.73,44.82,44.99,16203000,19.42
2009-04-08,44.69,45.14,44.52,44.99,13595600,19.42
2009-04-07,44.84,45.17,44.46,44.62,15666200,19.26
2009-04-06,44.70,45.23,44.54,44.99,16084000,19.42
2009-04-03,45.37,45.76,44.48,44.97,17886600,19.41
2009-04-02,45.30,45.83,44.65,45.34,24926400,19.57
2009-04-01,43.76,44.99,43.50,44.86,21254800,19.36
2009-03-31,44.27,44.72,43.86,43.95,23836600,18.97
2009-03-30,44.50,44.66,43.43,43.92,22905800,18.96
2009-03-27,44.43,45.20,44.43,45.10,23103600,19.46
2009-03-26,44.95,45.00,43.82,44.85,27807800,19.36
2009-03-25,44.40,44.89,44.03,44.75,24485400,19.31
2009-03-24,43.60,44.34,43.41,44.02,21878800,19.00
2009-03-23,43.16,44.14,43.00,44.14,26501400,19.05
2009-03-20,42.32,43.14,42.31,42.64,38328800,18.40
2009-03-19,41.85,42.25,41.80,42.18,22777600,18.20
2009-03-18,41.30,42.25,41.00,41.65,28792800,17.98
2009-03-17,41.34,41.67,40.82,41.45,20241600,17.89
2009-03-16,41.46,42.01,41.12,41.27,23204000,17.81
2009-03-13,41.08,41.45,40.43,41.22,24396800,17.79
2009-03-12,39.58,40.86,39.35,40.84,25473600,17.63
2009-03-11,39.16,39.95,39.05,39.57,27254000,17.08
2009-03-10,39.63,39.67,38.65,39.16,35181400,16.72
2009-03-09,39.48,39.87,38.73,38.75,35127400,16.55
2009-03-06,38.15,39.21,38.10,39.10,33002400,16.70
