Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,29.86,30.15,29.83,29.86,41739800,25.27
2006-12-28,29.86,30.03,29.81,29.98,26690600,25.37
2006-12-27,29.99,30.13,29.91,30.02,31248400,25.40
2006-12-26,29.53,30.00,29.40,29.99,37098300,25.38
2006-12-22,29.83,29.86,29.62,29.64,37971700,25.08
2006-12-21,30.13,30.14,29.89,29.98,32270500,25.37
2006-12-20,29.99,30.24,29.97,30.09,31202100,25.46
2006-12-19,29.71,30.17,29.53,29.99,53822100,25.38
2006-12-18,30.19,30.26,29.78,29.89,56986800,25.29
2006-12-15,30.14,30.23,30.03,30.19,102783700,25.55
2006-12-14,29.54,30.08,29.52,30.07,85866500,25.45
2006-12-13,29.60,29.60,29.32,29.55,46002500,25.01
2006-12-12,29.56,29.63,29.22,29.43,68529400,24.90
2006-12-11,29.19,29.75,29.11,29.54,107712000,25.00
2006-12-08,28.82,29.40,28.80,29.40,108854900,24.88
2006-12-07,28.96,29.07,28.81,28.85,46831100,24.41
2006-12-06,29.10,29.13,28.87,28.99,48564100,24.53
2006-12-05,29.36,29.40,29.03,29.13,45606000,24.65
2006-12-04,29.23,29.52,29.17,29.33,55123400,24.82
2006-12-01,29.23,29.30,28.90,29.12,72257000,24.64
2006-11-30,29.42,29.57,29.33,29.36,53297400,24.85
2006-11-29,29.44,29.78,29.43,29.57,58775100,25.02
2006-11-28,29.34,29.42,29.13,29.39,52602300,24.87
2006-11-27,29.69,29.74,29.33,29.48,72722100,24.95
2006-11-24,29.66,29.84,29.64,29.76,20456700,25.18
2006-11-22,29.97,30.00,29.82,29.92,43907200,25.32
2006-11-21,29.91,30.00,29.79,29.92,66446600,25.32
2006-11-20,29.52,30.00,29.50,29.89,85703800,25.29
2006-11-17,29.31,29.54,29.28,29.40,49356700,24.88
2006-11-16,29.14,29.64,29.13,29.47,64328500,24.94
2006-11-15,29.13,29.36,29.11,29.12,63943200,24.64
2006-11-14,29.28,29.42,29.07,29.23,63012500,24.74
2006-11-13,29.19,29.46,29.16,29.35,47271800,24.75
2006-11-10,29.17,29.29,29.15,29.24,37855100,24.66
2006-11-09,29.11,29.40,29.00,29.26,89407500,24.68
2006-11-08,28.78,29.23,28.66,28.98,77403300,24.44
2006-11-07,28.86,29.07,28.80,28.95,56511200,24.41
2006-11-06,28.77,29.05,28.76,28.84,60446200,24.32
2006-11-03,28.85,28.93,28.61,28.73,41124500,24.23
2006-11-02,28.71,28.86,28.58,28.77,58674400,24.26
2006-11-01,28.78,28.99,28.70,28.81,75895900,24.30
2006-10-31,28.66,28.85,28.56,28.71,61861700,24.21
2006-10-30,28.35,28.84,28.32,28.53,47296800,24.06
2006-10-27,28.49,28.79,28.25,28.34,89060100,23.90
2006-10-26,28.33,28.41,28.04,28.35,69964200,23.91
2006-10-25,28.28,28.46,28.14,28.31,40717100,23.88
2006-10-24,28.43,28.43,28.13,28.28,61409600,23.85
2006-10-23,28.30,28.69,28.18,28.45,48525000,23.99
2006-10-20,28.48,28.49,28.17,28.43,48887800,23.98
2006-10-19,28.35,28.45,28.12,28.29,44730800,23.86
2006-10-18,28.50,28.70,28.26,28.52,40630800,24.05
2006-10-17,28.24,28.51,28.17,28.44,40122600,23.98
2006-10-16,28.48,28.60,28.33,28.45,49744800,23.99
2006-10-13,28.34,28.69,28.31,28.37,129751900,23.93
2006-10-12,27.58,28.29,27.54,28.22,120174900,23.80
2006-10-11,27.46,27.67,27.42,27.54,37219600,23.23
2006-10-10,27.69,27.75,27.44,27.69,34598500,23.35
2006-10-09,27.80,27.93,27.62,27.72,33366300,23.38
2006-10-06,27.76,28.00,27.65,27.87,36452200,23.50
2006-10-05,27.92,28.11,27.78,27.92,81967200,23.55
2006-10-04,27.39,27.96,27.37,27.94,82191200,23.56
2006-10-03,27.37,27.48,27.21,27.37,39386200,23.08
2006-10-02,27.32,27.49,27.15,27.36,52908100,23.07
2006-09-29,27.35,27.42,27.21,27.35,34283500,23.07
2006-09-28,27.47,27.52,27.26,27.40,44179700,23.11
2006-09-27,27.18,27.47,27.12,27.44,66233900,23.14
2006-09-26,26.91,27.32,26.88,27.20,54766500,22.94
2006-09-25,26.81,27.19,26.79,26.95,67903900,22.73
2006-09-22,26.83,26.85,26.48,26.66,47712500,22.48
2006-09-21,27.24,27.25,26.85,26.90,58495100,22.69
2006-09-20,27.01,27.23,26.99,27.18,71676400,22.92
2006-09-19,26.74,26.94,26.72,26.86,43039100,22.65
2006-09-18,26.74,27.04,26.67,26.79,49135000,22.59
2006-09-15,26.58,26.94,26.49,26.85,126057700,22.64
2006-09-14,25.99,26.50,25.98,26.33,74324500,22.21
2006-09-13,25.82,26.10,25.82,25.98,37706700,21.91
2006-09-12,25.90,25.98,25.72,25.93,52248800,21.87
2006-09-11,25.43,25.95,25.42,25.91,55608200,21.85
2006-09-08,25.53,25.79,25.46,25.60,36866800,21.59
2006-09-07,25.48,25.70,25.39,25.43,51266900,21.45
2006-09-06,25.51,25.72,25.51,25.61,50160400,21.60
2006-09-05,25.69,25.96,25.56,25.61,44222400,21.60
2006-09-01,25.89,25.97,25.64,25.84,31594600,21.79
2006-08-31,25.87,25.98,25.68,25.70,26380500,21.67
2006-08-30,25.85,25.89,25.64,25.80,30283100,21.76
2006-08-29,25.92,25.98,25.63,25.84,42711200,21.79
2006-08-28,25.84,26.00,25.69,25.95,34190900,21.88
2006-08-25,25.71,26.00,25.69,25.85,33115900,21.80
2006-08-24,25.82,25.86,25.50,25.74,35933300,21.71
2006-08-23,25.65,25.95,25.52,25.67,44648500,21.65
2006-08-22,26.01,26.25,25.62,25.62,89312400,21.61
2006-08-21,25.66,26.13,25.56,26.12,88398300,22.03
2006-08-18,25.05,25.80,24.98,25.79,128414800,21.75
2006-08-17,24.70,24.75,24.61,24.70,45674800,20.83
2006-08-16,24.61,24.73,24.47,24.70,52373600,20.83
2006-08-15,24.55,24.65,24.44,24.62,48994500,20.76
2006-08-14,24.52,24.60,24.35,24.53,47831900,20.61
2006-08-11,24.43,24.45,24.20,24.43,30255500,20.53
2006-08-10,24.37,24.60,24.34,24.46,31753400,20.55
2006-08-09,24.49,24.64,24.34,24.44,44405700,20.54
2006-08-08,24.39,24.52,24.20,24.34,58171300,20.45
2006-08-07,24.28,24.48,24.19,24.22,36862400,20.35
2006-08-04,24.40,24.49,24.15,24.29,45690400,20.41
2006-08-03,24.19,24.48,24.15,24.21,43155300,20.34
2006-08-02,24.12,24.40,24.03,24.30,46462000,20.42
2006-08-01,24.02,24.20,23.85,23.99,49168700,20.16
2006-07-31,24.07,24.42,24.01,24.06,40254400,20.22
2006-07-28,24.08,24.28,24.06,24.25,51705800,20.38
2006-07-27,24.58,24.60,23.77,23.87,85386800,20.06
2006-07-26,24.12,24.53,24.10,24.37,54942100,20.48
2006-07-25,24.00,24.29,23.90,24.22,60075800,20.35
2006-07-24,24.01,24.11,23.79,24.00,59586700,20.17
2006-07-21,24.08,24.15,23.00,23.87,175483800,20.06
2006-07-20,23.44,23.45,22.78,22.85,76605200,19.20
2006-07-19,22.82,23.46,22.72,23.40,82188200,19.66
2006-07-18,22.59,22.76,22.48,22.74,65047300,19.11
2006-07-17,22.29,22.61,22.26,22.48,37053500,18.89
2006-07-14,22.28,22.55,22.23,22.29,67499400,18.73
2006-07-13,22.37,22.61,22.25,22.26,73099500,18.70
2006-07-12,22.79,22.88,22.62,22.64,77379300,19.02
2006-07-11,23.37,23.37,22.74,23.10,88676300,19.41
2006-07-10,23.43,23.66,23.38,23.50,50565100,19.75
2006-07-07,23.39,23.55,23.30,23.30,63168800,19.58
2006-07-06,23.45,23.61,23.42,23.48,44775200,19.73
2006-07-05,23.48,23.52,23.30,23.35,53093500,19.62
2006-07-03,23.53,23.72,23.45,23.70,25711400,19.91
2006-06-30,23.54,23.65,23.30,23.30,73048800,19.58
2006-06-29,23.32,23.63,23.22,23.47,121395500,19.72
2006-06-28,22.96,23.25,22.91,23.16,71906500,19.46
2006-06-27,22.89,23.16,22.84,22.86,84759100,19.21
2006-06-26,22.65,22.89,22.63,22.82,53644100,19.17
2006-06-23,22.85,22.87,22.50,22.50,60532600,18.91
2006-06-22,23.06,23.17,22.78,22.88,76590600,19.22
2006-06-21,22.61,23.15,22.53,23.08,91660300,19.39
2006-06-20,22.54,22.76,22.50,22.56,90598500,18.96
2006-06-19,22.14,22.60,22.12,22.55,129640900,18.95
2006-06-16,21.97,22.28,21.79,22.10,147506500,18.57
2006-06-15,22.01,22.13,21.80,22.07,121577300,18.54
2006-06-14,21.59,21.94,21.55,21.88,86081500,18.38
2006-06-13,21.73,22.03,21.46,21.51,113175300,18.07
2006-06-12,21.96,22.10,21.70,21.71,74309700,18.24
