Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,31.22,31.33,30.93,31.30,11716300,30.24
2010-12-30,31.45,31.58,31.21,31.29,12989400,30.23
2010-12-29,31.53,31.69,31.42,31.50,9769000,30.43
2010-12-28,31.66,31.76,31.41,31.57,9736000,30.50
2010-12-27,31.40,31.80,31.24,31.66,13822100,30.58
2010-12-23,31.53,31.70,31.41,31.54,13049400,30.47
2010-12-22,31.68,31.88,31.56,31.66,14019200,30.58
2010-12-21,31.65,32.00,31.59,31.76,20002800,30.68
2010-12-20,31.54,31.94,31.11,31.67,33568100,30.59
2010-12-17,31.92,32.27,31.37,31.46,92487100,30.39
2010-12-16,30.70,30.77,30.25,30.27,47435600,29.24
2010-12-15,30.59,30.70,30.26,30.49,30537600,29.45
2010-12-14,30.36,30.75,30.36,30.51,25351800,29.47
2010-12-13,29.99,30.72,29.57,30.42,45575200,29.38
2010-12-10,29.44,29.98,29.42,29.94,28562000,28.92
2010-12-09,29.35,29.49,29.04,29.26,18260200,28.26
2010-12-08,29.26,29.28,29.00,29.23,14874800,28.24
2010-12-07,29.06,29.37,28.94,29.05,32190500,28.06
2010-12-06,28.85,28.96,28.64,28.73,21150300,27.75
2010-12-03,28.08,28.90,28.06,28.81,34454600,27.83
2010-12-02,27.81,28.18,27.69,28.10,32129900,27.14
2010-12-01,27.54,27.69,27.41,27.65,34781300,26.71
2010-11-30,26.92,27.13,26.81,27.05,38931000,26.13
2010-11-29,27.17,27.34,26.91,27.22,32610700,26.29
2010-11-26,27.58,27.62,27.34,27.49,12887500,26.55
2010-11-24,27.67,27.88,27.62,27.74,34983800,26.80
2010-11-23,27.75,27.82,27.08,27.19,31294200,26.26
2010-11-22,27.89,28.09,27.79,28.05,27618000,27.10
2010-11-19,28.32,28.37,28.03,28.15,25890900,27.19
2010-11-18,28.37,28.59,28.16,28.31,32649200,27.35
2010-11-17,27.51,28.11,27.49,27.91,24642700,26.96
2010-11-16,28.01,28.10,27.50,27.58,31206600,26.64
2010-11-15,28.35,28.77,28.28,28.40,21636700,27.43
2010-11-12,28.50,28.61,28.09,28.32,25818800,27.36
2010-11-11,28.19,28.58,27.68,28.57,37211000,27.60
2010-11-10,28.64,28.84,28.36,28.69,27841000,27.71
2010-11-09,29.06,29.25,28.61,28.74,34625800,27.76
2010-11-08,29.08,29.19,28.84,29.04,27179000,28.05
2010-11-05,29.30,29.50,28.98,29.25,28312700,28.25
2010-11-04,29.61,29.82,29.10,29.47,35709700,28.47
2010-11-03,29.55,29.57,28.99,29.20,30003800,28.21
2010-11-02,29.49,29.57,29.26,29.53,24201900,28.53
2010-11-01,29.52,29.55,28.93,29.13,21100000,28.14
2010-10-29,29.36,29.71,29.30,29.38,35074300,28.38
2010-10-28,28.82,29.48,28.50,29.36,35130600,28.36
2010-10-27,28.55,28.82,28.36,28.70,33890100,27.72
2010-10-26,28.71,28.84,28.54,28.63,28045400,27.66
