Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,93.29,94.37,93.29,93.70,2271300,88.06
2011-12-29,93.26,93.88,92.58,93.72,2480700,88.08
2011-12-28,95.39,95.54,92.71,92.85,2875100,87.27
2011-12-27,94.42,95.66,94.27,95.45,1762500,89.71
2011-12-23,94.72,94.93,93.76,94.62,2275900,88.93
2011-12-22,93.26,94.42,92.61,94.21,3475300,88.54
2011-12-21,92.57,93.35,91.16,93.11,3618300,87.51
2011-12-20,89.51,92.49,89.40,92.17,4540500,86.63
2011-12-19,89.40,89.49,87.03,87.32,3854400,82.07
2011-12-16,88.46,89.46,87.55,89.27,6401400,83.90
2011-12-15,89.13,90.24,86.94,87.52,4540000,82.26
2011-12-14,90.42,90.93,88.01,88.42,4465400,83.10
2011-12-13,92.59,94.20,90.73,91.68,4799500,86.17
2011-12-12,92.50,92.50,89.96,91.78,4659000,86.26
2011-12-09,92.72,94.64,92.60,94.40,3745300,88.72
2011-12-08,94.95,96.17,92.31,92.67,4483600,87.10
2011-12-07,95.82,97.00,94.67,96.27,5089000,90.48
2011-12-06,98.35,98.46,96.70,97.16,3535900,90.88
2011-12-05,98.25,99.98,96.96,98.22,5342100,91.88
2011-12-02,97.61,98.28,95.70,95.92,4240400,89.72
2011-12-01,98.21,99.20,96.34,96.83,5179100,90.58
2011-11-30,96.10,99.10,95.86,98.90,6462400,92.51
2011-11-29,90.83,93.20,90.63,92.19,4452400,86.24
2011-11-28,89.10,91.25,88.99,90.63,4465500,84.78
2011-11-25,87.54,89.04,86.69,86.69,2113100,81.09
2011-11-23,90.36,90.46,87.75,87.77,4844500,82.10
2011-11-22,92.60,92.92,90.75,91.63,4083800,85.71
2011-11-21,93.07,93.34,91.65,92.40,4265800,86.43
2011-11-18,95.24,95.67,93.37,94.32,4210000,88.23
2011-11-17,97.39,97.74,93.40,94.43,4918800,88.33
2011-11-16,98.18,100.88,97.40,97.60,5299700,91.30
2011-11-15,97.33,99.53,96.75,98.81,5282700,92.43
2011-11-14,98.83,99.55,97.09,97.81,3560400,91.49
2011-11-11,99.67,100.70,99.40,99.81,3499800,93.36
2011-11-10,98.36,99.35,96.16,98.14,3465200,91.80
2011-11-09,97.42,99.20,95.90,96.51,6678800,90.28
2011-11-08,99.46,101.65,98.76,101.29,6980200,94.75
2011-11-07,97.99,99.68,96.28,98.52,4615900,92.16
2011-11-04,94.83,97.93,94.57,97.64,5540000,91.33
2011-11-03,94.46,95.37,92.95,95.21,4132400,89.06
2011-11-02,92.54,93.55,91.48,93.19,4249500,87.17
2011-11-01,88.83,92.09,87.32,90.55,7756400,84.70
2011-10-31,95.06,95.90,92.88,92.94,6518000,86.94
2011-10-28,95.45,98.38,95.43,97.77,5739700,91.45
2011-10-27,90.49,97.21,90.49,95.66,10759100,89.48
2011-10-26,86.35,87.43,84.62,87.20,4533800,81.57
2011-10-25,87.08,87.55,84.66,85.14,4278400,79.64
2011-10-24,86.76,88.17,86.42,87.31,3329100,81.67
2011-10-21,85.85,87.25,85.18,86.74,4602300,81.14
2011-10-20,83.98,85.38,82.80,84.59,4923700,79.13
2011-10-19,84.71,86.44,83.36,83.95,4599300,78.53
2011-10-18,82.52,85.67,81.61,84.98,6441400,79.49
2011-10-17,84.76,85.78,82.47,82.68,4536800,77.34
2011-10-14,83.06,85.47,83.06,85.42,4731100,79.90
2011-10-13,80.21,81.97,79.05,81.50,4382600,76.24
2011-10-12,81.51,83.44,81.00,81.01,5415400,75.78
2011-10-11,80.57,82.50,80.20,80.89,4304200,75.67
2011-10-10,78.94,81.70,78.94,81.66,3959700,76.39
2011-10-07,78.96,79.53,76.61,77.25,6198600,72.26
2011-10-06,76.15,79.54,75.83,78.56,6680000,73.49
2011-10-05,74.74,76.10,74.00,75.72,7779900,70.83
2011-10-04,67.47,73.53,66.36,73.26,10500600,68.53
2011-10-03,71.39,71.73,68.33,68.58,8013200,64.15
2011-09-30,73.16,73.77,71.32,71.50,7928300,66.88
2011-09-29,77.24,77.35,73.84,75.35,5291800,70.48
2011-09-28,77.60,78.84,74.74,74.99,4906600,70.15
2011-09-27,79.29,81.06,77.98,78.45,7914600,73.38
2011-09-26,72.85,77.18,71.64,76.99,8509900,72.02
2011-09-23,70.63,73.76,69.90,72.26,7737900,67.59
2011-09-22,73.30,73.91,70.46,71.90,11024400,67.26
2011-09-21,80.66,80.78,76.21,76.32,6619200,71.39
2011-09-20,83.15,83.93,80.59,80.78,5378500,75.56
2011-09-19,81.87,82.99,80.84,82.46,3962400,77.13
2011-09-16,84.88,85.05,82.35,83.32,6627200,77.94
2011-09-15,83.95,84.59,82.96,84.41,3805300,78.96
2011-09-14,80.99,83.79,79.58,82.83,5277700,77.48
2011-09-13,79.92,81.00,78.82,80.45,6162800,75.25
2011-09-12,78.99,80.42,77.15,79.54,9063400,74.40
2011-09-09,82.12,82.62,79.75,80.54,5438200,75.34
2011-09-08,84.08,85.26,82.75,83.21,4387100,77.84
2011-09-07,83.91,84.57,83.42,84.54,4396900,79.08
2011-09-06,80.91,82.84,79.42,82.72,5034200,76.95
2011-09-02,83.51,84.48,82.83,83.41,4038400,77.59
2011-09-01,87.11,88.70,85.83,85.90,3866000,79.90
2011-08-31,86.98,88.61,85.76,86.74,5976500,80.69
2011-08-30,84.47,86.54,83.87,86.10,5867500,80.09
2011-08-29,83.48,85.16,82.36,85.06,4764700,79.12
2011-08-26,80.57,82.58,79.11,82.09,4851000,76.36
2011-08-25,83.49,84.13,80.76,81.28,4370300,75.61
2011-08-24,82.30,83.30,81.47,83.08,5113600,77.28
2011-08-23,80.57,82.71,79.78,82.69,6752200,76.92
2011-08-22,83.31,83.72,79.59,80.46,5305900,74.84
2011-08-19,81.62,83.72,80.65,80.91,7234700,75.26
2011-08-18,85.34,85.34,81.52,82.75,9310700,76.97
2011-08-17,89.54,90.49,87.30,87.61,5463400,81.50
2011-08-16,87.80,88.55,85.67,87.37,6484600,81.27
2011-08-15,85.67,89.37,85.63,89.31,5967000,83.08
2011-08-12,85.79,86.68,84.00,85.12,4587600,79.18
2011-08-11,81.75,85.97,81.64,84.80,10279800,78.88
2011-08-10,82.89,84.53,80.80,81.25,8710000,75.58
2011-08-09,82.06,84.62,78.77,84.41,14110300,78.52
2011-08-08,84.68,85.76,79.18,79.63,12387500,74.07
2011-08-05,89.67,90.22,84.84,87.34,8649000,81.24
2011-08-04,92.27,92.54,87.65,87.76,9312800,81.63
2011-08-03,94.80,95.10,92.00,94.23,7072700,87.65
2011-08-02,96.93,97.57,94.49,94.60,6859100,88.00
2011-08-01,99.73,99.94,96.94,97.78,6016500,90.96
2011-07-29,98.69,99.54,98.04,98.18,6997800,91.33
2011-07-28,101.40,101.78,99.63,99.75,5599600,92.79
2011-07-27,102.52,102.52,100.65,101.40,7628200,94.32
2011-07-26,105.76,107.07,104.53,104.83,5492500,97.51
2011-07-25,106.05,108.10,105.86,107.37,2984800,99.88
2011-07-22,108.00,108.23,106.69,107.88,1932700,100.35
2011-07-21,107.19,109.08,106.92,108.08,4707400,100.54
2011-07-20,107.05,107.29,105.85,106.19,2779300,98.78
2011-07-19,106.24,107.60,105.86,106.97,3122900,99.50
2011-07-18,104.63,105.57,104.50,105.26,3131400,97.91
2011-07-15,103.83,105.55,103.49,105.34,4754300,97.99
2011-07-14,103.58,104.96,103.20,103.36,4243500,96.15
2011-07-13,102.70,104.69,102.57,102.97,2547900,95.78
2011-07-12,101.25,103.94,100.95,102.03,3489800,94.91
2011-07-11,104.52,105.92,101.37,101.76,4933800,94.66
2011-07-08,106.05,107.13,105.50,106.27,2495000,98.85
2011-07-07,107.10,107.89,106.59,107.60,2670100,100.09
