Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,67.78,68.45,67.39,68.43,5899600,66.07
2012-12-28,68.34,68.69,68.01,68.02,3764500,65.68
2012-12-27,68.75,68.93,68.18,68.67,4748100,66.30
2012-12-26,69.41,69.43,68.58,68.84,3731400,66.47
2012-12-24,69.33,69.60,69.01,69.43,2071300,67.04
2012-12-21,69.98,70.09,69.23,69.63,8748000,67.23
2012-12-20,70.03,70.25,69.67,70.11,6478200,67.69
2012-12-19,70.55,70.65,69.85,69.88,6275900,67.47
2012-12-18,70.27,70.77,70.00,70.53,5549700,68.10
2012-12-17,70.26,70.58,70.10,70.37,5934100,67.95
2012-12-14,70.10,70.45,70.01,70.16,5068300,67.74
2012-12-13,70.32,70.46,70.10,70.21,4325200,67.79
2012-12-12,70.50,70.75,70.16,70.24,4483400,67.82
2012-12-11,70.21,70.89,70.09,70.42,5840800,67.99
2012-12-10,70.02,70.33,70.00,70.21,4124000,67.79
2012-12-07,70.06,70.27,69.85,70.26,3891300,67.84
2012-12-06,69.81,70.02,69.75,70.02,4086200,67.61
2012-12-05,69.50,70.09,69.30,69.71,4841900,67.31
2012-12-04,69.84,70.02,69.65,69.86,3644900,66.93
2012-12-03,70.32,70.41,69.80,69.87,4769200,66.94
2012-11-30,70.31,70.35,69.74,70.21,6664600,67.27
2012-11-29,70.39,70.64,70.17,70.31,4284700,67.37
2012-11-28,69.91,70.59,69.81,70.35,4434100,67.40
2012-11-27,69.92,70.42,69.69,70.11,4794900,67.17
2012-11-26,69.79,70.05,69.60,70.00,3855800,67.07
2012-11-23,69.50,70.36,69.50,70.19,3427900,67.25
2012-11-21,68.98,69.40,68.68,69.31,4106000,66.41
2012-11-20,68.60,68.93,68.32,68.91,5457000,66.02
2012-11-19,68.57,68.80,68.16,68.78,5512100,65.90
2012-11-16,68.02,68.50,67.79,68.31,5178400,65.45
2012-11-15,68.12,68.31,67.72,68.19,4668900,65.33
2012-11-14,68.56,68.71,68.04,68.17,4711100,65.31
2012-11-13,68.72,69.17,68.51,68.58,3791000,65.71
2012-11-12,68.78,68.97,68.57,68.61,3906400,65.74
2012-11-09,68.63,69.15,68.56,68.85,5598700,65.97
2012-11-08,68.89,69.30,68.60,68.79,5531800,65.91
2012-11-07,69.17,69.40,68.54,68.99,5913100,66.10
2012-11-06,69.03,69.61,68.76,69.35,4800300,66.45
2012-11-05,68.57,69.08,68.32,69.00,4759100,66.11
2012-11-02,69.69,69.77,68.93,69.05,4352400,66.16
2012-11-01,69.25,69.67,69.12,69.44,4420100,66.53
2012-10-31,69.17,69.68,68.97,69.24,5490500,66.34
2012-10-26,69.13,69.19,68.68,68.98,5200000,66.09
2012-10-25,68.64,69.09,68.53,68.89,4805600,66.00
2012-10-24,68.56,69.03,68.23,68.40,5619700,65.54
2012-10-23,69.17,69.26,68.36,68.52,5692900,65.65
2012-10-22,69.68,69.88,69.01,69.60,5820400,66.69
2012-10-19,70.62,70.90,69.61,69.88,9572400,66.95
2012-10-18,70.13,70.91,70.08,70.76,8081400,67.80
2012-10-17,70.23,70.93,69.95,70.10,9153200,67.16
2012-10-16,70.50,70.89,70.24,70.30,5802400,67.36
2012-10-15,70.04,70.39,69.75,70.34,4700700,67.39
2012-10-12,70.10,70.67,69.94,70.05,6158600,67.12
2012-10-11,70.75,70.84,69.82,69.82,5258200,66.90
2012-10-10,71.18,71.37,70.09,70.29,5150900,67.35
2012-10-09,71.19,71.47,71.08,71.11,4673200,68.13
2012-10-08,71.00,71.41,70.86,71.19,3023600,68.21
2012-10-05,71.11,71.39,70.90,71.10,5491700,68.12
2012-10-04,70.78,71.06,70.70,70.87,4630500,67.90
2012-10-03,70.78,70.96,70.49,70.70,4276000,67.74
2012-10-02,70.85,71.06,70.25,70.62,4219000,67.66
2012-10-01,70.70,71.23,70.53,70.65,4794000,67.69
2012-09-28,70.62,70.80,70.35,70.77,5021800,67.81
2012-09-27,70.48,70.84,70.28,70.64,3373400,67.68
2012-09-26,70.63,70.99,70.41,70.42,3758200,67.47
2012-09-25,70.94,71.03,70.26,70.35,5642400,67.40
2012-09-24,70.57,70.87,70.41,70.70,4526800,67.74
2012-09-21,71.50,71.50,70.47,70.55,8268300,67.60
2012-09-20,70.79,71.58,70.76,71.24,4790100,68.26
2012-09-19,70.84,71.18,70.50,70.85,4902500,67.88
2012-09-18,70.39,70.91,70.32,70.73,4725400,67.77
2012-09-17,70.44,70.86,70.22,70.39,6596600,67.44
2012-09-14,70.91,71.03,70.26,70.46,7448100,67.51
2012-09-13,70.27,71.07,70.00,70.88,8461200,67.91
2012-09-12,71.52,71.72,69.96,70.06,10485400,67.13
2012-09-11,71.78,71.98,71.46,71.58,4270400,68.58
2012-09-10,72.00,72.09,71.76,71.84,3953300,68.83
2012-09-07,72.15,72.50,72.00,72.10,4609200,69.08
2012-09-06,71.86,72.34,71.82,72.15,5226400,69.13
2012-09-05,71.85,72.09,71.36,71.54,5277300,68.54
2012-09-04,72.55,72.68,71.97,72.48,4925900,68.93
2012-08-31,72.44,72.76,72.19,72.43,5234100,68.88
2012-08-30,72.51,72.58,72.08,72.18,3881300,68.64
2012-08-29,73.03,73.24,72.73,72.78,3770500,69.21
2012-08-28,73.02,73.35,72.90,73.12,4387400,69.54
2012-08-27,73.01,73.66,72.93,73.17,3472200,69.59
2012-08-24,72.66,73.26,72.58,73.06,3989900,69.48
2012-08-23,72.95,72.99,72.50,72.66,3832100,69.10
2012-08-22,72.76,73.08,72.46,72.89,4331800,69.32
2012-08-21,73.30,73.48,73.00,73.01,3917900,69.43
