Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,64.36,64.73,64.10,64.27,4421700,51.74
2006-12-28,64.17,64.62,64.12,64.48,3901900,51.91
2006-12-27,64.40,64.58,64.25,64.42,5246800,51.86
2006-12-26,63.67,64.27,63.60,64.19,4020000,51.67
2006-12-22,64.23,64.25,63.75,63.80,4390700,51.36
2006-12-21,64.30,64.50,63.92,64.05,6066400,51.56
2006-12-20,64.30,64.48,64.02,64.47,4477700,51.90
2006-12-19,63.72,64.45,63.70,64.39,6102700,51.84
2006-12-18,64.02,64.27,63.65,64.16,5769300,51.65
2006-12-15,63.49,64.24,63.37,64.11,11542200,51.61
2006-12-14,63.30,63.78,63.28,63.35,5850500,51.00
2006-12-13,63.73,63.95,63.25,63.40,6102100,51.04
2006-12-12,63.92,64.06,63.45,63.70,7022300,51.28
2006-12-11,63.70,64.03,63.60,63.87,3858400,51.42
2006-12-08,63.70,64.18,63.57,63.89,4695400,51.43
2006-12-07,63.95,64.04,63.68,63.80,6999200,51.36
2006-12-06,63.57,63.81,63.29,63.80,5547900,51.36
2006-12-05,63.42,63.96,63.30,63.51,6025100,51.13
2006-12-04,63.08,63.55,62.75,63.42,7083800,51.05
2006-12-01,63.01,63.10,62.21,62.69,6604400,50.47
2006-11-30,63.04,63.24,62.53,62.79,9011900,50.55
2006-11-29,62.95,63.24,62.59,63.21,5767900,50.89
2006-11-28,62.70,63.36,62.29,63.07,7145800,50.77
2006-11-27,63.17,63.35,62.53,62.84,7182900,50.59
2006-11-24,63.64,63.74,63.40,63.53,2288000,51.14
2006-11-22,63.27,63.64,63.06,63.64,4059300,51.23
2006-11-21,63.45,63.71,63.26,63.26,5114800,50.93
2006-11-20,63.90,63.97,63.63,63.69,4624800,51.27
2006-11-17,63.50,63.87,63.30,63.86,6249100,51.41
2006-11-16,63.27,63.81,63.00,63.52,4839600,51.14
2006-11-15,63.12,63.47,62.98,63.12,5559200,50.81
2006-11-14,63.18,63.39,62.74,63.20,7899400,50.88
2006-11-13,63.77,63.79,63.15,63.25,6033000,50.92
2006-11-10,63.96,64.00,63.35,63.70,6891900,51.28
2006-11-09,63.86,64.00,63.19,63.80,8202400,51.36
2006-11-08,64.13,64.35,63.94,64.04,9745400,51.55
2006-11-07,63.56,64.38,63.42,64.11,7796600,51.61
2006-11-06,63.23,63.75,63.12,63.56,9449400,51.17
2006-11-03,63.27,63.49,63.10,63.40,5498300,51.04
2006-11-02,62.84,63.39,62.76,63.27,8152800,50.93
2006-11-01,63.20,63.63,62.55,63.04,8882000,50.75
2006-10-31,62.21,63.53,62.21,63.39,14877300,51.03
2006-10-30,63.57,64.02,63.45,63.81,8786600,51.37
2006-10-27,63.31,63.84,63.15,63.56,7173400,51.17
2006-10-26,63.10,63.67,62.90,63.50,6426000,51.12
2006-10-25,62.98,63.40,62.82,63.13,5911000,50.82
2006-10-24,63.00,63.17,62.67,62.88,6879500,50.62
2006-10-23,62.28,63.47,62.25,63.28,7354400,50.94
2006-10-20,62.73,62.88,62.15,62.68,8001100,50.46
2006-10-19,62.29,62.56,62.14,62.50,5229600,50.31
2006-10-18,62.15,62.83,62.00,62.59,7517900,50.39
2006-10-17,61.79,62.48,61.77,62.25,6684000,49.86
2006-10-16,61.82,62.23,61.50,62.05,5242700,49.70
2006-10-13,62.16,62.19,61.65,62.13,7187800,49.77
2006-10-12,62.57,62.87,62.32,62.41,5931800,49.99
2006-10-11,62.28,62.67,62.12,62.48,4826500,50.05
2006-10-10,62.61,62.72,62.05,62.72,7689900,50.24
2006-10-09,62.78,63.04,62.74,62.85,3882500,50.34
2006-10-06,63.15,63.31,62.72,63.09,7072300,50.54
2006-10-05,63.23,63.74,63.21,63.52,8244800,50.88
2006-10-04,62.08,63.53,62.02,63.34,15044800,50.74
2006-10-03,61.89,62.50,61.89,62.30,8824800,49.90
2006-10-02,61.99,62.31,61.89,62.04,4732100,49.70
2006-09-29,62.13,62.69,61.98,61.98,7232500,49.65
2006-09-28,62.41,62.55,61.92,62.26,9379800,49.87
2006-09-27,62.48,62.85,62.36,62.73,8292000,50.25
2006-09-26,62.03,62.65,61.91,62.48,8944100,50.05
2006-09-25,61.57,62.50,61.56,62.29,8142500,49.90
2006-09-22,61.65,62.00,61.54,61.81,6795200,49.51
2006-09-21,61.81,62.02,61.43,61.74,9904700,49.45
2006-09-20,61.10,61.78,60.76,61.63,6997800,49.37
2006-09-19,60.32,60.93,60.21,60.91,7318100,48.79
2006-09-18,60.73,60.98,60.44,60.50,6676300,48.46
2006-09-15,61.10,61.75,60.90,60.90,17543900,48.78
2006-09-14,60.05,60.97,59.83,60.77,8959100,48.68
2006-09-13,61.83,61.85,60.42,60.56,11058000,48.51
2006-09-12,61.92,62.18,61.75,61.85,5626800,49.54
2006-09-11,61.10,62.10,61.09,61.92,9150500,49.60
2006-09-08,62.34,62.34,61.10,61.14,5725900,48.97
2006-09-07,61.89,62.03,61.34,61.53,7174000,49.29
2006-09-06,61.56,61.67,61.14,61.44,4595800,49.21
2006-09-05,61.50,61.69,61.19,61.56,6288700,49.31
2006-09-01,61.99,62.09,61.75,61.91,4132300,49.59
2006-08-31,61.57,62.03,61.55,61.90,6514600,49.58
2006-08-30,61.45,62.03,61.40,61.75,8797700,49.46
2006-08-29,61.00,61.39,60.76,61.20,4940800,49.02
2006-08-28,60.42,61.22,60.22,60.98,6248600,48.85
2006-08-25,60.83,61.17,60.82,60.87,4492800,48.76
2006-08-24,60.88,61.38,60.82,61.05,5346300,48.90
2006-08-23,60.90,61.45,60.73,60.92,4746000,48.80
2006-08-22,60.72,61.18,60.71,61.05,6521600,48.90
2006-08-21,60.30,60.93,60.28,60.78,5296500,48.69
2006-08-18,60.35,60.42,59.78,60.39,6865200,48.37
2006-08-17,60.14,60.64,60.14,60.34,6589200,48.33
2006-08-16,60.38,60.56,60.23,60.42,6605100,48.40
2006-08-15,60.25,60.62,60.10,60.44,6944700,48.41
2006-08-14,60.27,60.75,59.64,59.76,8069500,47.87
2006-08-11,59.99,60.45,59.79,60.26,8092500,48.27
2006-08-10,59.60,60.29,59.58,60.26,8648900,48.27
2006-08-09,59.80,59.98,59.40,59.54,5617000,47.69
2006-08-08,59.75,60.00,59.28,59.72,9319300,47.84
2006-08-07,59.14,59.47,58.84,59.40,6377400,47.58
2006-08-04,59.59,59.76,59.09,59.45,7888800,47.62
2006-08-03,58.46,59.69,58.13,59.45,12370500,47.62
2006-08-02,57.98,58.90,57.47,58.29,17707400,46.69
2006-08-01,56.00,56.07,55.70,55.93,5850700,44.80
2006-07-31,56.41,56.66,56.07,56.20,7569000,45.02
2006-07-28,56.87,57.23,56.66,56.81,5886700,45.51
2006-07-27,56.85,56.99,56.40,56.44,5572500,45.21
2006-07-26,56.65,56.77,56.31,56.67,7223500,45.39
2006-07-25,56.60,57.25,56.22,56.88,6701600,45.56
2006-07-24,56.35,56.99,56.15,56.90,4482400,45.58
2006-07-21,56.85,56.98,55.92,56.07,8014400,44.91
2006-07-20,56.41,56.99,56.18,56.61,5748200,45.35
2006-07-19,55.80,56.85,55.50,56.64,7938400,45.37
2006-07-18,55.65,55.92,55.30,55.81,7123000,44.46
2006-07-17,55.63,56.17,55.55,55.82,6167300,44.46
2006-07-14,56.29,56.36,55.25,55.66,8959100,44.34
2006-07-13,56.61,56.79,56.40,56.54,9209400,45.04
2006-07-12,57.25,57.33,56.51,56.61,7060100,45.09
2006-07-11,56.78,57.34,56.78,57.25,6104000,45.60
2006-07-10,56.43,57.13,56.43,56.98,6776600,45.39
2006-07-07,56.45,56.75,56.25,56.50,6834500,45.01
2006-07-06,55.97,56.75,55.94,56.45,7215400,44.97
2006-07-05,55.70,56.14,55.65,55.93,9146100,44.55
2006-07-03,56.02,56.41,56.02,56.30,4592900,44.85
2006-06-30,57.00,57.19,55.60,55.60,21154000,44.29
2006-06-29,56.24,57.00,55.82,56.99,10318500,45.40
2006-06-28,55.75,56.02,55.50,55.77,6487900,44.42
2006-06-27,55.25,56.00,55.20,55.75,7336400,44.41
2006-06-26,55.74,56.00,55.26,55.99,5617900,44.60
2006-06-23,55.56,56.16,55.50,55.73,6917400,44.39
2006-06-22,55.63,55.92,55.52,55.85,6121900,44.49
2006-06-21,55.52,56.19,55.46,55.82,8701300,44.46
2006-06-20,55.23,55.84,54.86,55.58,11377800,44.27
2006-06-19,55.98,56.00,54.70,54.87,11238100,43.71
2006-06-16,54.89,55.20,54.83,55.02,10789100,43.83
2006-06-15,54.97,55.09,53.97,54.88,8548000,43.72
2006-06-14,54.00,54.93,53.79,54.83,8757100,43.68
2006-06-13,54.32,55.25,54.10,54.13,10410600,43.12
2006-06-12,54.57,54.92,54.16,54.31,5924200,43.26
2006-06-09,54.52,55.00,54.11,54.45,7723700,43.37
2006-06-08,53.50,55.10,53.30,54.74,15081400,43.60
2006-06-07,53.60,54.13,53.16,53.24,8439600,42.41
2006-06-06,53.11,53.50,52.75,53.37,9189300,42.51
2006-06-05,53.80,54.04,53.07,53.18,7945800,42.36
2006-06-02,54.37,54.55,53.80,53.95,8577600,42.97
2006-06-01,54.35,54.51,54.03,54.48,6941200,43.40
2006-05-31,54.58,54.69,54.00,54.25,11624100,43.21
2006-05-30,54.78,55.02,54.33,54.38,6971000,43.32
2006-05-26,55.20,55.30,54.71,55.13,6442600,43.91
2006-05-25,55.13,55.28,54.86,55.26,8082600,44.02
2006-05-24,54.56,55.14,54.19,54.82,9998700,43.67
2006-05-23,54.31,54.99,54.06,54.49,9505900,43.41
2006-05-22,53.96,54.49,53.95,54.28,9208200,43.24
2006-05-19,54.99,55.00,53.75,54.15,16266300,43.13
2006-05-18,55.20,55.53,54.88,54.89,7772400,43.72
2006-05-17,55.56,55.92,55.25,55.33,10081100,44.07
2006-05-16,55.60,56.26,55.52,56.04,11485100,44.64
2006-05-15,54.69,55.70,54.05,55.57,11531400,44.27
2006-05-12,55.80,55.83,55.01,55.01,13888800,43.82
2006-05-11,56.65,56.65,55.51,55.65,12379000,44.33
2006-05-10,56.69,56.74,56.25,56.34,9617500,44.88
2006-05-09,56.36,56.67,56.17,56.50,11459800,45.01
2006-05-08,56.01,56.60,55.42,56.34,14653300,44.88
2006-05-05,56.24,56.24,55.65,55.73,13405200,44.39
2006-05-04,56.23,56.69,55.60,55.86,15422400,44.50
2006-05-03,56.25,56.49,55.18,56.22,28760000,44.78
2006-05-02,57.66,58.34,57.43,58.11,8489300,46.29
2006-05-01,58.43,58.67,57.76,57.88,7304700,46.11
2006-04-28,58.30,58.47,58.00,58.21,8917700,46.37
2006-04-27,57.80,58.73,57.76,58.38,8826800,46.50
2006-04-26,57.56,58.06,57.48,58.01,15869100,46.21
2006-04-25,56.90,57.52,56.63,57.27,22369200,45.62
2006-04-24,56.15,57.00,56.15,56.60,9313400,45.09
2006-04-21,56.10,56.76,55.99,56.34,12076800,44.88
2006-04-20,56.16,56.80,55.77,56.26,15583700,44.81
2006-04-19,55.68,56.08,55.07,56.07,12877800,44.66
2006-04-18,55.94,56.37,55.84,56.16,11186200,44.49
2006-04-17,56.20,56.47,55.75,56.03,13180200,44.39
2006-04-13,56.40,56.67,56.35,56.60,6852400,44.84
2006-04-12,56.30,56.50,56.28,56.42,8850500,44.69
2006-04-11,57.27,57.30,56.09,56.49,13443800,44.75
2006-04-10,57.30,57.40,56.95,57.15,7153700,45.27
2006-04-07,57.50,57.94,57.26,57.28,7392400,45.38
2006-04-06,57.57,57.92,57.24,57.50,6607300,45.55
2006-04-05,57.95,58.10,57.54,57.62,8926000,45.64
2006-04-04,57.83,58.48,57.77,58.00,8873400,45.95
2006-04-03,57.69,58.36,57.69,57.88,8113400,45.85
2006-03-31,57.63,58.30,57.58,57.63,11176100,45.65
2006-03-30,57.53,58.10,57.40,57.63,8419500,45.65
2006-03-29,57.44,57.98,57.00,57.74,12430600,45.74
2006-03-28,58.00,58.28,57.50,57.53,14113000,45.57
2006-03-27,58.38,58.62,58.26,58.29,8040400,46.18
2006-03-24,58.56,58.95,57.98,58.74,8870500,46.53
2006-03-23,59.26,59.40,58.44,58.65,9166500,46.46
2006-03-22,58.70,59.60,58.70,59.49,5849700,47.13
2006-03-21,59.21,59.72,58.94,59.03,6909400,46.76
2006-03-20,59.38,59.38,58.71,59.18,7027800,46.88
2006-03-17,59.39,59.40,58.85,59.10,17418000,46.82
2006-03-16,59.80,59.86,59.00,59.39,12489800,47.05
2006-03-15,60.51,60.51,59.77,59.90,9813600,47.45
2006-03-14,60.09,60.68,59.60,60.01,18234500,47.54
2006-03-13,62.11,62.50,61.80,61.98,5956100,49.10
2006-03-10,61.45,62.44,61.45,62.25,8506900,49.31
2006-03-09,61.50,62.00,61.10,61.40,7114000,48.64
2006-03-08,60.25,61.33,60.23,61.07,8680200,48.38
2006-03-07,59.56,60.56,59.42,60.30,7366400,47.77
2006-03-06,59.55,59.96,59.50,59.67,4553300,47.27
2006-03-03,59.30,60.16,59.30,59.67,7797900,47.27
2006-03-02,59.99,60.02,59.36,59.55,10876800,47.17
2006-03-01,60.11,60.46,60.02,60.11,9155200,47.62
2006-02-28,61.00,61.21,59.85,59.93,14458000,47.47
2006-02-27,61.68,61.89,61.35,61.35,6723100,48.60
2006-02-24,61.32,61.73,61.06,61.50,5610800,48.72
2006-02-23,61.85,62.09,61.39,61.48,7110800,48.70
2006-02-22,61.00,62.00,60.98,61.94,8974000,49.07
2006-02-21,60.88,61.00,60.69,60.88,6770600,48.23
2006-02-17,60.59,61.03,60.42,61.00,9137500,48.32
2006-02-16,60.02,60.83,60.01,60.73,6998200,48.11
