Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,125.53,125.87,125.33,125.75,91218900,117.03
2010-12-30,125.80,126.13,125.53,125.72,76616900,117.00
2010-12-29,125.98,126.20,125.90,125.92,58033100,117.19
2010-12-28,125.90,125.95,125.50,125.83,55309100,117.10
2010-12-27,125.13,125.77,125.04,125.65,58126000,116.94
2010-12-23,125.64,125.78,125.29,125.60,70053700,116.89
2010-12-22,125.48,125.82,125.41,125.78,78878100,117.06
2010-12-21,124.99,125.47,124.87,125.39,94965500,116.69
2010-12-20,124.64,124.90,123.98,124.60,119085500,115.96
2010-12-17,124.08,124.46,123.82,124.30,141075300,115.68
2010-12-16,124.18,124.91,123.75,124.82,185035200,115.56
2010-12-15,124.44,124.93,123.89,124.10,160823100,114.89
2010-12-14,124.75,125.23,124.29,124.67,147249600,115.42
2010-12-13,125.05,125.20,124.52,124.56,133812700,115.32
2010-12-10,124.14,124.60,123.73,124.48,117571700,115.24
2010-12-09,123.97,124.02,123.15,123.76,123705100,114.57
2010-12-08,122.98,123.38,122.41,123.28,138019200,114.13
2010-12-07,123.94,124.01,122.76,122.83,206581000,113.71
2010-12-06,122.63,123.04,122.50,122.76,103050500,113.65
2010-12-03,122.14,123.03,122.11,122.89,151288900,113.77
2010-12-02,121.20,122.65,121.13,122.56,191213600,113.46
2010-12-01,120.20,121.24,120.19,121.01,221037200,112.03
2010-11-30,117.98,119.17,117.81,118.49,233930700,109.70
2010-11-29,118.50,119.48,117.74,119.16,223642300,110.32
2010-11-26,119.16,119.81,118.80,118.80,76007800,109.98
2010-11-24,119.20,120.23,119.18,120.20,140046100,111.28
2010-11-23,118.77,119.02,117.99,118.45,222309000,109.66
2010-11-22,119.69,120.24,118.77,120.19,181361000,111.27
2010-11-19,119.90,120.34,119.25,120.29,156852900,111.36
2010-11-18,119.36,120.39,119.35,119.96,197723700,111.06
2010-11-17,118.21,118.71,117.86,118.22,172308900,109.45
2010-11-16,119.29,119.49,117.59,118.16,299566200,109.39
2010-11-15,120.58,121.05,119.98,120.03,163940800,111.12
2010-11-12,120.82,121.35,119.65,120.20,239068800,111.28
2010-11-11,121.05,121.82,120.68,121.64,158017600,112.61
2010-11-10,121.58,122.16,120.66,122.10,221387400,113.04
2010-11-09,122.82,122.95,121.12,121.61,186621600,112.58
2010-11-08,122.34,122.69,121.94,122.49,156107100,113.40
2010-11-05,122.34,122.92,122.18,122.72,180654100,113.61
2010-11-04,121.28,122.32,119.97,122.26,215039400,113.19
2010-11-03,119.68,120.02,118.45,119.95,226702800,111.05
2010-11-02,119.42,119.75,119.10,119.47,158345900,110.60
2010-11-01,119.07,119.75,117.85,118.53,174074800,109.73
2010-10-29,118.28,118.72,118.07,118.49,144305500,109.70
2010-10-28,119.06,119.11,117.83,118.40,168576000,109.61
2010-10-27,117.89,118.51,117.26,118.38,190024000,109.59
2010-10-26,118.10,118.84,117.87,118.72,158982900,109.91
2010-10-25,119.14,119.76,118.61,118.70,151145700,109.89
2010-10-22,118.31,118.53,118.00,118.35,108212400,109.57
2010-10-21,118.40,119.09,117.21,118.13,221585500,109.36
2010-10-20,116.94,118.44,116.87,117.87,200051800,109.12
2010-10-19,117.19,117.85,116.02,116.73,280604700,108.07
2010-10-18,117.74,118.67,117.31,118.28,141204800,109.50
2010-10-15,118.28,118.35,116.76,117.70,243705000,108.96
2010-10-14,117.81,118.01,116.72,117.46,217764300,108.74
2010-10-13,117.66,118.55,117.38,117.92,194347200,109.17
2010-10-12,116.27,117.35,115.65,117.01,182210000,108.33
2010-10-11,116.72,116.97,116.25,116.65,103098300,107.99
2010-10-08,116.05,116.86,115.61,116.54,177760100,107.89
2010-10-07,116.50,116.53,115.19,115.89,164860000,107.29
2010-10-06,116.02,116.33,115.56,116.03,148626600,107.42
2010-10-05,114.80,116.32,114.67,116.04,229634100,107.43
2010-10-04,114.37,114.85,113.18,113.75,166153200,105.31
2010-10-01,114.99,115.12,113.93,114.61,174638700,106.10
2010-09-30,115.05,115.79,113.59,114.13,287106700,105.66
2010-09-29,114.38,114.91,114.02,114.47,179665800,105.97
2010-09-28,114.42,115.04,113.18,114.67,209207500,106.16
2010-09-27,114.86,114.99,114.16,114.27,128761800,105.79
2010-09-24,113.75,114.90,113.65,114.82,209671800,106.30
2010-09-23,112.49,113.67,112.18,112.50,202354300,104.15
2010-09-22,113.80,114.44,113.10,113.42,191322400,105.00
2010-09-21,114.30,114.84,113.51,113.98,268389100,105.52
2010-09-20,112.88,114.46,112.52,114.21,214555200,105.73
2010-09-17,113.04,113.15,112.18,112.49,195836900,104.14
2010-09-16,112.73,113.12,112.35,113.05,199962900,104.10
2010-09-15,112.32,113.21,111.98,113.08,168608400,104.13
2010-09-14,112.50,113.29,112.08,112.65,209823600,103.73
2010-09-13,112.58,112.95,112.13,112.72,178503500,103.80
2010-09-10,111.12,111.61,110.87,111.48,127819000,102.66
2010-09-09,111.65,111.68,110.62,110.92,147017900,102.14
2010-09-08,109.86,110.85,109.81,110.41,149924400,101.67
2010-09-07,110.37,110.51,109.55,109.64,141973700,100.96
2010-09-03,110.54,110.99,109.95,110.89,212197300,102.11
2010-09-02,108.72,109.49,108.49,109.47,156112200,100.81
2010-09-01,106.73,108.61,106.66,108.46,256828100,99.88
2010-08-31,104.92,105.98,104.49,105.31,273933100,96.97
2010-08-30,106.58,106.91,105.30,105.31,167238600,96.97
2010-08-27,105.89,106.97,104.31,106.86,272649000,98.40
2010-08-26,106.44,106.58,104.88,105.23,224439500,96.90
2010-08-25,104.95,106.34,104.29,105.94,272234800,97.56
2010-08-24,105.95,106.39,104.97,105.53,280677800,97.18
2010-08-23,108.04,108.57,107.07,107.12,163490300,98.64
2010-08-20,107.56,107.94,106.75,107.53,209714200,99.02
2010-08-19,109.22,109.49,107.43,107.88,265847600,99.34
2010-08-18,109.54,110.38,108.91,109.79,182922100,101.10
2010-08-17,109.19,110.39,108.88,109.59,172270300,100.92
2010-08-16,107.57,108.61,107.18,108.26,147895300,99.69
2010-08-13,108.29,108.96,108.18,108.31,158698500,99.74
2010-08-12,107.65,109.02,107.60,108.63,239542600,100.03
2010-08-11,110.65,110.69,109.12,109.30,273406900,100.65
2010-08-10,112.03,112.98,111.37,112.38,242916300,103.49
2010-08-09,112.92,113.18,112.32,112.99,120800400,104.05
2010-08-06,111.74,112.57,110.92,112.39,239728300,103.49
2010-08-05,112.25,112.91,112.08,112.85,140473800,103.92
2010-08-04,112.53,113.11,112.16,112.97,158171700,104.03
2010-08-03,112.48,112.77,111.85,112.22,146657300,103.34
2010-08-02,111.99,112.94,111.54,112.76,188263200,103.84
2010-07-30,109.17,110.86,108.98,110.27,220070600,101.54
2010-07-29,111.52,111.82,109.41,110.29,220149100,101.56
2010-07-28,111.32,111.66,110.46,110.83,163056200,102.06
2010-07-27,112.17,112.29,111.11,111.55,204855600,102.72
2010-07-26,110.60,111.67,110.29,111.56,184445700,102.73
2010-07-23,109.24,110.57,108.93,110.41,222020800,101.67
2010-07-22,108.34,109.94,108.33,109.46,274781300,100.80
2010-07-21,109.04,109.07,106.63,107.07,264527000,98.60
2010-07-20,105.87,108.56,105.82,108.48,258162400,99.89
2010-07-19,107.05,107.63,106.22,107.29,186709000,98.80
2010-07-16,109.09,109.21,106.45,106.66,282693400,98.22
2010-07-15,109.61,110.06,108.17,109.68,232337900,101.00
2010-07-14,109.31,110.08,108.86,109.65,184426800,100.97
2010-07-13,109.15,110.09,108.93,109.66,213025900,100.98
2010-07-12,107.60,108.24,107.15,108.03,131283600,99.48
2010-07-09,107.13,107.97,106.93,107.96,144999900,99.42
2010-07-08,107.00,107.28,105.91,107.16,210842100,98.68
2010-07-07,103.13,106.24,103.02,106.11,253769400,97.71
2010-07-06,103.64,104.37,101.88,102.87,256935300,94.73
2010-07-02,103.11,103.42,101.62,102.20,233385200,94.11
2010-07-01,103.15,103.49,101.13,102.76,382924800,94.63
2010-06-30,103.92,104.88,102.88,103.22,284101700,95.05
2010-06-29,106.02,107.51,103.55,104.21,373649500,95.96
2010-06-28,108.03,108.32,107.14,107.53,169218600,99.02
2010-06-25,107.74,108.42,106.77,107.87,238726500,99.33
2010-06-24,108.69,108.83,107.14,107.42,268523600,98.92
2010-06-23,109.64,110.03,108.48,109.23,254639900,100.58
2010-06-22,111.41,111.90,109.41,109.57,239355400,100.90
2010-06-21,113.12,113.20,110.79,111.41,213140700,102.59
2010-06-18,111.83,112.13,111.37,111.73,174006600,102.89
2010-06-17,112.28,112.33,111.05,112.14,263185800,102.78
2010-06-16,111.42,112.42,111.20,111.96,216374000,102.61
2010-06-15,110.28,112.10,110.09,112.00,238268700,102.65
2010-06-14,110.52,111.12,109.40,109.51,207196100,100.37
2010-06-11,108.19,109.75,108.12,109.68,214128200,100.52
2010-06-10,107.86,109.28,106.04,109.15,317890600,100.04
2010-06-09,107.24,108.28,105.60,106.05,268023300,97.19
2010-06-08,105.57,106.83,104.65,106.62,357774300,97.72
2010-06-07,107.20,107.61,105.41,105.49,264609100,96.68
2010-06-04,108.61,109.33,106.46,106.82,398475600,97.90
2010-06-03,110.65,111.06,109.58,110.71,226618300,101.46
2010-06-02,108.08,110.34,107.51,110.33,240243700,101.12
2010-06-01,108.35,109.95,107.37,107.53,277909400,98.55
2010-05-28,110.64,110.72,108.85,109.37,297933500,100.24
2010-05-27,109.19,110.80,108.78,110.76,300870500,101.51
2010-05-26,108.48,109.47,106.85,107.17,349719300,98.22
2010-05-25,105.11,107.87,104.38,107.82,396505200,98.82
2010-05-24,108.52,109.39,107.61,107.71,269823000,98.72
2010-05-21,105.91,109.38,105.36,109.11,500909400,100.00
2010-05-20,109.38,109.89,107.47,107.54,530418300,98.56
2010-05-19,111.77,112.77,110.36,111.76,394742700,102.43
2010-05-18,114.88,115.22,112.03,112.40,360556800,103.01
2010-05-17,114.20,114.52,111.77,113.95,325739800,104.43
2010-05-14,115.12,115.33,112.87,113.89,345601400,104.38
2010-05-13,117.13,117.68,115.89,115.99,234452500,106.30
2010-05-12,116.29,117.62,116.09,117.45,235607100,107.64
2010-05-11,115.07,117.36,114.91,115.83,317849800,106.16
2010-05-10,115.81,116.65,114.91,116.16,396159600,106.46
2010-05-07,112.64,113.77,109.41,111.26,637558800,101.97
2010-05-06,116.26,117.00,105.00,112.94,647356600,103.51
2010-05-05,116.56,117.80,115.97,116.82,328973200,107.06
2010-05-04,119.01,119.03,116.92,117.52,360353400,107.71
