Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,50.75,50.91,49.85,50.00,9881300,44.27
2007-12-28,51.15,51.64,50.69,50.74,7390400,44.93
2007-12-27,51.00,51.44,50.54,50.64,8834300,44.84
2007-12-26,50.97,51.72,50.41,51.16,9721900,45.30
2007-12-24,51.02,52.73,50.73,52.47,6031400,46.46
2007-12-21,50.58,51.38,49.88,50.68,12001000,44.88
2007-12-20,52.05,52.05,48.85,50.21,18598100,44.46
2007-12-19,52.95,53.24,51.52,51.57,12032000,45.66
2007-12-18,52.40,53.40,51.42,53.01,14367700,46.94
2007-12-17,51.44,52.60,50.99,51.92,15187800,45.97
2007-12-14,52.43,52.44,51.50,51.56,7686500,45.65
2007-12-13,53.02,53.97,51.40,52.50,11069600,46.49
2007-12-12,54.25,54.30,52.57,53.18,13317200,47.09
2007-12-11,55.80,55.80,52.69,53.04,15119400,46.96
2007-12-10,55.78,56.00,54.65,55.60,7258800,49.23
2007-12-07,55.60,56.29,54.80,55.51,8819100,49.15
2007-12-06,55.95,57.44,55.17,55.57,22224200,49.21
2007-12-05,59.86,60.49,59.18,60.13,7047400,53.24
2007-12-04,59.05,60.14,58.53,59.43,16227000,52.62
2007-12-03,60.00,60.30,59.32,59.52,7359300,52.70
2007-11-30,60.64,61.00,59.75,59.97,12101500,53.10
2007-11-29,59.00,59.98,58.23,59.44,9953700,52.63
2007-11-28,57.15,60.11,57.01,59.58,16808400,52.76
2007-11-27,55.58,57.03,55.29,57.00,13561800,50.47
2007-11-26,57.15,57.39,55.00,55.22,13135200,48.90
2007-11-23,53.98,57.17,53.97,57.17,13580400,50.62
2007-11-21,51.25,54.56,50.97,54.10,24403100,47.90
2007-11-20,52.14,54.17,50.25,51.69,26882500,45.77
2007-11-19,54.00,54.20,52.91,53.90,9022600,47.73
2007-11-16,54.86,54.89,53.23,53.88,13641500,47.71
2007-11-15,56.42,56.50,54.62,55.00,12497500,48.58
2007-11-14,59.44,59.76,56.50,56.77,11073800,50.14
