Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,59.42,59.42,58.50,58.61,399300,48.97
2007-12-28,58.45,59.20,58.45,59.12,287300,49.40
2007-12-27,59.34,59.34,58.28,58.56,299700,48.93
2007-12-26,58.92,59.38,58.61,59.05,286000,49.34
2007-12-24,59.51,59.51,58.62,58.92,202400,49.23
2007-12-21,59.27,59.27,58.42,58.80,275800,48.71
2007-12-20,58.50,58.50,57.42,57.83,246800,47.90
2007-12-19,57.31,57.91,57.17,57.60,249600,47.71
2007-12-18,57.51,58.80,56.85,57.76,289500,47.84
2007-12-17,58.93,58.93,57.00,57.49,653000,47.62
2007-12-14,60.11,60.11,58.43,58.70,319600,48.62
2007-12-13,61.20,61.20,59.35,60.13,408700,49.81
2007-12-12,62.14,62.14,60.50,61.06,309300,50.58
2007-12-11,62.00,62.00,59.76,60.17,325200,49.84
2007-12-10,61.52,61.90,61.38,61.78,297200,51.17
2007-12-07,62.00,62.00,61.14,61.20,186700,50.69
2007-12-06,60.85,61.66,60.59,61.65,214400,51.07
2007-12-05,60.00,61.07,60.00,60.90,194600,50.45
2007-12-04,60.26,60.26,59.63,59.76,173700,49.50
2007-12-03,60.00,60.37,60.00,60.14,123100,49.82
2007-11-30,61.55,61.55,60.03,60.34,338500,49.98
2007-11-29,59.58,60.46,59.58,60.31,278300,49.96
2007-11-28,59.38,60.60,58.86,60.30,248900,49.95
2007-11-27,57.68,58.88,57.68,58.88,164800,48.77
2007-11-26,60.70,60.70,57.62,57.71,317800,47.80
2007-11-23,57.85,58.93,57.85,58.93,133200,48.81
2007-11-21,58.83,58.83,57.10,57.49,248100,47.62
2007-11-20,59.12,59.27,58.18,58.85,261400,48.75
2007-11-19,59.68,59.68,57.60,57.96,285100,48.01
2007-11-16,58.96,59.66,58.76,59.55,226100,49.33
2007-11-15,59.77,59.99,58.85,58.94,371600,48.82
2007-11-14,61.28,61.31,60.16,60.27,448800,49.92
2007-11-13,58.73,60.51,58.73,60.51,182000,50.12
2007-11-12,60.00,60.00,58.33,58.33,218500,48.32
2007-11-09,60.83,60.83,59.66,60.05,507700,49.74
2007-11-08,62.00,62.00,60.10,61.32,269600,50.79
2007-11-07,62.06,62.15,60.71,61.08,461000,50.59
2007-11-06,62.00,62.55,61.61,62.55,189700,51.81
2007-11-05,61.15,61.38,60.00,61.20,341000,50.69
2007-11-02,62.25,62.25,61.50,62.18,205600,51.51
2007-11-01,62.79,62.79,61.63,62.00,368000,51.36
2007-10-31,63.00,63.72,62.68,63.49,225600,52.59
2007-10-30,62.84,62.84,62.50,62.54,197000,51.80
2007-10-29,62.82,63.12,62.64,63.08,165800,52.25
2007-10-26,61.83,62.31,61.70,62.29,248500,51.60
2007-10-25,61.02,61.12,60.42,60.90,108600,50.45
2007-10-24,60.85,60.98,59.66,60.98,120300,50.51
2007-10-23,60.85,60.98,60.35,60.98,138600,50.51
2007-10-22,59.42,60.00,59.00,60.00,294600,49.70
2007-10-19,61.11,61.22,59.81,60.04,357800,49.73
2007-10-18,61.21,61.58,61.01,61.55,108600,50.98
2007-10-17,61.23,61.40,60.63,61.22,122500,50.71
2007-10-16,61.00,61.03,60.36,60.55,163800,50.16
2007-10-15,62.11,62.14,61.19,61.48,202900,50.93
2007-10-12,61.65,62.02,61.61,61.87,111400,51.25
2007-10-11,62.15,62.46,61.27,61.27,210200,50.75
2007-10-10,61.47,61.62,61.14,61.30,248600,50.78
2007-10-09,61.07,61.61,60.90,61.61,217200,51.03
2007-10-08,61.09,61.09,60.53,60.82,169800,50.38
2007-10-05,60.95,61.50,60.95,61.41,209000,50.87
2007-10-04,60.35,60.51,60.00,60.38,222800,50.02
2007-10-03,60.58,60.58,60.08,60.25,189200,49.91
2007-10-02,60.84,60.84,60.33,60.70,179500,50.28
2007-10-01,59.97,60.80,59.90,60.72,131600,50.30
2007-09-28,59.87,59.91,59.49,59.69,244100,49.44
2007-09-27,59.60,59.70,59.42,59.65,160100,49.41
2007-09-26,58.96,59.08,58.61,58.61,268900,48.55
2007-09-25,58.35,58.66,58.22,58.57,169200,48.52
2007-09-24,58.75,58.92,58.37,58.52,458900,48.47
2007-09-21,58.27,58.51,58.16,58.36,140800,48.34
2007-09-20,58.19,58.20,57.65,57.99,112500,48.04
2007-09-19,58.21,58.40,57.76,57.93,285800,47.99
2007-09-18,56.07,57.75,55.87,57.75,422400,47.84
2007-09-17,55.93,55.98,55.29,55.59,160300,46.05
2007-09-14,56.10,56.35,55.95,56.20,146300,46.55
2007-09-13,56.49,56.74,56.36,56.46,80100,46.77
2007-09-12,55.95,56.29,55.69,56.10,126800,46.47
2007-09-11,55.75,56.06,55.56,56.06,146800,46.44
2007-09-10,55.51,55.51,54.53,55.18,76600,45.71
2007-09-07,55.42,55.51,54.94,55.18,176100,45.71
2007-09-06,55.95,56.21,55.63,56.07,68100,46.44
2007-09-05,55.90,55.90,55.41,55.62,357200,46.07
2007-09-04,56.05,56.81,55.80,56.63,150200,46.91
2007-08-31,56.29,56.48,55.85,56.23,102500,46.58
2007-08-30,54.43,55.50,54.43,54.93,101000,45.50
2007-08-29,54.52,55.33,54.44,55.32,113000,45.82
2007-08-28,54.97,54.97,53.76,53.76,206000,44.53
2007-08-27,55.45,55.50,55.00,55.24,84200,45.76
2007-08-24,54.81,55.56,54.61,55.56,114000,46.02
2007-08-23,54.96,55.07,54.25,54.62,272800,45.24
2007-08-22,53.89,54.42,53.88,54.42,126300,45.08
2007-08-21,52.92,53.12,52.63,52.90,146100,43.82
2007-08-20,53.30,53.32,52.39,53.21,144400,44.08
2007-08-17,54.00,64.51,51.01,53.08,263000,43.97
2007-08-16,51.70,52.00,50.40,51.76,424100,42.87
2007-08-15,53.02,53.65,52.50,52.51,358900,43.50
2007-08-14,55.08,55.08,53.81,53.85,172700,44.61
2007-08-13,55.45,55.62,54.50,54.50,135300,45.14
2007-08-10,54.25,54.93,54.00,54.60,193400,45.23
2007-08-09,55.80,55.81,54.90,55.05,234500,45.60
2007-08-08,56.70,57.39,56.61,57.04,195700,47.25
2007-08-07,55.57,56.38,55.39,56.09,188900,46.46
2007-08-06,55.20,56.02,55.00,56.02,187000,46.40
2007-08-03,56.24,56.24,55.00,55.00,109000,45.56
2007-08-02,56.50,56.50,55.95,56.36,115400,46.69
2007-08-01,55.95,56.46,55.24,56.37,193200,46.69
2007-07-31,57.00,57.35,56.25,56.34,208500,46.67
2007-07-30,56.22,56.65,55.91,56.62,193800,46.90
2007-07-27,56.29,56.75,55.33,56.75,183600,47.01
2007-07-26,57.40,57.40,55.55,56.33,271000,46.66
2007-07-25,58.56,58.72,57.75,58.29,199500,48.28
2007-07-24,59.19,59.19,58.05,58.58,165300,48.52
2007-07-23,59.60,59.60,59.23,59.55,123500,49.33
2007-07-20,59.48,59.48,58.57,58.79,195700,48.70
2007-07-19,59.50,59.55,59.26,59.42,133100,49.22
2007-07-18,59.10,59.10,58.50,58.99,129100,48.86
2007-07-17,59.45,59.45,59.21,59.42,178200,49.22
2007-07-16,59.48,59.63,59.20,59.30,193600,49.12
2007-07-13,59.60,59.70,59.35,59.51,191400,49.29
2007-07-12,58.76,59.58,58.64,59.54,169600,49.32
2007-07-11,58.20,58.52,57.99,58.45,155900,48.42
2007-07-10,58.54,58.54,57.93,57.97,205200,48.02
2007-07-09,58.85,58.90,58.65,58.78,174800,48.69
2007-07-06,58.09,58.47,58.02,58.39,211800,48.37
2007-07-05,58.30,58.30,57.63,57.99,184400,48.04
2007-07-03,58.10,58.18,57.90,58.06,95700,48.09
2007-07-02,57.20,57.50,57.20,57.42,162500,47.56
2007-06-29,56.97,57.20,56.52,57.00,89100,47.22
2007-06-28,56.80,56.96,56.60,56.61,231600,46.89
2007-06-27,56.00,56.61,55.76,56.61,126400,46.89
2007-06-26,56.82,56.82,56.20,56.21,84100,46.56
2007-06-25,56.60,56.92,56.13,56.24,136600,46.59
2007-06-22,57.20,57.20,56.33,56.43,149600,46.74
2007-06-21,57.02,58.44,56.52,57.29,90100,47.46
2007-06-20,57.65,57.65,56.67,56.73,184300,46.99
2007-06-19,57.26,57.37,57.02,57.22,107000,47.40
2007-06-18,57.35,57.50,57.18,57.26,79400,47.43
2007-06-15,57.30,57.38,57.04,57.17,126900,47.36
2007-06-14,56.00,56.49,56.00,56.37,97200,46.69
2007-06-13,55.48,55.96,55.39,55.96,139600,46.35
2007-06-12,55.70,55.90,55.15,55.20,116100,45.72
2007-06-11,55.95,56.36,55.84,56.06,77400,46.44
2007-06-08,55.43,55.98,55.25,55.98,179900,46.37
2007-06-07,55.99,56.10,55.02,55.15,141400,45.68
2007-06-06,56.65,56.70,56.00,56.14,171400,46.50
2007-06-05,57.39,57.44,56.70,56.94,134000,47.17
2007-06-04,57.40,57.40,57.09,57.28,115200,47.45
2007-06-01,56.97,57.17,56.93,57.17,138100,47.36
2007-05-31,56.78,56.83,56.60,56.62,102200,46.90
2007-05-30,55.79,56.35,55.60,56.33,146300,46.66
2007-05-29,56.41,56.49,55.90,56.06,159500,46.44
2007-05-25,55.95,56.23,55.75,56.23,193900,46.58
2007-05-24,56.45,56.60,55.50,55.65,97900,46.10
2007-05-23,56.70,56.75,56.32,56.41,90000,46.73
2007-05-22,56.24,56.27,56.00,56.08,95000,46.45
2007-05-21,56.18,56.18,55.90,56.00,175200,46.39
2007-05-18,55.99,56.50,55.85,56.50,156200,46.80
2007-05-17,55.75,55.89,55.53,55.89,100000,46.30
2007-05-16,55.99,56.06,55.60,56.02,90300,46.40
2007-05-15,55.68,56.09,55.55,55.65,57800,46.10
2007-05-14,55.95,56.06,55.46,55.75,191000,46.18
2007-05-11,55.35,56.50,55.30,56.50,95600,46.80
2007-05-10,55.60,55.66,54.68,55.00,147800,45.56
2007-05-09,55.88,56.08,55.74,56.06,225700,46.44
2007-05-08,55.97,55.97,55.40,55.66,97800,46.11
2007-05-07,56.30,56.45,56.07,56.17,100000,46.53
2007-05-04,56.00,56.08,55.78,56.01,105500,46.40
2007-05-03,55.20,55.67,55.20,55.57,167900,46.03
2007-05-02,54.99,55.43,54.99,55.39,102600,45.88
2007-05-01,55.15,55.19,54.61,54.84,70700,45.43
2007-04-30,55.20,55.32,54.73,54.80,94200,45.39
2007-04-27,55.20,55.45,55.00,55.45,88700,45.93
2007-04-26,55.40,55.50,55.25,55.29,96800,45.80
2007-04-25,55.39,55.70,55.31,55.61,181700,46.06
2007-04-24,55.10,55.30,54.82,55.05,121300,45.60
2007-04-23,55.27,55.49,55.13,55.16,87500,45.69
2007-04-20,55.45,55.62,55.40,55.50,114200,45.97
2007-04-19,54.77,55.34,54.60,54.89,161200,45.47
2007-04-18,55.12,55.40,55.00,55.21,154600,45.73
2007-04-17,55.38,55.47,54.99,55.25,195700,45.77
2007-04-16,55.25,55.56,55.16,55.56,361600,46.02
2007-04-13,54.65,54.83,54.47,54.74,94600,45.34
2007-04-12,54.04,54.60,53.88,54.52,46700,45.16
2007-04-11,54.80,54.80,54.00,54.22,159500,44.91
2007-04-10,54.40,54.54,54.21,54.44,142900,45.09
2007-04-09,54.30,54.39,54.13,54.20,102400,44.90
2007-04-05,54.00,54.20,53.86,54.12,150500,44.83
2007-04-04,53.80,53.92,53.57,53.85,202100,44.61
2007-04-03,53.40,53.71,53.18,53.57,76500,44.37
2007-04-02,52.96,53.08,52.70,53.02,44600,43.92
2007-03-30,52.80,52.92,52.69,52.72,103800,43.67
2007-03-29,52.80,52.95,52.36,52.76,57900,43.70
2007-03-28,52.73,52.73,52.05,52.11,61200,43.16
2007-03-27,52.70,52.77,52.56,52.70,63200,43.65
2007-03-26,53.05,53.10,52.45,52.93,76200,43.84
2007-03-23,52.94,53.15,52.80,52.99,103200,43.89
2007-03-22,52.95,53.00,52.58,52.80,118800,43.74
2007-03-21,52.00,52.95,51.78,52.86,117600,43.79
2007-03-20,51.50,51.76,51.25,51.75,64900,42.87
2007-03-19,51.30,51.39,50.93,51.37,47200,42.55
2007-03-16,50.85,51.04,50.55,50.77,50200,42.05
2007-03-15,50.50,50.73,50.35,50.67,56700,41.97
2007-03-14,50.00,50.26,49.39,50.25,154900,41.62
2007-03-13,51.20,51.23,50.17,50.19,216900,41.57
2007-03-12,51.25,51.59,51.20,51.54,108000,42.69
2007-03-09,51.15,51.36,51.02,51.30,139100,42.49
2007-03-08,50.71,51.10,50.71,50.96,113600,42.21
