Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,65.12,65.81,64.89,65.80,3718700,62.12
2012-12-28,65.34,65.72,65.06,65.11,1990300,61.47
2012-12-27,65.41,65.66,64.81,65.54,2305800,61.87
2012-12-26,65.91,65.91,65.14,65.30,1724100,61.65
2012-12-24,65.57,65.81,65.29,65.61,1802600,61.94
2012-12-21,65.88,66.56,65.68,66.32,2252500,61.86
2012-12-20,65.48,66.46,65.48,66.43,2695600,61.96
2012-12-19,65.96,65.99,65.54,65.57,3408800,61.16
2012-12-18,65.20,65.66,65.06,65.66,2532300,61.24
2012-12-17,64.95,65.06,64.65,64.99,2315800,60.62
2012-12-14,64.67,64.82,64.49,64.65,2544500,60.30
2012-12-13,65.00,65.24,64.45,64.66,2614500,60.31
2012-12-12,65.53,65.68,64.90,65.16,2335300,60.77
2012-12-11,65.42,65.52,65.20,65.34,2086900,60.94
2012-12-10,65.30,65.49,65.05,65.18,1934200,60.79
2012-12-07,65.05,65.22,64.93,65.21,2812900,60.82
2012-12-06,64.56,64.99,64.35,64.97,2335500,60.60
2012-12-05,64.61,64.69,64.13,64.37,2487100,60.04
2012-12-04,64.38,64.91,64.34,64.57,2379700,60.22
2012-12-03,64.48,64.85,64.28,64.47,3735500,60.13
2012-11-30,64.10,64.52,64.03,64.21,3312300,59.89
2012-11-29,64.13,64.15,63.54,64.08,3011100,59.77
2012-11-28,63.70,63.80,63.11,63.73,5931100,59.44
2012-11-27,63.66,64.39,63.26,63.81,5494200,59.52
2012-11-26,63.90,64.61,63.70,64.17,3668600,59.85
2012-11-23,63.80,64.09,63.60,64.04,921500,59.73
2012-11-21,63.72,63.86,63.24,63.57,1954000,59.29
2012-11-20,63.30,63.68,62.86,63.68,2490200,59.39
2012-11-19,63.13,63.39,62.80,63.21,2112300,58.96
2012-11-16,62.11,62.50,61.66,62.44,2446300,58.24
2012-11-15,62.38,62.73,61.69,62.06,3151600,57.88
2012-11-14,63.81,63.81,62.15,62.35,2489400,58.15
2012-11-13,63.35,63.91,63.25,63.54,1648100,59.26
2012-11-12,63.86,63.92,63.35,63.59,1182200,59.31
2012-11-09,63.78,64.19,63.45,63.74,2400500,59.45
2012-11-08,64.70,64.70,63.90,63.91,1793200,59.61
2012-11-07,64.61,64.94,64.37,64.68,2476300,60.33
2012-11-06,64.92,65.10,64.55,64.97,1415100,60.60
2012-11-05,65.12,65.20,64.30,64.69,1633100,60.34
2012-11-02,65.06,65.57,65.01,65.12,2587100,60.74
2012-11-01,64.50,64.95,64.22,64.69,2311200,60.34
2012-10-31,64.04,64.44,63.74,64.38,2616900,60.05
2012-10-26,64.30,64.30,63.40,63.76,2320000,59.47
2012-10-25,64.86,65.15,63.68,64.32,2028200,59.99
2012-10-24,64.72,64.95,64.30,64.50,1701100,60.16
2012-10-23,64.74,64.86,64.09,64.55,1976200,60.21
2012-10-22,65.49,65.55,64.83,65.21,1642900,60.82
2012-10-19,66.06,66.32,65.44,65.54,2046100,61.13
2012-10-18,65.32,66.11,65.32,66.09,2155900,61.64
2012-10-17,65.31,65.55,64.99,65.42,2665300,61.02
2012-10-16,65.45,65.71,65.40,65.60,2355800,61.19
2012-10-15,64.79,65.24,64.46,65.20,2209900,60.81
2012-10-12,65.11,65.37,64.71,64.77,1741200,60.41
2012-10-11,65.36,65.53,65.00,65.00,1537800,60.63
2012-10-10,64.87,65.19,64.68,65.05,1984800,60.67
2012-10-09,65.05,65.36,64.77,64.79,2292200,60.43
2012-10-08,64.83,65.06,64.72,65.03,1825600,60.65
2012-10-05,65.15,65.52,64.96,65.17,1636300,60.78
2012-10-04,65.42,65.62,64.78,65.09,2258000,60.71
2012-10-03,65.07,65.68,65.00,65.11,2928600,60.73
2012-10-02,64.68,64.98,64.41,64.98,2511100,60.61
2012-10-01,65.10,65.31,63.82,64.49,5154300,60.15
2012-09-28,64.92,65.27,64.59,64.97,2903500,60.60
2012-09-27,65.05,65.52,64.84,65.07,1542000,60.69
2012-09-26,64.74,65.18,64.67,64.79,2693300,60.43
2012-09-25,65.98,66.03,64.77,64.80,5153600,60.44
2012-09-24,65.73,66.25,65.70,65.77,4512700,61.34
2012-09-21,66.64,66.76,66.48,66.54,6134600,61.57
2012-09-20,67.23,67.24,66.29,66.53,4285400,61.56
2012-09-19,67.97,68.02,67.53,67.53,1972600,62.49
2012-09-18,68.35,68.41,67.69,67.91,2344400,62.84
2012-09-17,68.79,69.11,68.47,68.56,2430200,63.44
2012-09-14,68.54,69.20,68.51,68.76,4855800,63.63
2012-09-13,67.62,68.48,67.52,68.38,4467500,63.27
2012-09-12,67.47,67.63,67.26,67.55,3416200,62.51
