Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,44.14,45.13,44.02,44.74,6680900,40.04
2008-12-30,43.29,44.12,43.11,44.12,8725900,39.49
2008-12-29,43.25,43.26,42.36,42.99,6012300,38.48
2008-12-26,43.25,43.32,42.86,43.32,3522900,38.77
2008-12-24,42.78,43.03,42.55,42.87,2333700,38.37
2008-12-23,43.40,43.57,42.50,42.70,10094300,38.22
2008-12-22,43.96,43.97,42.36,43.16,9594600,38.63
2008-12-19,44.47,45.10,43.98,44.11,6242800,39.18
2008-12-18,45.19,45.34,43.63,44.15,8333900,39.22
2008-12-17,44.80,45.69,44.47,44.93,7705200,39.91
2008-12-16,45.26,45.31,43.44,45.26,8988000,40.20
2008-12-15,43.91,44.00,42.45,43.00,8839700,38.19
2008-12-12,42.05,43.81,42.00,43.72,7858200,38.83
2008-12-11,44.14,44.83,42.92,43.29,6746200,38.45
2008-12-10,44.44,45.02,43.84,44.54,7436400,39.56
2008-12-09,44.49,45.38,43.74,44.04,11438500,39.12
2008-12-08,44.45,45.41,44.17,44.86,9452800,39.85
2008-12-05,41.08,43.45,40.36,43.21,25469500,38.38
2008-12-04,42.39,43.33,41.07,41.73,9723300,37.07
2008-12-03,40.98,43.12,40.84,43.01,13823000,38.20
2008-12-02,41.04,41.97,40.39,41.93,10204200,37.24
2008-12-01,43.09,43.12,40.20,40.34,11007700,35.83
2008-11-28,43.59,44.30,43.51,44.30,4245900,39.35
2008-11-26,41.40,43.85,41.33,43.77,21949900,38.88
2008-11-25,42.70,42.76,41.03,42.21,29997000,37.49
2008-11-24,40.00,42.49,39.68,41.63,42316200,36.98
2008-11-21,37.97,39.37,36.32,39.29,18959100,34.90
2008-11-20,39.33,40.37,36.81,37.18,22540600,33.02
2008-11-19,42.32,42.68,39.73,39.84,17829600,35.39
2008-11-18,41.99,42.83,40.81,42.41,21076700,37.67
2008-11-17,42.57,43.59,41.97,42.02,15957900,37.32
2008-11-14,44.00,45.32,43.01,43.15,13627900,38.33
2008-11-13,42.50,45.20,40.44,45.07,33461700,40.03
2008-11-12,43.64,43.89,42.08,42.28,26164200,37.55
2008-11-11,44.95,45.45,43.81,44.56,34453300,39.58
2008-11-10,47.17,47.28,44.95,45.60,9280200,40.50
2008-11-07,45.41,46.20,45.00,46.11,17076100,40.96
2008-11-06,46.78,47.21,44.67,44.95,21517500,39.93
2008-11-05,49.17,49.58,47.11,47.27,22995100,41.99
2008-11-04,49.13,49.89,48.67,49.73,9068100,44.17
2008-11-03,48.06,48.47,47.58,48.00,7864200,42.64
2008-10-31,47.33,48.79,46.72,48.16,19027600,42.78
2008-10-30,47.46,47.60,45.88,47.12,17878200,41.85
2008-10-29,45.50,47.80,45.45,45.58,13198500,40.49
2008-10-28,42.99,46.04,41.63,46.04,11192800,40.89
2008-10-27,42.50,44.07,41.75,41.84,11272400,37.16
2008-10-24,41.40,44.36,41.40,43.24,9436400,38.41
2008-10-23,44.95,45.78,42.47,45.42,8369700,40.34
2008-10-22,46.31,46.51,43.57,44.86,7077000,39.85
2008-10-21,48.44,49.00,47.35,47.51,5601200,42.20
2008-10-20,47.58,48.99,46.95,48.99,3323000,43.51
2008-10-17,45.62,48.90,45.52,46.60,4683200,41.39
2008-10-16,45.24,47.05,42.95,47.04,3862000,41.78
2008-10-15,48.48,48.64,44.86,44.97,4040800,39.94
2008-10-14,52.80,53.50,48.31,49.61,8395400,44.07
2008-10-13,47.05,50.23,46.66,50.04,7777500,44.45
2008-10-10,43.17,46.95,41.72,44.35,7935300,39.39
2008-10-09,49.57,50.07,45.20,45.67,5656700,40.57
2008-10-08,48.39,50.72,47.87,48.73,4013400,43.28
2008-10-07,53.18,53.38,49.60,49.68,3768000,44.13
2008-10-06,53.30,53.44,50.04,52.91,8437400,47.00
2008-10-03,56.50,57.51,54.63,54.82,2657000,48.69
2008-10-02,57.89,58.06,55.50,55.67,2146900,49.45
2008-10-01,58.29,58.52,57.17,58.29,3352700,51.78
2008-09-30,58.00,59.23,56.50,58.36,3219700,51.84
2008-09-29,59.88,60.05,55.89,56.85,4238100,50.50
2008-09-26,59.59,60.95,59.52,60.86,1947100,54.06
2008-09-25,60.75,61.21,59.94,60.91,2569400,54.10
2008-09-24,60.20,60.53,59.38,59.84,1858200,53.15
2008-09-23,61.04,61.74,60.02,60.19,4866400,53.20
2008-09-22,63.14,63.20,60.90,61.23,3319900,54.12
2008-09-19,63.42,63.42,62.33,63.42,2179700,56.05
2008-09-18,59.26,61.26,57.27,60.50,4643300,53.47
2008-09-17,60.14,60.45,58.33,58.54,2976300,51.74
2008-09-16,59.23,61.28,58.82,61.28,3943100,54.16
2008-09-15,61.20,62.29,60.31,60.50,2175600,53.47
2008-09-12,62.26,63.41,62.03,63.41,1160300,56.05
2008-09-11,61.30,62.82,60.95,62.79,1718300,55.50
2008-09-10,62.19,62.59,61.38,61.92,1427400,54.73
2008-09-09,63.65,63.79,61.51,61.51,1904300,54.37
2008-09-08,64.39,64.42,62.75,63.72,1530800,56.32
2008-09-05,61.98,62.74,61.29,62.63,3154000,55.36
2008-09-04,63.79,63.84,62.26,62.26,1554300,55.03
2008-09-03,64.33,64.56,63.75,64.23,1210200,56.77
2008-09-02,65.36,65.70,64.05,64.35,1421300,56.88
2008-08-29,65.17,65.36,64.62,64.62,1194600,57.12
2008-08-28,64.91,65.48,64.84,65.48,1798300,57.88
2008-08-27,64.07,64.72,63.94,64.43,1289200,56.95
2008-08-26,63.80,64.18,63.53,64.00,1304500,56.57
