Date,Open,High,Low,Close,Volume,Adj Close
2005-12-30,62.83,63.07,62.43,62.83,5242800,25.11
2005-12-29,63.17,63.46,63.00,63.06,4514600,25.20
2005-12-28,63.61,63.76,63.12,63.15,5146000,25.24
2005-12-27,64.04,64.32,63.46,63.60,4331800,25.42
2005-12-23,64.12,64.15,63.87,64.03,3630400,25.59
2005-12-22,63.73,63.98,63.41,63.98,5297400,25.57
2005-12-21,63.85,64.20,63.41,63.68,8066200,25.45
2005-12-20,63.45,63.60,63.25,63.41,5788000,25.34
2005-12-19,63.75,64.21,63.53,63.65,7165600,25.44
2005-12-16,64.09,64.48,63.71,63.75,12464800,25.48
2005-12-15,64.01,64.13,63.61,63.71,7543200,25.46
2005-12-14,63.44,64.08,63.37,64.02,9934400,25.59
2005-12-13,62.23,63.61,62.20,63.20,7883800,25.26
2005-12-12,62.61,62.79,62.10,62.35,6328200,24.92
2005-12-09,62.33,63.02,62.12,62.61,6037600,25.02
2005-12-08,62.59,62.96,61.95,62.20,8688000,24.86
2005-12-07,62.90,63.00,62.04,62.50,7394800,24.98
2005-12-06,63.62,63.74,62.86,62.94,9467800,25.16
2005-12-05,62.80,63.15,62.40,63.12,5347400,25.23
2005-12-02,63.00,63.10,62.60,62.80,5053600,25.10
2005-12-01,63.40,63.50,62.84,62.93,7817800,25.15
2005-11-30,63.87,63.90,62.60,62.85,12234400,25.12
2005-11-29,64.15,64.29,63.81,63.84,9595800,25.52
2005-11-28,64.34,64.54,63.78,63.78,10322600,25.49
2005-11-25,64.26,64.34,64.02,64.34,2334400,25.72
2005-11-23,63.65,64.70,63.55,64.26,9218600,25.68
2005-11-22,62.85,63.89,62.85,63.83,11893000,25.51
2005-11-21,62.38,63.25,62.32,63.21,11281200,25.26
2005-11-18,62.40,62.73,61.91,62.51,12561600,24.98
2005-11-17,60.95,62.43,60.95,62.39,9780400,24.94
2005-11-16,61.51,61.90,60.81,60.99,9411800,24.38
2005-11-15,62.43,62.48,61.20,61.51,10838600,24.58
2005-11-14,62.08,62.48,61.95,62.39,10287200,24.94
2005-11-11,61.55,62.18,61.25,62.15,12150800,24.84
2005-11-10,60.44,61.59,60.42,61.45,10906600,24.56
2005-11-09,60.13,60.69,60.08,60.43,6741000,24.15
2005-11-08,59.99,60.20,59.85,60.16,6620800,24.05
