Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-12-31,13.66,13.72,13.31,13.31,3479800.0,0.0,1.0,12.068335633181,12.121344428056,11.759117663078,11.759117663078,3479800.0
2009-12-30,13.66,13.67,13.5,13.67,2500000.0,0.0,1.0,12.068335633181,12.077170432327,11.926978846848,12.077170432327,2500000.0
2009-12-29,13.92,13.95,13.67,13.68,3744600.0,0.0,1.0,12.298040410973,12.32454480841,12.077170432327,12.086005231473,3744600.0
2009-12-28,13.9,13.97,13.8,13.94,2762300.0,0.0,1.0,12.280370812681,12.342214406702,12.192022821223,12.315710009264,2762300.0
2009-12-24,13.88,13.98,13.8,13.89,1523900.0,0.0,1.0,12.262701214389,12.351049205848,12.192022821223,12.271536013535,1523900.0
2009-12-23,13.7,13.93,13.62,13.9,3908900.0,0.0,1.0,12.103674829765,12.306875210118,12.032996436598,12.280370812681,3908900.0
2009-12-22,13.86,13.92,13.54,13.66,4473800.0,0.0,1.0,12.245031616098,12.298040410973,11.962318043432,12.068335633181,4473800.0
2009-12-21,13.82,14.0,13.76,13.84,3496500.0,0.0,1.0,12.209692419515,12.368718804139,12.15668362464,12.227362017806,3496500.0
2009-12-18,13.9,14.125,13.73,13.76,6330500.0,0.0,1.0,12.280370812681,12.479153793462,12.130179227202,12.15668362464,6330500.0
2009-12-17,13.82,14.0,13.59,13.77,5412400.0,0.0,1.0,12.209692419515,12.368718804139,12.006492039161,12.165518423785,5412400.0
2009-12-16,13.79,14.04,13.61,14.0,7268100.0,0.0,1.0,12.183188022077,12.404058000722,12.024161637452,12.368718804139,7268100.0
2009-12-15,13.32,13.82,13.23,13.67,10625200.0,0.0,1.0,11.767952462224,12.209692419515,11.688439269912,12.077170432327,10625200.0
2009-12-14,13.22,13.49,13.06,13.46,5635200.0,0.0,1.0,11.679604470766,11.918144047703,11.538247684433,11.891639650265,5635200.0
2009-12-11,12.71,13.08,12.59,13.08,5113000.0,0.0,1.0,11.229029714329,11.555917282724,11.123012124579,11.555917282724,5113000.0
2009-12-10,12.58,12.84,12.5,12.74,7470000.0,0.0,1.0,11.114177325434,11.343882103225,11.043498932267,11.255534111767,7470000.0
2009-12-09,12.9,12.94,12.56,12.73,5799600.0,0.0,1.0,11.3968908981,11.432230094683,11.096507727142,11.246699312621,5799600.0
2009-12-08,13.16,13.19,12.81,12.87,5298300.0,0.0,1.0,11.626595675891,11.653100073328,11.317377705787,11.370386500662,5298300.0
2009-12-07,13.38,13.49,13.25,13.29,4851800.0,0.0,1.0,11.820961257099,11.918144047703,11.706108868203,11.741448064786,4851800.0
