Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-12-31,29.21,29.75,29.21,29.4,66400.0,0.0,1.0,29.21,29.75,29.21,29.4,66400.0
2010-12-30,29.65,29.65,28.8,29.24,60100.0,0.0,1.0,29.65,29.65,28.8,29.24,60100.0
2010-12-29,28.4,29.52,28.21,29.4,115600.0,0.0,1.0,28.4,29.52,28.21,29.4,115600.0
2010-12-28,27.6,28.5,27.51,28.22,95100.0,0.0,1.0,27.6,28.5,27.51,28.22,95100.0
2010-12-27,28.85,28.85,27.25,27.36,50400.0,0.0,1.0,28.85,28.85,27.25,27.36,50400.0
2010-12-23,28.2,28.2,27.55,27.81,69700.0,0.0,1.0,28.2,28.2,27.55,27.81,69700.0
2010-12-22,27.71,28.17,27.68,28.17,86900.0,0.0,1.0,27.71,28.17,27.68,28.17,86900.0
2010-12-21,27.55,27.95,27.15,27.75,113800.0,0.0,1.0,27.55,27.95,27.15,27.75,113800.0
2010-12-20,27.5,27.7,26.36,27.1,141100.0,0.0,1.0,27.5,27.7,26.36,27.1,141100.0
2010-12-17,26.1,27.06,26.1,27.0,171200.0,0.0,1.0,26.1,27.06,26.1,27.0,171200.0
2010-12-16,26.6,26.6,25.68,26.1,188300.0,0.0,1.0,26.6,26.6,25.68,26.1,188300.0
2010-12-15,27.01,27.01,26.48,26.62,201200.0,0.0,1.0,27.01,27.01,26.48,26.62,201200.0
2010-12-14,28.67,28.69,27.07,27.2,259500.0,0.0,1.0,28.67,28.69,27.07,27.2,259500.0
2010-12-13,28.0,28.86,27.8,28.2,330800.0,0.0,1.0,28.0,28.86,27.8,28.2,330800.0
2010-12-10,27.16,27.77,26.63,27.69,236200.0,0.0,1.0,27.16,27.77,26.63,27.69,236200.0
2010-12-09,26.0,27.14,25.67,27.1,448500.0,0.0,1.0,26.0,27.14,25.67,27.1,448500.0
2010-12-08,25.99,26.03,25.22,25.75,288800.0,0.0,1.0,25.99,26.03,25.22,25.75,288800.0
2010-12-07,26.21,26.75,26.0,26.24,238300.0,0.0,1.0,26.21,26.75,26.0,26.24,238300.0
2010-12-06,26.26,26.65,26.26,26.57,201400.0,0.0,1.0,26.26,26.65,26.26,26.57,201400.0
2010-12-03,26.14,26.74,26.0,26.35,258400.0,0.0,1.0,26.14,26.74,26.0,26.35,258400.0
2010-12-02,25.96,26.38,25.73,26.15,151300.0,0.0,1.0,25.96,26.38,25.73,26.15,151300.0
2010-12-01,25.56,26.08,25.3,26.0,211700.0,0.0,1.0,25.56,26.08,25.3,26.0,211700.0
2010-11-30,25.13,26.1,24.75,25.53,405000.0,0.0,1.0,25.13,26.1,24.75,25.53,405000.0
2010-11-29,24.65,25.2,24.4,25.12,223200.0,0.0,1.0,24.65,25.2,24.4,25.12,223200.0
2010-11-26,25.11,25.25,24.23,24.52,161000.0,0.0,1.0,25.11,25.25,24.23,24.52,161000.0
2010-11-24,25.51,26.0,25.1,25.45,231000.0,0.0,1.0,25.51,26.0,25.1,25.45,231000.0
2010-11-23,24.5,26.43,24.5,25.8,508400.0,0.0,1.0,24.5,26.43,24.5,25.8,508400.0
2010-11-22,23.1,25.0,22.95,25.0,634200.0,0.0,1.0,23.1,25.0,22.95,25.0,634200.0
2010-11-19,23.0,23.19,22.97,23.1,255000.0,0.0,1.0,23.0,23.19,22.97,23.1,255000.0
