Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,67.49,68.30,67.37,68.23,7012500,65.76
2012-12-28,67.91,68.35,67.54,67.61,5513400,65.16
2012-12-27,68.03,68.42,67.79,68.19,7384200,65.72
2012-12-26,68.56,68.65,67.73,67.99,6092900,65.53
2012-12-24,68.51,68.81,68.31,68.57,2904800,66.09
2012-12-21,68.87,69.16,68.27,68.65,13231000,66.16
2012-12-20,68.33,69.06,68.17,69.00,9686300,66.50
2012-12-19,69.43,69.50,68.52,68.52,9973200,66.04
2012-12-18,69.11,69.66,68.91,69.50,11589800,66.98
2012-12-17,68.96,69.51,68.89,69.20,10531700,66.69
2012-12-14,69.05,69.30,68.74,68.75,10502300,66.26
2012-12-13,69.04,69.36,69.00,69.04,14243500,66.54
2012-12-12,70.20,70.35,68.91,68.94,23401900,66.44
2012-12-11,72.25,72.70,70.82,70.89,14595000,68.32
2012-12-10,72.08,72.34,71.79,72.15,5901600,69.54
2012-12-07,71.90,72.59,71.85,72.29,7283000,69.67
2012-12-06,71.67,71.85,71.10,71.59,7166100,69.00
2012-12-05,71.94,72.02,71.23,71.65,9513200,69.06
2012-12-04,71.47,72.60,71.45,72.12,12820500,69.13
2012-12-03,72.11,72.34,71.34,71.34,9086800,68.38
2012-11-30,70.97,72.12,70.85,72.02,12485200,69.03
2012-11-29,70.48,71.04,70.13,70.83,9620500,67.89
2012-11-28,69.46,70.81,69.29,70.56,10496400,67.63
2012-11-27,69.90,70.17,69.45,69.50,7382300,66.61
2012-11-26,70.13,70.23,69.45,69.91,9073200,67.01
2012-11-23,69.34,70.24,68.88,70.20,5134900,67.29
2012-11-21,68.86,69.06,68.68,68.89,7039600,66.03
2012-11-20,69.24,69.24,68.45,69.00,9394600,66.14
2012-11-19,68.15,69.13,67.65,69.02,12835700,66.15
2012-11-16,68.59,68.69,67.88,68.03,12257100,65.21
2012-11-15,69.66,69.69,67.85,68.72,23048900,65.87
2012-11-14,71.86,72.00,71.08,71.31,9111300,68.35
2012-11-13,71.97,72.30,71.18,71.81,8977400,68.83
2012-11-12,72.27,72.60,71.90,72.48,4382800,69.47
2012-11-09,72.13,72.60,71.92,72.31,6891400,69.31
2012-11-08,73.01,73.98,72.48,72.48,7137100,69.47
2012-11-07,73.42,73.90,72.86,73.11,6809900,70.07
2012-11-06,73.17,74.28,73.13,73.76,5334400,70.70
2012-11-05,72.66,73.20,72.65,73.14,4767700,70.10
2012-11-02,73.46,73.57,72.71,72.77,8563500,69.75
2012-11-01,75.13,75.16,73.15,73.45,12943600,70.40
2012-10-31,75.25,75.68,74.13,75.02,6551200,71.91
2012-10-26,75.20,75.42,74.68,75.11,4446900,71.99
2012-10-25,75.30,75.50,74.89,75.32,4432900,72.19
2012-10-24,74.93,75.00,74.52,74.82,4583200,71.71
2012-10-23,75.05,75.49,74.51,74.76,5833900,71.66
2012-10-22,75.68,75.78,75.09,75.65,5425400,72.51
2012-10-19,76.58,76.71,75.43,75.62,6942500,72.48
2012-10-18,77.02,77.23,76.17,76.56,7325700,73.38
2012-10-17,77.33,77.50,76.48,77.03,7494500,73.83
2012-10-16,77.60,77.60,76.69,76.91,6310100,73.72
2012-10-15,75.87,77.35,75.56,77.15,9669600,73.95
2012-10-12,75.42,76.04,75.30,75.81,8029300,72.66
2012-10-11,76.60,76.61,74.95,75.01,8325500,71.90
2012-10-10,74.65,76.81,74.64,75.42,19364800,72.29
2012-10-09,75.16,75.38,74.13,74.14,8307300,71.06
2012-10-08,75.16,75.55,75.06,75.25,4545900,72.13
2012-10-05,74.94,75.50,74.89,75.13,5205100,72.01
2012-10-04,74.51,75.01,74.51,74.72,5000900,71.62
2012-10-03,74.03,74.75,73.75,74.20,8164700,71.12
2012-10-02,73.98,74.36,73.63,73.75,4236500,70.69
