Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,403.51,406.28,403.49,405.00,6416500,399.11
2011-12-29,403.40,405.65,400.51,405.12,7713500,399.23
2011-12-28,406.89,408.25,401.34,402.64,8166500,396.78
2011-12-27,403.10,409.09,403.02,406.53,9467000,400.62
2011-12-23,399.69,403.59,399.49,403.33,9621400,397.46
2011-12-22,397.00,399.13,396.10,398.55,7227100,392.75
2011-12-21,396.69,397.30,392.01,396.45,9391000,390.68
2011-12-20,387.76,396.10,387.26,395.95,12043400,390.19
2011-12-19,382.47,384.85,380.48,382.21,8411800,376.65
2011-12-16,380.36,384.15,379.57,381.02,15052800,375.48
2011-12-15,383.33,383.74,378.31,378.94,9150000,373.43
2011-12-14,386.70,387.38,377.68,380.19,14531700,374.66
2011-12-13,393.00,395.40,387.10,388.81,12104600,383.15
2011-12-12,391.68,393.90,389.45,391.84,10752400,386.14
2011-12-09,392.85,394.04,391.03,393.62,10606900,387.89
2011-12-08,391.45,395.50,390.23,390.66,13441300,384.98
2011-12-07,389.93,390.94,386.76,389.09,10883800,383.43
2011-12-06,392.51,394.63,389.38,390.95,10128500,385.26
2011-12-05,393.49,396.41,390.39,393.01,12757500,387.29
2011-12-02,389.83,393.63,388.58,389.70,13537700,384.03
2011-12-01,382.54,389.00,380.75,387.93,13827900,382.29
2011-11-30,381.29,382.28,378.30,382.20,14497800,376.64
2011-11-29,375.84,378.83,370.20,373.20,13423400,367.77
2011-11-28,372.35,376.72,370.33,376.12,12371900,370.65
2011-11-25,368.42,371.15,363.32,363.57,9098600,358.28
2011-11-23,374.51,375.84,366.88,366.99,15295400,361.65
2011-11-22,371.02,377.93,370.94,376.51,14607900,371.03
2011-11-21,370.40,371.68,365.91,369.01,15999300,363.64
2011-11-18,378.92,379.99,374.88,374.94,13283500,369.49
2011-11-17,383.98,384.58,375.50,377.41,17139300,371.92
2011-11-16,389.25,391.14,384.32,384.77,12471800,379.17
2011-11-15,380.80,389.50,379.45,388.83,15386100,383.17
2011-11-14,383.52,385.25,378.20,379.26,15460900,373.74
2011-11-11,386.61,388.70,380.26,384.62,23349500,379.03
2011-11-10,397.03,397.21,382.15,385.22,26598300,379.62
2011-11-09,396.97,400.89,394.23,395.28,19953000,389.53
2011-11-08,402.21,408.00,401.56,406.23,14301500,400.32
2011-11-07,399.91,400.00,396.13,399.73,9652700,393.92
2011-11-04,402.03,403.44,399.16,400.24,10793900,394.42
2011-11-03,399.07,403.40,395.36,403.07,15763800,397.21
2011-11-02,400.09,400.44,395.11,397.41,11723400,391.63
2011-11-01,397.41,399.50,393.22,396.51,18992500,390.74
2011-10-31,402.42,409.33,401.05,404.78,13767900,398.89
2011-10-28,403.00,406.35,402.51,404.95,11530100,399.06
2011-10-27,407.56,409.00,401.89,404.69,17666600,398.80
2011-10-26,401.76,402.55,393.15,400.60,16296600,394.77
2011-10-25,405.03,406.55,397.38,397.77,15372400,391.98
2011-10-24,396.18,406.50,395.40,405.77,17933500,399.87
2011-10-21,398.10,399.14,390.75,392.87,22187300,387.16
2011-10-20,400.00,400.35,394.21,395.31,19616800,389.56
2011-10-19,401.35,408.42,397.80,398.62,39430700,392.82
2011-10-18,421.76,424.81,415.99,422.24,31485800,416.10
2011-10-17,421.74,426.70,415.94,419.99,24501600,413.88
2011-10-14,416.83,422.00,415.27,422.00,20477400,415.86
2011-10-13,404.98,408.43,402.85,408.43,15220900,402.49
2011-10-12,407.34,409.25,400.14,402.19,22224500,396.34
2011-10-11,392.57,403.18,391.50,400.29,21631700,394.47
2011-10-10,379.09,388.81,378.21,388.81,15804100,383.15
2011-10-07,375.78,377.74,368.49,369.80,19123500,364.42
2011-10-06,373.33,384.78,371.80,377.37,29020800,371.88
2011-10-05,367.86,379.82,360.30,378.25,28088200,372.75
2011-10-04,374.57,381.80,354.24,372.50,44059900,367.08
2011-10-03,380.37,382.64,373.17,374.60,23896400,369.15
2011-09-30,387.12,388.89,381.18,381.32,19558600,375.77
2011-09-29,401.92,402.21,386.21,390.57,23253100,384.89
2011-09-28,400.19,403.74,396.51,397.01,15344200,391.24
2011-09-27,408.73,409.25,398.06,399.26,22589200,393.45
2011-09-26,399.86,403.98,391.30,403.17,29031300,397.31
2011-09-23,400.28,406.74,399.85,404.30,19509900,398.42
2011-09-22,401.03,409.82,396.70,401.82,34588600,395.98
2011-09-21,419.64,421.59,412.00,412.14,21642000,406.15
2011-09-20,415.25,422.86,411.19,413.45,27705500,407.44
2011-09-19,397.00,413.23,395.20,411.63,29423600,405.64
2011-09-16,395.54,400.50,395.03,400.50,24946900,394.67
2011-09-15,391.43,393.66,389.90,392.96,14922100,387.24
2011-09-14,387.02,392.21,385.76,389.30,19097300,383.64
2011-09-13,382.14,386.21,380.25,384.62,15734300,379.03
2011-09-12,373.00,380.88,371.90,379.94,16708300,374.41
2011-09-09,383.93,386.00,375.02,377.48,20171900,371.99
2011-09-08,382.40,388.61,382.31,384.14,14862800,378.55
2011-09-07,385.56,385.60,382.00,383.93,12520600,378.35
2011-09-06,367.37,380.33,366.48,379.74,18203500,374.22
2011-09-02,374.74,378.00,371.83,374.05,15676400,368.61
2011-09-01,385.82,387.34,380.72,381.03,12275900,375.49
2011-08-31,390.57,392.08,381.86,384.83,18663800,379.23
2011-08-30,388.25,391.84,386.21,389.99,14925800,384.32
2011-08-29,388.18,391.50,388.00,389.97,14473900,384.30
2011-08-26,371.17,383.80,370.80,383.58,22909900,378.00
2011-08-25,365.08,375.45,365.00,373.72,31119500,368.28
2011-08-24,373.47,378.96,370.60,376.18,22366700,370.71
2011-08-23,360.30,373.64,357.00,373.60,23458400,368.17
2011-08-22,364.51,364.88,355.09,356.44,19118400,351.26
2011-08-19,362.17,367.00,356.00,356.03,27710300,350.85
2011-08-18,370.84,372.65,361.37,366.05,30408400,360.73
2011-08-17,382.31,384.52,378.00,380.44,15787900,374.91
2011-08-16,381.52,383.37,376.06,380.48,17812500,374.95
2011-08-15,379.63,384.97,378.09,383.41,16448000,377.83
2011-08-12,378.07,379.64,374.23,376.99,18892000,371.51
2011-08-11,370.52,375.45,364.72,373.70,26498900,368.26
2011-08-10,371.15,374.65,362.50,363.69,31380600,358.40
2011-08-09,361.30,374.61,355.00,374.01,38663700,368.57
2011-08-08,361.69,367.77,353.02,353.21,40851200,348.07
2011-08-05,380.44,383.50,362.57,373.62,43021100,368.19
2011-08-04,389.41,391.32,377.35,377.37,31121700,371.88
2011-08-03,390.98,393.55,382.24,392.57,26161000,386.86
2011-08-02,397.65,397.90,388.35,388.91,22840700,383.25
2011-08-01,397.78,399.50,392.37,396.75,21887000,390.98
2011-07-29,387.64,395.15,384.00,390.48,22592300,384.80
2011-07-28,391.62,396.99,388.13,391.82,21215500,386.12
2011-07-27,400.59,402.64,392.15,392.59,23547300,386.88
2011-07-26,400.00,404.50,399.68,403.41,17020800,397.54
2011-07-25,390.35,400.00,389.62,398.50,21064500,392.70
2011-07-22,388.32,395.05,387.75,393.30,18454600,387.58
2011-07-21,386.95,390.06,383.90,387.29,18804800,381.66
2011-07-20,396.12,396.27,386.00,386.90,33619300,381.27
2011-07-19,378.00,378.65,373.32,376.85,29255200,371.37
2011-07-18,365.43,374.65,365.28,373.80,20451900,368.36
