Date,Open,High,Low,Close,Volume,Adj Close
2011-01-03,1.17,1.4,1.17,1.2,6400,1.2
2011-01-04,1.35,1.35,1.3,1.3,4400,1.3
2011-01-05,1.3,1.4,1.3,1.34,4800,1.34
2011-01-06,1.3,1.3,1.15,1.3,8400,1.3
2011-01-07,1.3,1.3,1.3,1.3,200,1.3
2011-01-10,1.3,1.3,1.3,1.3,600,1.3
2011-01-11,1.21,1.3,1.2,1.25,3200,1.25
2011-01-12,1.25,1.25,1.25,1.25,0,1.25
2011-01-13,1.3,1.35,1.3,1.35,12900,1.35
2011-01-14,1.39,1.39,1.32,1.37,5300,1.37
2011-01-18,1.37,1.4,1.37,1.4,8400,1.4
2011-01-19,1.4,1.45,1.35,1.4,16200,1.4
2011-01-20,1.3,1.4,1.3,1.4,1800,1.4
2011-01-21,1.4,1.4,1.35,1.4,3100,1.4
2011-01-24,1.4,1.6,1.35,1.6,43300,1.6
2011-01-25,1.33,1.51,1.33,1.5,10200,1.5
2011-01-26,1.5,1.5,1.45,1.5,5000,1.5
2011-01-27,1.5,1.5,1.35,1.41,4600,1.41
2011-01-28,1.41,1.41,1.35,1.4,13100,1.4
2011-01-31,1.33,1.44,1.32,1.44,7900,1.44
2011-02-01,1.44,1.44,1.35,1.4,5700,1.4
2011-02-02,1.35,1.45,1.35,1.4,10200,1.4
2011-02-03,1.5,1.5,1.49,1.5,10200,1.5
2011-02-04,1.5,1.6,1.5,1.55,5000,1.55
2011-02-07,1.56,1.6,1.45,1.6,13900,1.6
2011-02-08,1.7,2.3,1.6,2,47400,2
2011-02-09,1.8,2.09,1.75,2,6600,2
2011-02-10,2,2,1.99,2,1900,2
2011-02-11,2,2.1,1.95,2.02,10200,2.02
2011-02-14,1.8,2.1,1.8,2.05,18500,2.05
2011-02-15,1.8,2.1,1.8,1.95,3000,1.95
2011-02-16,1.95,1.95,1.8,1.95,2400,1.95
2011-02-17,1.95,1.95,1.95,1.95,100,1.95
2011-02-18,2.1,2.1,1.81,2,6000,2
2011-02-22,2,2,1.8,1.87,25000,1.87
2011-02-23,1.8,1.87,1.8,1.87,300,1.87
2011-02-24,2,2,1.76,1.89,10100,1.89
2011-02-25,2.1,2.1,1.85,1.9,8200,1.9
2011-02-28,2.07,2.07,1.85,1.95,3600,1.95
