Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,160.90,162.75,160.77,162.02,11786200,162.02
2012-12-28,160.94,160.97,160.15,160.54,6852900,160.54
2012-12-27,160.23,161.31,160.05,161.16,8937700,161.16
2012-12-26,161.36,161.49,160.64,160.78,4961800,160.78
2012-12-24,160.88,160.96,160.47,160.62,3699400,160.62
2012-12-21,159.82,160.76,159.78,160.33,13445400,160.33
2012-12-20,159.87,160.12,158.39,159.73,25148400,159.73
2012-12-19,161.31,162.22,161.11,161.69,12991600,161.69
2012-12-18,164.35,164.43,160.90,162.08,23995000,162.08
2012-12-17,164.16,164.62,164.13,164.44,8173300,164.44
2012-12-14,164.17,164.48,164.02,164.13,5351700,164.13
2012-12-13,163.87,164.90,163.78,164.37,9332800,164.37
2012-12-12,166.20,166.94,165.36,165.77,14164700,165.77
2012-12-11,165.45,165.66,165.12,165.65,4724000,165.65
2012-12-10,166.11,166.16,165.71,165.80,4646600,165.80
2012-12-07,164.88,165.22,164.60,165.16,7289500,165.16
2012-12-06,163.72,165.00,163.53,164.50,7301600,164.50
2012-12-05,164.22,164.50,163.20,164.12,10646800,164.12
2012-12-04,164.06,164.83,163.87,164.42,10208900,164.42
2012-12-03,166.11,166.92,166.04,166.13,6363400,166.13
2012-11-30,166.94,167.22,165.53,166.05,8412300,166.05
2012-11-29,167.14,167.50,166.85,167.18,7446800,167.18
2012-11-28,165.43,166.84,165.38,166.55,12880100,166.55
2012-11-27,169.14,169.40,168.62,168.71,7314400,168.71
2012-11-26,169.56,169.73,169.25,169.43,5377700,169.43
2012-11-23,167.97,170.01,167.80,169.61,6110100,169.61
2012-11-21,167.19,167.82,166.97,167.56,3810700,167.56
2012-11-20,167.75,168.02,166.84,167.39,5496100,167.39
2012-11-19,167.75,168.16,167.38,167.87,6764500,167.87
2012-11-16,165.74,166.36,165.47,165.88,6944000,165.88
2012-11-15,167.00,167.05,165.18,166.09,10023200,166.09
2012-11-14,167.46,168.04,166.78,167.14,8510500,167.14
2012-11-13,166.66,167.94,166.63,167.10,6463300,167.10
2012-11-12,168.10,168.28,167.21,167.45,5647600,167.45
2012-11-09,168.21,168.54,167.55,167.82,7361000,167.82
2012-11-08,166.14,168.16,166.12,167.99,8829000,167.99
2012-11-07,166.87,167.13,165.04,166.49,13195200,166.49
2012-11-06,163.91,166.77,163.61,166.30,16051800,166.30
2012-11-05,163.12,163.42,162.81,163.23,6156200,163.23
2012-11-02,164.45,164.47,162.30,162.60,14763100,162.60
2012-11-01,167.02,167.04,166.04,166.07,6018000,166.07
2012-10-31,166.47,167.28,166.38,166.83,4681500,166.83
2012-10-26,166.23,166.60,165.77,165.93,6441300,165.93
2012-10-25,166.29,166.53,165.77,166.02,7013800,166.02
2012-10-24,165.78,165.83,164.60,164.86,10794600,164.86
2012-10-23,166.04,166.06,165.12,165.43,11892500,165.43
2012-10-22,167.08,167.63,167.03,167.58,6366200,167.58
2012-10-19,168.42,168.45,166.23,166.97,13860400,166.97
2012-10-18,168.80,169.31,168.59,168.79,6607100,168.79
2012-10-17,169.21,169.95,168.92,169.54,5203400,169.54
2012-10-16,168.87,169.45,168.67,169.42,6204000,169.42
2012-10-15,169.01,169.10,167.53,168.35,10704900,168.35
2012-10-12,171.15,171.41,169.81,170.06,8266000,170.06
2012-10-11,171.30,171.95,171.13,171.32,5714900,171.32
2012-10-10,170.54,171.34,170.30,170.84,7361300,170.84
2012-10-09,171.86,172.17,170.56,170.99,7750700,170.99
2012-10-08,171.75,172.28,171.68,172.05,3749300,172.05
2012-10-05,172.87,173.37,172.01,172.62,8871000,172.62
2012-10-04,173.20,174.07,172.92,173.61,10376800,173.61
2012-10-03,172.51,172.61,171.89,172.41,5647600,172.41
2012-10-02,172.47,172.70,171.59,172.10,7053900,172.10
2012-10-01,172.83,173.62,171.77,172.29,10676400,172.29
2012-09-28,172.03,172.48,171.34,171.89,9681200,171.89
2012-09-27,171.02,172.60,170.76,172.34,10539500,172.34
2012-09-26,169.46,170.05,168.34,169.81,12064800,169.81
2012-09-25,171.76,172.11,170.50,170.77,10365300,170.77
2012-09-24,170.63,171.39,170.57,171.05,9177900,171.05
2012-09-21,172.93,173.18,171.54,171.96,13361300,171.96
2012-09-20,171.03,171.69,170.23,171.47,8703000,171.47
2012-09-19,171.88,172.03,171.19,171.74,9125800,171.74
2012-09-18,170.81,171.95,170.67,171.72,12486600,171.72
2012-09-17,171.77,171.96,170.06,170.40,11281600,170.40
2012-09-14,171.89,172.23,171.31,171.80,16847500,171.80
2012-09-13,167.87,171.91,166.30,171.31,28336900,171.31
2012-09-12,168.84,168.87,167.25,167.92,9945400,167.92
2012-09-11,168.22,168.53,167.79,167.90,7522900,167.90
2012-09-10,167.84,168.14,167.23,167.29,7760600,167.29
2012-09-07,167.77,169.00,167.37,168.44,19138600,168.44
2012-09-06,165.16,165.78,164.80,164.89,12961100,164.89
2012-09-05,164.12,164.39,163.81,164.31,8401900,164.31
2012-09-04,164.11,164.77,163.66,164.48,12034800,164.48
2012-08-31,161.14,164.22,159.56,164.22,18024200,164.22
2012-08-30,161.26,161.31,160.01,160.52,5813700,160.52
2012-08-29,161.60,161.68,160.18,160.59,9287700,160.59
2012-08-28,161.63,162.19,161.30,161.64,5074200,161.64
2012-08-27,161.77,162.29,161.34,161.36,5380200,161.36
2012-08-24,161.87,162.35,161.33,161.97,8497200,161.97
2012-08-23,161.41,162.45,161.23,161.89,17237600,161.89
2012-08-22,159.19,160.63,158.51,160.54,13605900,160.54
2012-08-21,158.81,159.20,158.69,158.83,11833100,158.83
2012-08-20,156.52,157.40,156.47,157.26,7846200,157.26
2012-08-17,157.06,157.07,156.22,156.72,7812100,156.72
2012-08-16,155.85,157.09,155.50,156.56,8838300,156.56
2012-08-15,155.32,155.82,155.27,155.63,4993900,155.63
2012-08-14,155.06,155.58,154.83,155.13,5075200,155.13
2012-08-13,157.05,157.45,155.90,155.99,4573300,155.99
2012-08-10,156.90,157.82,156.65,157.18,4608000,157.18
2012-08-09,156.36,157.00,156.28,156.99,3177800,156.99
2012-08-08,156.49,156.86,156.26,156.48,3620500,156.48
2012-08-07,156.37,156.63,156.01,156.28,5923300,156.28
2012-08-06,155.92,156.73,155.74,156.30,4610800,156.30
2012-08-03,154.65,155.89,154.42,155.55,10670700,155.55
2012-08-02,154.66,155.14,153.61,154.13,11538800,154.13
2012-08-01,155.18,155.79,154.41,155.14,12714500,155.14
2012-07-31,157.60,157.72,156.26,156.49,10919700,156.49
2012-07-30,156.84,157.66,154.81,157.43,7212100,157.43
2012-07-27,157.64,157.96,156.66,157.54,9772600,157.54
