Date,USD,GBP,EUR
2013-09-29,1333.0,831.203,986.75
2013-09-22,1349.25,842.755,997.671
2013-09-15,1318.5,831.546,993.969
2013-09-08,1387.0,886.885,1052.911
2013-09-01,1394.75,901.292,1055.749
2013-08-25,1377.5,885.738,1030.6
2013-08-18,1369.25,875.424,1024.964
2013-08-11,1309.0,843.156,979.79
2013-08-04,1309.25,858.637,986.921
2013-07-28,1331.0,864.23,1001.505
2013-07-21,1295.75,848.726,987.012
2013-07-14,1279.75,846.9,982.006
2013-07-07,1212.75,814.582,944.804
2013-06-30,1192.0,783.026,914.391
2013-06-23,1295.25,839.872,984.457
2013-06-16,1391.25,887.616,1044.012
2013-06-09,1386.0,894.078,1049.92
2013-06-02,1394.5,919.916,1075.505
2013-05-26,1390.25,919.417,1073.386
2013-05-19,1368.75,901.502,1068.001
2013-05-12,1426.5,927.564,1098.491
2013-05-05,1469.25,943.218,1120.368
2013-04-28,1471.5,950.766,1130.705
2013-04-21,1405.5,918.267,1071.674
2013-04-14,1535.5,998.894,1173.302
2013-04-07,1568.0,1023.699,1204.949
2013-03-31,1598.25,1053.56,1245.907
2013-03-24,1607.75,1056.826,1238.541
2013-03-17,1595.5,1054.388,1222.137
2013-03-10,1581.75,1058.948,1218.23
2013-03-03,1582.25,1054.131,1218.991
2013-02-24,1576.5,1032.89,1199.133
2013-02-17,1612.25,1039.893,1207.407
2013-02-10,1668.25,1057.059,1245.706
2013-02-03,1669.0,1058.137,1225.044
2013-01-27,1660.0,1049.902,1233.101
2013-01-20,1688.5,1062.016,1269.072
2013-01-13,1657.5,1029.887,1243.249
2013-01-06,1648.0,1026.727,1262.932
2012-12-30,1657.5,1027.206,1253.024
2012-12-23,1651.5,1019.256,1253.701
2012-12-16,1696.25,1052.003,1295.639
2012-12-09,1701.5,1062.707,1318.481
2012-12-02,1726.0,1077.74,1326.672
2012-11-25,1734.5,1085.555,1340.21
2012-11-18,1713.5,1080.255,1346.562
2012-11-11,1738.25,1091.18,1366.549
2012-11-04,1685.0,1050.041,1311.59
2012-10-28,1716.0,1064.384,1326.326
2012-10-21,1737.0,1082.243,1332.26
2012-10-14,1766.75,1098.315,1361.133
2012-10-07,1784.0,1101.303,1366.526
2012-09-30,1776.0,1099.486,1377.278
2012-09-23,1784.5,1096.265,1373.326
2012-09-16,1775.5,1094.299,1348.959
2012-09-09,1728.0,1080.068,1354.657
2012-09-02,1648.5,1041.311,1311.56
2012-08-26,1667.0,1053.796,1332.747
2012-08-19,1614.75,1028.896,1311.738
2012-08-12,1618.5,1037.101,1320.039
2012-08-05,1602.0,1028.043,1299.586
2012-07-29,1618.25,1026.874,1309.052
2012-07-22,1576.25,1007.639,1296.258
2012-07-15,1595.5,1026.573,1301.599
2012-07-08,1587.0,1023.211,1288.463
2012-07-01,1598.5,1019.322,1260.448
2012-06-24,1565.5,1003.526,1244.633
2012-06-17,1627.25,1041.04,1289.462
2012-06-10,1576.5,1022.374,1265.249
2012-06-03,1606.0,1041.775,1292.763
2012-05-27,1569.5,1000.638,1252.194
2012-05-20,1589.5,1004.741,1249.803
2012-05-13,1583.0,983.78,1223.622
2012-05-06,1643.75,1015.978,1248.765
2012-04-29,1663.5,1024.449,1255.946
2012-04-22,1641.5,1018.553,1244.126
2012-04-15,1666.5,1047.125,1272.137
2012-04-08,1631.0,1029.607,1248.278
2012-04-01,1662.5,1039.452,1246.626
2012-03-25,1664.0,1047.991,1254.429
2012-03-18,1658.0,1046.189,1258.444
2012-03-11,1687.5,1074.567,1285.225
2012-03-04,1707.0,1077.583,1293.77
2012-02-26,1777.5,1121.38,1321.856
2012-02-19,1723.0,1089.817,1309.569
2012-02-12,1711.5,1086.667,1298.46
2012-02-05,1734.0,1099.068,1324.574
2012-01-29,1726.0,1099.853,1316.452
2012-01-22,1653.0,1064.94,1279.016
2012-01-15,1635.5,1069.304,1289.623
2012-01-08,1616.5,1049.88,1271.533
2012-01-01,1531.0,992.673,1184.16
2011-12-25,1606.5,1024.684,1231.129
2011-12-18,1594.0,1026.93,1222.862
2011-12-11,1709.0,1092.362,1277.948
2011-12-04,1747.0,1114.585,1295.898
2011-11-27,1688.5,1089.144,1272.131
2011-11-20,1719.0,1089.285,1270.228
2011-11-13,1773.0,1108.61,1295.295
2011-11-06,1749.0,1096.071,1272.555
2011-10-30,1741.0,1081.299,1230.041
2011-10-23,1642.5,1031.138,1183.528
2011-10-16,1678.0,1060.482,1210.416
2011-10-09,1652.0,1059.314,1224.883
2011-10-02,1620.0,1040.997,1204.73
2011-09-25,1689.0,1092.355,1250.0
2011-09-18,1794.0,1133.649,1297.18
2011-09-11,1851.0,1163.492,1348.83
2011-09-04,1875.25,1157.562,1318.927
2011-08-28,1788.0,1099.023,1242.875
2011-08-21,1848.0,1113.723,1280.843
2011-08-14,1736.0,1066.012,1219.016
2011-08-07,1658.75,1014.34,1167.476
2011-07-31,1628.5,992.08,1133.11
2011-07-24,1602.0,984.332,1118.09
2011-07-17,1587.0,985.347,1124.42
2011-07-10,1541.5,960.077,1076.17
2011-07-03,1483.0,926.065,1025.87
2011-06-26,1514.75,947.074,1067.78
2011-06-19,1537.5,949.602,1074.8
2011-06-12,1529.25,941.888,1061.02
2011-06-05,1540.0,942.588,1059.29
2011-05-29,1533.0,932.936,1076.17
2011-05-22,1490.75,921.467,1052.64
2011-05-15,1505.75,928.043,1058.15
2011-05-08,1486.5,905.023,1024.61
2011-05-01,1535.5,919.736,1034.36
2011-04-24,1504.0,908.652,1033.39
2011-04-17,1476.75,903.764,1023.81
2011-04-10,1469.5,896.638,1017.73
2011-04-03,1418.0,886.527,1006.53
2011-03-27,1436.0,892.924,1014.84
2011-03-20,1420.0,877.952,1004.39
2011-03-13,1411.5,880.976,1021.35
2011-03-06,1427.0,876.267,1019.29
2011-02-27,1402.5,874.54,1021.26
2011-02-20,1383.5,852.696,1015.04
2011-02-13,1364.0,852.5,1007.31
2011-02-06,1355.0,843.974,999.926
2011-01-30,1319.0,830.605,962.774
2011-01-23,1343.5,840.844,991.074
2011-01-16,1367.0,860.56,1021.29
2011-01-09,1367.0,880.799,1053.16
2011-01-02,1405.5,909.532,1056.45
2010-12-26,1373.5,890.553,1051.28
2010-12-19,1368.5,882.334,1035.57
2010-12-12,1375.25,871.239,1041.38
2010-12-05,1403.5,894.861,1051.31
2010-11-28,1355.0,866.424,1022.64
2010-11-21,1342.5,841.587,983.589
2010-11-14,1388.5,859.752,1010.11
2010-11-07,1395.5,859.034,990.278
2010-10-31,1346.75,843.036,968.258
2010-10-24,1322.5,842.786,949.322
2010-10-17,1367.5,852.503,975.253
2010-10-10,1341.5,840.96,961.994
2010-10-03,1316.25,832.859,957.412
2010-09-26,1297.0,821.406,963.238
2010-09-19,1274.0,813.953,975.05
2010-09-12,1246.5,809.942,981.883
2010-09-05,1240.5,803.953,964.019
2010-08-29,1235.0,798.474,972.135
2010-08-22,1223.5,788.338,964.525
2010-08-15,1214.25,777.867,947.375
2010-08-08,1207.75,755.316,906.259
2010-08-01,1169.0,748.879,897.918
2010-07-25,1190.5,774.712,928.917
2010-07-18,1189.25,774.655,917.702
2010-07-11,1208.75,799.438,957.122
2010-07-04,1201.5,791.346,954.329
2010-06-27,1254.0,838.628,1019.26
2010-06-20,1256.0,848.419,1015.61
2010-06-13,1220.0,837.107,1006.93
2010-06-06,1203.5,826.296,999.419
2010-05-30,1207.5,830.868,976.231
2010-05-23,1179.75,816.775,937.798
2010-05-16,1236.5,848.662,993.971
2010-05-09,1202.25,818.581,949.045
2010-05-02,1179.25,773.076,887.388
2010-04-25,1139.5,744.333,856.896
2010-04-18,1151.5,746.419,851.26
2010-04-11,1152.5,750.033,857.26
2010-04-04,1123.5,737.205,832.654
2010-03-28,1096.5,735.807,818.406
2010-03-21,1105.5,736.754,818.343
2010-03-14,1106.25,730.777,805.717
2010-03-07,1135.0,755.307,836.527
2010-02-28,1108.25,731.18,816.932
2010-02-21,1112.75,721.815,824.198
2010-02-14,1082.0,692.702,795.413
2010-02-07,1058.0,676.471,773.675
2010-01-31,1078.5,672.423,775.397
2010-01-24,1084.0,673.669,768.086
2010-01-17,1128.0,692.875,784.969
2010-01-10,1126.75,704.395,786.837
2010-01-03,1087.5,682.974,760.702
2009-12-27,1085.25,680.408,759.022
2009-12-20,1104.5,682.253,769.365
2009-12-13,1124.0,692.545,768.074
2009-12-06,1190.25,717.45,796.953
2009-11-29,1166.5,709.119,781.313
2009-11-22,1140.0,691.035,768.298
2009-11-15,1104.0,663.541,744.236
2009-11-08,1096.75,661.29,735.679
2009-11-01,1040.0,629.616,704.607
2009-10-25,1061.75,649.786,707.456
2009-10-18,1047.5,641.143,704.344
2009-10-11,1051.5,660.573,712.881
2009-10-04,1003.5,630.735,684.414
2009-09-27,991.5,619.455,674.398
2009-09-20,1012.0,620.288,687.967
2009-09-13,1008.25,604.177,690.961
2009-09-06,989.0,605.931,695.597
2009-08-30,955.5,585.657,665.297
2009-08-23,952.5,574.072,663.578
2009-08-16,953.5,576.481,669.734
2009-08-09,956.0,571.497,670.407
2009-08-02,939.0,568.919,664.591
2009-07-26,951.5,579.441,669.222
2009-07-19,937.5,573.851,664.328
2009-07-12,913.0,563.789,654.762
2009-07-05,932.5,570.965,665.834
2009-06-28,942.0,571.394,669.272
2009-06-21,935.25,570.274,671.778
2009-06-14,937.25,572.891,672.201
2009-06-07,962.0,600.387,685.771
2009-05-31,975.5,605.6,691.06
2009-05-24,959.75,604.148,685.291
2009-05-17,929.5,609.109,683.858
2009-05-10,907.0,602.578,672.499
2009-05-03,884.5,594.822,666.541
2009-04-26,907.5,614.588,683.719
2009-04-19,870.5,586.195,666.488
2009-04-12,880.5,597.963,663.127
2009-04-05,905.0,610.085,674.668
2009-03-29,924.0,644.801,694.163
2009-03-22,954.0,661.26,703.332
2009-03-15,928.0,663.473,718.377
2009-03-08,936.0,655.922,737.356
2009-03-01,952.0,669.809,752.807
2009-02-22,989.0,690.353,782.437
2009-02-15,935.5,649.022,727.732
2009-02-08,913.0,621.511,709.126
2009-02-01,919.5,642.288,715.62
2009-01-25,875.75,641.012,682.42
2009-01-18,833.75,560.617,628.392
2009-01-11,847.25,559.167,626.479
2009-01-04,874.5,601.651,627.106
2008-12-28,843.5,569.855,603.621
2008-12-21,835.75,558.171,600.093
2008-12-14,826.5,551.073,617.113
2008-12-07,749.0,513.788,590.415
2008-11-30,814.5,532.214,640.33
2008-11-23,774.5,519.555,616.542
2008-11-16,747.5,506.265,588.258
2008-11-09,735.25,466.736,576.802
2008-11-02,730.75,452.617,574.399
2008-10-26,712.5,449.754,560.803
2008-10-19,784.5,453.023,582.232
2008-10-12,900.5,526.362,663.352
2008-10-05,828.0,469.202,602.489
2008-09-28,902.0,488.492,615.616
2008-09-21,869.0,476.504,604.312
2008-09-14,750.25,421.726,531.489
2008-09-07,808.5,456.367,565.622
2008-08-31,833.0,456.488,566.435
2008-08-24,824.0,443.297,555.78
2008-08-17,786.5,422.895,535.471
2008-08-10,852.5,445.123,567.766
2008-08-03,912.5,461.838,585.95
2008-07-27,920.5,462.54,587.166
2008-07-20,959.75,480.764,605.673
2008-07-13,962.75,483.357,605.884
2008-07-06,931.25,469.901,593.644
2008-06-29,919.5,462.618,584.069
2008-06-22,907.5,458.982,580.169
2008-06-15,866.0,445.313,564.5
2008-06-08,890.5,453.411,567.27
2008-06-01,885.75,449.095,570.568
2008-05-25,927.5,467.914,588.217
2008-05-18,897.0,460.071,578.225
2008-05-11,876.0,450.015,567.652
2008-05-04,853.5,432.656,554.329
2008-04-27,891.5,449.617,570.232
2008-04-20,908.75,455.788,577.644
2008-04-13,927.75,470.748,586.034
2008-04-06,905.5,453.544,575.176
2008-03-30,934.25,468.954,592.347
2008-03-23,925.75,467.669,600.746
2008-03-16,1003.5,493.048,642.322
2008-03-09,972.5,482.582,634.129
2008-03-02,971.5,488.854,640.071
2008-02-24,943.0,478.753,635.702
2008-02-17,912.5,464.566,620.875
2008-02-10,916.25,471.104,632.682
2008-02-03,914.75,464.293,617.032
2008-01-27,918.25,462.921,623.981
2008-01-20,882.0,450.184,602.13
2008-01-13,891.0,455.056,602.719
2008-01-06,855.0,433.131,579.151
2007-12-30,833.75,418.486,567.331
2007-12-23,810.5,408.704,563.434
2007-12-16,789.5,390.513,545.838
2007-12-09,792.5,390.664,541.066
2007-12-02,783.5,380.192,531.15
2007-11-25,815.25,397.063,550.696
2007-11-18,789.75,386.224,539.189
2007-11-11,831.5,396.992,566.958
2007-11-04,796.5,382.418,549.576
2007-10-28,779.15,380.166,542.395
2007-10-21,763.0,372.395,534.988
2007-10-14,749.5,368.631,528.561
2007-10-07,737.0,361.221,521.18
2007-09-30,743.0,365.398,522.982
2007-09-23,737.0,365.123,523.177
2007-09-16,716.35,355.95,516.177
2007-09-09,701.0,345.627,508.93
2007-09-02,672.0,333.697,492.596
2007-08-26,660.85,328.699,484.246
2007-08-19,657.5,330.818,487.326
2007-08-12,668.5,330.859,488.455
2007-08-05,670.5,328.967,487.885
2007-07-29,660.5,325.418,483.67
2007-07-22,681.6,331.986,493.484
2007-07-15,666.5,327.518,483.416
2007-07-08,648.75,322.761,476.567
2007-07-01,650.5,324.536,481.495
2007-06-24,652.85,326.654,485.066
2007-06-17,653.1,330.784,489.69
2007-06-10,655.25,333.172,490.567
2007-06-03,666.5,337.008,497.499
2007-05-27,655.3,330.01,486.597
2007-05-20,657.0,333.283,487.461
2007-05-13,669.0,337.606,495.189
2007-05-06,688.8,345.783,506.731
2007-04-29,677.5,338.327,495.974
2007-04-22,691.4,345.337,508.607
2007-04-15,681.75,343.174,503.359
2007-04-08,673.5,341.531,501.34
2007-04-01,661.75,338.283,496.706
2007-03-25,656.25,334.6,493.569
2007-03-18,653.2,335.646,490.464
2007-03-11,652.25,337.551,497.559
2007-03-04,651.9,335.202,494.838
2007-02-25,683.0,347.884,518.682
2007-02-18,665.1,341.252,507.052
2007-02-11,664.5,341.102,511.351
2007-02-04,645.7,328.1,497.764
2007-01-28,645.5,329.757,500.62
2007-01-21,629.0,318.885,486.428
2007-01-14,619.75,316.829,479.72
2007-01-07,609.5,315.574,468.558
2006-12-31,632.0,322.614,480.791
2006-12-24,620.5,316.824,471.755
2006-12-17,623.75,319.56,476.509
2006-12-10,637.4,323.307,477.274
2006-12-03,648.75,327.718,486.976
2006-11-26,639.5,331.056,488.69
2006-11-19,620.5,327.631,483.821
2006-11-12,629.3,328.857,489.499
2006-11-05,622.75,327.849,490.239
2006-10-29,596.25,313.965,468.198
2006-10-22,596.6,317.087,473.079
2006-10-15,586.1,315.906,468.618
2006-10-08,560.75,299.626,445.287
2006-10-01,599.25,321.279,473.154
2006-09-24,589.0,309.821,460.048
2006-09-17,573.6,305.643,453.726
2006-09-10,610.0,326.938,481.376
2006-09-03,621.05,326.868,485.651
2006-08-27,621.25,329.017,486.797
2006-08-20,613.9,326.022,478.143
2006-08-13,644.5,339.872,504.817
2006-08-06,652.25,341.278,505.307
2006-07-30,637.1,341.737,500.078
2006-07-23,634.0,341.025,499.803
2006-07-16,663.25,361.444,525.055
2006-07-09,631.5,340.964,492.359
2006-07-02,613.5,332.538,480.724
2006-06-25,579.6,318.427,462.681
2006-06-18,574.0,310.472,454.726
2006-06-11,616.0,333.749,486.418
2006-06-04,632.25,335.928,489.926
2006-05-28,642.25,345.909,504.636
2006-05-21,651.5,348.098,512.387
2006-05-14,725.0,382.424,561.711
2006-05-07,678.0,364.183,531.765
2006-04-30,644.0,355.35,512.127
2006-04-23,623.5,350.419,506.006
2006-04-16,593.0,338.586,490.407
2006-04-09,589.75,338.159,485.871
2006-04-02,582.0,334.771,480.119
2006-03-26,556.75,319.787,463.649
2006-03-19,552.75,315.461,454.751
2006-03-12,535.0,310.289,449.996
2006-03-05,565.0,322.029,469.854
2006-02-26,554.15,316.838,465.555
2006-02-19,551.7,317.251,463.224
2006-02-12,557.0,317.198,463.78
2006-02-05,569.0,322.562,474.167
2006-01-29,561.75,315.147,460.526
2006-01-22,567.25,321.152,468.802
2006-01-15,548.25,309.781,454.489
2006-01-08,535.25,302.572,440.173
2006-01-01,513.0,298.204,433.533
2005-12-25,500.0,286.977,420.698
2005-12-18,507.0,286.279,422.676
2005-12-11,525.5,299.396,444.322
2005-12-04,502.5,290.799,430.333
2005-11-27,495.9,288.347,422.078
2005-11-20,485.85,282.767,413.419
2005-11-13,466.75,268.124,398.932
2005-11-06,460.5,261.841,387.072
