Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,32.50,33.92,32.21,33.88,4366200,33.13
2008-12-30,33.00,33.05,32.31,33.00,4096000,32.27
2008-12-29,33.17,33.51,32.45,33.03,5369300,32.30
2008-12-26,30.96,32.52,30.18,32.25,2961500,31.54
2008-12-24,30.78,31.00,29.80,30.59,1289200,29.92
2008-12-23,29.92,30.97,29.58,30.74,3648400,30.06
2008-12-22,31.29,31.81,29.29,29.83,4573100,29.17
2008-12-19,29.22,30.62,28.96,30.58,9190300,29.91
2008-12-18,31.82,32.04,29.07,29.84,9491900,29.18
2008-12-17,32.78,33.87,31.74,32.11,10521200,31.40
2008-12-16,32.34,32.42,29.87,32.34,11269900,31.63
2008-12-15,29.65,30.85,29.27,30.34,7198800,29.67
2008-12-12,27.52,29.16,27.14,28.67,7272700,28.04
2008-12-11,28.92,29.91,27.37,28.02,11312400,27.40
2008-12-10,27.09,28.45,26.98,28.13,10461900,27.51
2008-12-09,24.98,26.17,24.52,25.41,5868300,24.85
2008-12-08,25.00,25.89,24.61,25.26,7784000,24.70
2008-12-05,22.89,23.42,21.20,23.23,7252900,22.72
2008-12-04,23.90,24.78,22.90,23.42,8322800,22.90
2008-12-03,23.65,24.82,23.40,24.06,6129200,23.53
2008-12-02,23.89,24.72,23.70,24.69,8226600,24.15
2008-12-01,24.78,24.95,22.50,22.50,8826700,22.00
2008-11-28,26.33,26.71,25.52,26.57,2678100,25.98
2008-11-26,24.92,26.21,24.41,26.11,9035800,25.53
2008-11-25,25.59,25.69,23.65,25.69,11000600,25.12
2008-11-24,24.50,25.95,24.24,24.63,11438000,24.09
2008-11-21,20.25,23.14,19.67,23.03,8971200,22.52
2008-11-20,18.61,19.45,17.59,18.20,7875900,17.80
2008-11-19,19.95,21.07,18.60,18.61,9968300,18.20
2008-11-18,19.88,20.45,19.13,19.56,6385100,19.13
2008-11-17,20.35,20.93,19.37,19.66,5998800,19.23
2008-11-14,21.84,22.63,20.46,20.55,6590800,20.10
2008-11-13,19.60,21.75,17.79,21.66,9645400,21.18
2008-11-12,20.99,21.25,19.40,19.40,6160100,18.97
2008-11-11,22.41,22.41,20.97,21.64,5562700,21.16
2008-11-10,23.29,23.71,22.37,23.15,4108000,22.64
2008-11-07,21.73,22.83,21.21,21.75,6304100,21.27
2008-11-06,23.73,24.29,21.01,21.93,9625700,21.45
2008-11-05,23.60,24.72,22.98,23.50,6821500,22.98
2008-11-04,22.36,24.42,22.22,23.90,10658000,23.37
2008-11-03,20.97,22.05,20.97,21.01,5729300,20.55
2008-10-31,21.38,21.88,20.78,20.95,4134300,20.49
2008-10-30,21.89,22.45,19.95,21.70,6972900,21.22
2008-10-29,19.17,21.31,18.91,20.86,8772700,20.40
2008-10-28,17.16,19.31,16.42,18.69,5992000,18.28
2008-10-27,18.00,18.34,16.33,16.37,7306100,16.01
2008-10-24,15.84,18.69,15.83,17.80,8507900,17.41
2008-10-23,18.26,19.53,16.80,17.41,9348900,17.03
2008-10-22,20.90,21.11,18.11,18.49,7410000,18.08
2008-10-21,22.46,23.20,21.76,21.89,4833100,21.41
2008-10-20,22.32,24.19,22.06,24.19,3919300,23.66
2008-10-17,21.37,24.21,20.97,21.69,6352300,21.21
2008-10-16,24.76,25.08,21.55,22.20,9989200,21.71
2008-10-15,27.35,27.43,24.36,24.36,6690500,23.82
2008-10-14,27.66,28.81,26.84,27.39,6050700,26.79
2008-10-13,27.38,28.47,25.02,26.80,6280300,26.21
2008-10-10,30.06,30.73,24.68,26.34,11151400,25.76
2008-10-09,31.40,31.40,29.41,30.25,7924500,29.58
