Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,107.98,108.11,107.24,107.31,9124700,107.31
2009-12-30,106.64,107.44,106.40,106.93,9399600,106.93
2009-12-29,108.50,108.50,107.45,107.47,11043700,107.47
2009-12-28,108.64,108.78,107.91,108.55,9637500,108.55
2009-12-24,107.90,108.37,107.77,108.36,7991600,108.36
2009-12-23,106.65,107.45,106.30,106.55,16941900,106.55
2009-12-22,106.79,107.09,105.31,106.17,28702900,106.17
2009-12-21,109.17,109.30,106.82,106.95,23314200,106.95
2009-12-18,108.00,109.50,107.04,108.95,25591700,108.95
2009-12-17,109.47,109.98,107.28,107.34,35016800,107.34
2009-12-16,110.83,111.91,110.63,111.59,22850300,111.59
2009-12-15,109.94,110.57,109.39,110.21,20059500,110.21
2009-12-14,110.01,110.70,109.50,110.24,16339100,110.24
2009-12-11,110.60,110.82,108.72,109.32,28983100,109.32
2009-12-10,110.66,111.03,110.04,110.82,20531800,110.82
2009-12-09,111.60,112.48,109.38,110.84,37125900,110.84
2009-12-08,112.76,113.06,110.21,110.95,37655000,110.95
2009-12-07,111.51,114.22,111.44,113.11,42538700,113.11
2009-12-04,117.15,117.26,112.41,113.75,79182600,113.75
2009-12-03,118.57,119.54,118.03,118.70,28864000,118.70
2009-12-02,118.80,119.27,118.30,119.18,31109300,119.18
2009-12-01,117.30,117.93,116.78,117.38,27721300,117.38
2009-11-30,114.48,115.89,114.27,115.64,16421000,115.64
2009-11-27,113.08,115.81,113.02,115.06,21234400,115.06
2009-11-25,115.69,116.88,115.53,116.62,24569900,116.62
2009-11-24,114.73,114.81,113.97,114.73,22618000,114.73
2009-11-23,114.67,115.12,113.99,114.29,24457700,114.29
2009-11-20,111.74,112.94,111.54,112.94,17302500,112.94
2009-11-19,111.85,112.40,110.76,112.30,21249900,112.30
2009-11-18,112.69,113.09,111.80,112.25,22336900,112.25
2009-11-17,111.09,111.99,110.90,111.97,19831100,111.97
2009-11-16,110.70,112.16,110.65,111.63,25002300,111.63
2009-11-13,108.32,109.80,108.14,109.74,17246000,109.74
2009-11-12,109.16,109.56,108.12,108.21,17859900,108.21
2009-11-11,109.49,109.71,109.00,109.60,17670800,109.60
2009-11-10,108.03,108.78,107.70,108.39,15973300,108.39
2009-11-09,108.69,108.75,107.91,108.19,18444800,108.19
2009-11-06,107.38,108.04,107.06,107.43,14789000,107.43
2009-11-05,106.81,107.20,106.60,106.98,10189000,106.98
2009-11-04,107.11,107.68,106.43,107.10,27197500,107.10
2009-11-03,103.74,106.70,103.72,106.46,33610400,106.46
2009-11-02,103.50,104.25,103.25,103.95,15440900,103.95
2009-10-30,102.33,102.66,101.48,102.53,15244500,102.53
2009-10-29,101.72,102.76,101.50,102.69,15322600,102.69
2009-10-28,101.50,102.03,100.65,100.73,19344900,100.73
2009-10-27,101.89,102.06,101.22,101.85,18398400,101.85
2009-10-26,103.41,103.97,101.74,101.86,21519400,101.86
2009-10-23,104.50,104.58,102.96,103.49,11423000,103.49
2009-10-22,103.46,104.09,103.10,103.92,11575600,103.92
2009-10-21,103.38,104.46,103.24,103.75,16004800,103.75
2009-10-20,104.34,104.35,102.79,103.42,18250000,103.42
2009-10-19,103.16,104.26,102.75,104.23,13936600,104.23
2009-10-16,102.70,103.68,102.53,103.18,14320600,103.18
2009-10-15,103.27,103.95,102.60,102.86,15781300,102.86
2009-10-14,104.29,104.70,103.76,104.18,17871100,104.18
2009-10-13,103.70,104.50,103.46,104.26,17358800,104.26
2009-10-12,103.39,103.92,103.22,103.56,9179000,103.56
2009-10-09,103.06,103.25,102.37,102.84,15177500,102.84
2009-10-08,102.62,104.15,102.30,103.64,24250200,103.64
2009-10-07,102.29,102.52,101.83,102.36,16194200,102.36
2009-10-06,101.33,102.42,100.54,102.28,33537500,102.28
2009-10-05,98.48,99.84,98.36,99.82,11709400,99.82
2009-10-02,97.84,98.86,97.74,98.37,10475800,98.37
2009-10-01,98.84,98.86,97.88,97.89,11049400,97.89
2009-09-30,98.31,99.06,97.56,98.85,18664200,98.85
2009-09-29,97.19,97.73,96.95,97.43,9262100,97.43
2009-09-28,97.21,97.81,97.00,97.05,7791200,97.05
2009-09-25,97.07,97.50,96.77,97.00,10724500,97.00
2009-09-24,99.36,99.44,97.14,97.55,23350200,97.55
2009-09-23,99.16,99.89,98.68,98.83,14688000,98.83
2009-09-22,99.84,99.84,99.37,99.67,10879500,99.67
2009-09-21,97.95,98.62,97.73,98.36,11113200,98.36
2009-09-18,99.73,99.87,98.67,98.67,13937800,98.67
2009-09-17,99.66,100.08,99.04,99.34,12493600,99.34
2009-09-16,100.01,100.02,99.50,99.91,16588200,99.91
2009-09-15,97.75,99.10,97.56,98.90,16247000,98.90
2009-09-14,98.16,98.43,97.73,97.96,9631500,97.96
2009-09-11,98.96,99.33,98.27,98.78,19499400,98.78
2009-09-10,97.03,98.03,96.88,97.70,12249000,97.70
2009-09-09,97.98,98.36,96.85,97.08,20439900,97.08
2009-09-08,98.57,98.64,97.39,97.43,22938800,97.43
2009-09-04,97.14,97.83,96.00,97.53,14911000,97.53
2009-09-03,96.52,97.94,96.20,97.46,26443600,97.46
2009-09-02,94.70,96.26,94.57,96.19,27673700,96.19
2009-09-01,93.41,93.96,93.06,93.90,8002400,93.90
2009-08-31,93.14,93.50,92.92,93.40,4952900,93.40
2009-08-28,94.07,94.15,93.63,93.87,6757700,93.87
2009-08-27,92.80,93.31,92.38,93.19,6870300,93.19
