Date,Open,High,Low,Close,Volume,Adj Close
2011-01-03,15.18,15.43,15.04,15.31,245000,14.61
2011-01-04,15.34,15.34,14.77,15.12,214200,14.43
2011-01-05,15.04,15.37,14.95,15.35,137300,14.65
2011-01-06,15.41,15.81,15.41,15.7,283000,14.98
2011-01-07,15.79,16.11,15.69,15.92,281700,15.19
2011-01-10,15.92,16.49,15.9,16.16,344500,15.42
2011-01-11,16.22,16.26,16,16.12,231200,15.38
2011-01-12,16.28,16.36,16.13,16.22,183200,15.48
2011-01-13,16.15,16.34,15.94,16.28,242600,15.54
2011-01-14,16.2,16.5,16.08,16.45,166600,15.7
2011-01-18,16.55,17.28,16.55,17.04,453200,16.26
2011-01-19,17.11,17.21,16.77,16.88,325600,16.11
2011-01-20,16.78,16.88,16.52,16.66,274400,15.9
2011-01-21,16.79,17.14,16.73,17.05,277000,16.27
2011-01-24,17.14,17.19,16.87,16.96,185100,16.19
2011-01-25,16.86,17.57,16.7,17.27,408600,16.48
2011-01-26,17.37,17.73,17.21,17.42,344800,16.63
2011-01-27,17.51,17.57,17.21,17.31,178600,16.52
2011-01-28,17.33,17.42,16.85,16.89,311400,16.12
2011-01-31,17.17,17.71,17.17,17.45,417900,16.65
2011-02-01,17.84,18.08,17.44,18.02,414800,17.2
2011-02-02,18,18,17.61,17.65,259300,16.84
2011-02-03,17.65,17.77,17.5,17.6,311100,16.8
2011-02-04,17.56,17.95,17.46,17.87,273500,17.05
2011-02-07,17.93,18.42,17.93,18.39,267900,17.55
2011-02-08,18.4,18.5,17.92,18.41,172300,17.57
2011-02-09,18.08,18.42,18,18.41,247700,17.57
2011-02-10,18.33,18.35,18,18.34,240400,17.5
2011-02-11,18.18,18.67,18.13,18.67,198500,17.82
2011-02-14,18.53,19,18.52,18.98,245900,18.11
2011-02-15,18.97,19.1,18.58,18.83,262000,17.97
2011-02-16,18.88,19.26,18.75,19.24,242500,18.36
2011-02-17,19.21,19.47,19.12,19.34,256600,18.46
2011-02-18,19.39,19.39,18.83,18.95,313300,18.09
2011-02-22,18.78,18.8,18.12,18.26,337300,17.43
2011-02-23,18.33,18.69,18.1,18.48,249900,17.64
2011-02-24,18.53,18.6,18.2,18.26,206300,17.43
2011-02-25,18.29,19.05,18.29,18.99,291800,18.12
2011-02-28,19.23,19.39,18.86,19.06,276300,18.19
2011-03-01,18.82,19.08,18.5,18.93,321900,18.07
2011-03-02,18.89,19.11,18.61,19,490800,18.13
2011-03-03,19.14,19.74,18.94,19.41,399000,18.52
2011-03-04,19.4,19.65,19.27,19.58,287300,18.69
2011-03-07,19.6,19.73,19.24,19.34,312600,18.46
2011-03-08,19.31,19.68,19.14,19.42,203200,18.53
2011-03-09,19.15,19.21,18.5,18.5,318500,17.93
2011-03-10,18.2,18.3,17.42,17.82,466700,17.27
2011-03-11,17.82,19.52,17.5,18.64,796300,18.07
2011-03-14,19.2,20.53,19.2,20.32,2037500,19.7
2011-03-15,20.05,21.45,19.94,21.31,1880700,20.66
2011-03-16,22.67,22.67,21.65,21.84,2307600,21.17
2011-03-17,22.57,24.09,22.32,23.96,2841100,23.23
2011-03-18,24,24,22,22.96,2061600,22.26
2011-03-21,23.16,23.93,23.04,23.51,1172100,22.79
2011-03-22,23.91,24.87,23.77,24.15,1530500,23.41
2011-03-23,24.1,24.45,23.45,24.01,1034500,23.27
2011-03-24,24.11,24.45,23.78,24.24,543800,23.5
2011-03-25,24.45,25.12,24.45,24.79,826400,24.03
2011-03-28,24.99,24.99,24.38,24.75,643200,23.99
2011-03-29,24.66,24.66,24.1,24.31,565200,23.56
2011-03-30,23.3,24.53,22.47,24.23,1856500,23.49
2011-03-31,24.94,25.96,24.75,25.58,1198600,24.8
2011-04-01,26.87,27.09,26.01,26.23,1126000,25.43
2011-04-04,26.67,28.92,26.55,28.53,1437300,27.66
2011-04-05,28.29,28.88,27.82,28.3,922200,27.43
2011-04-06,29.73,29.73,27.34,28.43,1040400,27.56
2011-04-07,28.09,28.19,27.51,28.12,794600,27.26
2011-04-08,28.92,28.95,26.65,26.95,869200,26.12
2011-04-11,27.4,27.9,26.93,27.2,536200,26.37
2011-04-12,27.73,27.8,26.16,26.8,503500,25.98
2011-04-13,27.74,27.78,26.38,26.79,333100,25.97
2011-04-14,26.45,26.68,26.16,26.47,530900,25.66
2011-04-15,26.5,27.67,26.23,27.64,631600,26.79
2011-04-18,26.63,26.63,25.31,25.71,727400,24.92
2011-04-19,26.27,26.82,25.89,26.27,403700,25.46
2011-04-20,27.28,31.23,27.28,30.5,1954200,29.57
2011-04-21,31,31,29.33,30.3,704800,29.37
2011-04-25,30.62,31.62,30.3,30.62,454900,29.68
2011-04-26,30.83,31.4,30.42,31.2,505500,30.24
2011-04-27,31.04,31.42,30.77,31.11,493500,30.16
2011-04-28,32.29,32.85,31.47,32.03,731300,31.05
2011-04-29,32.02,32.99,31.49,32.56,587000,31.56
2011-05-02,32.63,32.71,31.65,31.74,414900,30.77
2011-05-03,31.6,31.84,29.72,30.42,686100,29.49
2011-05-04,30.06,30.18,28.33,28.93,663100,28.04
2011-05-05,28.8,29.99,28.75,29.11,396700,28.22
2011-05-06,28.96,30.05,28.74,28.94,559000,28.05
2011-05-09,29.22,30.01,29.12,29.82,354000,28.91
2011-05-10,29.88,30.15,29.54,30.05,315400,29.13
2011-05-11,30.44,30.44,28.12,28.44,438900,27.57
2011-05-12,28.14,28.2,27.1,27.79,573000,26.94
2011-05-13,27.82,28.47,26.63,27.19,569400,26.36
2011-05-16,27.16,29.17,27.04,28.2,603000,27.34
2011-05-17,28.04,28.6,26.64,26.96,704900,26.13
2011-05-18,28.2,29.16,27.75,29.03,661700,28.14
2011-05-19,29.73,29.75,28.52,29.11,440200,28.22
2011-05-20,29.06,30.39,28.43,29.46,931200,28.56
2011-05-23,28.54,28.97,27.83,28.81,505700,27.93
2011-05-24,28.86,30.11,28.76,29.54,704400,28.63
2011-05-25,31.19,31.38,29.41,31.19,797700,30.23
2011-05-26,31.6,31.74,31,31.31,490400,30.35
2011-05-27,31.9,32.78,31.55,32.26,741000,31.27
2011-05-31,33.47,34.15,31.65,31.86,1351800,30.88
2011-06-01,33.86,34.75,33.13,33.31,1633600,32.29
2011-06-02,33.37,33.49,32.27,33.05,740900,32.04
2011-06-03,33.17,33.71,32.38,32.56,534300,31.56
2011-06-06,32.71,32.75,30.53,31,726400,30.05
2011-06-07,31.52,33.2,31.02,32.19,595500,31.2
2011-06-08,31.55,31.71,30.3,30.5,651300,29.8
2011-06-09,30.56,31.52,30.34,31.1,459200,30.38
2011-06-10,30.56,31.1,30.16,30.87,465000,30.16
2011-06-13,30.26,31.21,29.42,30.26,583600,29.56
2011-06-14,30.27,31.4,30.24,31.12,465200,30.4
2011-06-15,30.4,31.14,30.09,30.46,527000,29.76
