Date,Open,High,Low,Close,Volume,Adj Close
2011-01-03,4.34,4.48,4.33,4.41,175500,4.41
2011-01-04,4.45,4.47,4.25,4.38,172200,4.38
2011-01-05,4.35,4.49,4.33,4.48,75500,4.48
2011-01-06,4.46,4.46,4.14,4.33,502900,4.33
2011-01-07,4.35,4.46,4.33,4.42,86400,4.42
2011-01-10,4.45,4.54,4.42,4.43,110400,4.43
2011-01-11,4.49,4.58,4.43,4.56,105800,4.56
2011-01-12,4.64,4.7,4.48,4.48,104300,4.48
2011-01-13,4.5,4.65,4.5,4.6,244600,4.6
2011-01-14,4.67,4.99,4.67,4.95,393200,4.95
2011-01-18,5.01,5.02,4.75,4.92,266700,4.92
2011-01-19,4.9,4.95,4.75,4.76,2978300,4.76
2011-01-20,4.79,4.79,4.53,4.72,139700,4.72
2011-01-21,4.78,4.82,4.7,4.75,61100,4.75
2011-01-24,4.75,4.9,4.7,4.79,92700,4.79
2011-01-25,4.76,4.8,4.72,4.74,67200,4.74
2011-01-26,4.77,4.89,4.72,4.86,51900,4.86
2011-01-27,4.89,5.15,4.88,5.15,261100,5.15
2011-01-28,5.18,5.31,5.15,5.3,360100,5.3
2011-01-31,5.3,5.6,5.3,5.56,712100,5.56
2011-02-01,6.56,7.6,6.56,7.5,4090100,7.5
2011-02-02,7.5,7.5,7.25,7.41,851800,7.41
2011-02-03,7.45,7.45,7.13,7.3,458600,7.3
2011-02-04,7.37,7.38,7.13,7.13,357700,7.13
2011-02-07,7.13,7.25,7.06,7.18,357600,7.18
2011-02-08,7.15,7.15,6.95,7.09,342200,7.09
2011-02-09,7.05,7.13,7.01,7.13,294700,7.13
2011-02-10,7.08,7.95,7.02,7.92,1491500,7.92
2011-02-11,8,8.36,7.75,8.3,736200,8.3
2011-02-14,8.38,8.62,8.07,8.24,666400,8.24
2011-02-15,8.2,8.25,8.02,8.09,239100,8.09
2011-02-16,8.11,8.3,8.06,8.22,337600,8.22
2011-02-17,8.21,8.5,8.05,8.39,409100,8.39
2011-02-18,8.5,8.6,8.3,8.58,440600,8.58
2011-02-22,8.3,8.51,8.1,8.27,512000,8.27
2011-02-23,8.27,8.27,7.62,7.8,510400,7.8
2011-02-24,7.53,7.78,7.42,7.72,386200,7.72
2011-02-25,7.88,8.5,7.85,8.5,500000,8.5
2011-02-28,8.52,9.21,8.51,9.08,799800,9.08
2011-03-01,9.18,9.2,8.7,8.76,375600,8.76
2011-03-02,8.84,9.16,8.74,9.16,260000,9.16
2011-03-03,9.26,9.5,8.98,9,608400,9
2011-03-04,9,9.32,8.78,8.86,480700,8.86
2011-03-07,8.95,8.95,8.21,8.36,403200,8.36
2011-03-08,8.4,8.85,8.4,8.66,275300,8.66
2011-03-09,8.59,8.72,8.29,8.29,173600,8.29
2011-03-10,8.21,8.28,7.7,7.83,399900,7.83
2011-03-11,7.83,8.28,7.73,8,386900,8
2011-03-14,7.89,7.99,7.75,7.91,133100,7.91
2011-03-15,7.6,7.66,7.35,7.49,321700,7.49
2011-03-16,7.46,7.72,7.1,7.33,382200,7.33
2011-03-17,7.43,7.51,7.23,7.26,183800,7.26
2011-03-18,7.47,7.6,7.31,7.55,207700,7.55
2011-03-21,7.64,7.83,7.64,7.83,202200,7.83
2011-03-22,7.86,7.86,7.5,7.51,183400,7.51
2011-03-23,7.5,8,7.4,7.8,321300,7.8
2011-03-24,7.95,7.99,7.61,7.97,249300,7.97
2011-03-25,8.05,8.29,7.89,7.94,162600,7.94
2011-03-28,7.98,8.04,7.9,7.95,68000,7.95
2011-03-29,7.95,7.97,7.76,7.84,117700,7.84
2011-03-30,7.89,8.2,7.89,8.14,145700,8.14
2011-03-31,8.2,8.2,8.06,8.08,85900,8.08
2011-04-01,8.1,8.35,8,8.05,179000,8.05
2011-04-04,8.1,8.22,7.99,8.05,113300,8.05
2011-04-05,8.05,8.12,7.9,7.91,83500,7.91
2011-04-06,8.5,9.7,8.5,9.42,1784200,9.42
2011-04-07,9.31,9.58,9.14,9.29,418200,9.29
2011-04-08,9.29,9.3,9.02,9.09,279600,9.09
2011-04-11,8.82,9.84,8.81,9.81,1404200,9.81
2011-04-12,9.46,9.72,9.22,9.24,656400,9.24
2011-04-13,9.31,9.4,9,9.07,293200,9.07
2011-04-14,9,9.14,8.89,8.98,199500,8.98
2011-04-15,9,9.24,8.82,9.11,255000,9.11
2011-04-18,9.05,9.11,8.6,8.88,362600,8.88
2011-04-19,8.87,8.96,8.6,8.95,318600,8.95
2011-04-20,9.2,10.23,9.15,10.13,1768300,10.13
2011-04-21,10.11,10.2,9.81,9.95,442700,9.95
2011-04-25,10.05,11.1,9.94,11.1,1189600,11.1
2011-04-26,11.31,12.09,11.28,11.74,1700000,11.74
2011-04-27,11.73,11.93,11.2,11.41,731100,11.41
2011-04-28,11.34,11.59,11.04,11.16,568000,11.16
2011-04-29,12.81,13.09,11.67,12.18,2044000,12.18
2011-05-02,12.28,12.38,11.75,11.91,614900,11.91
2011-05-03,11.8,11.91,11.41,11.78,387600,11.78
2011-05-04,11.74,11.77,11.31,11.55,407400,11.55
2011-05-05,11.38,12.23,11.31,12,509800,12
2011-05-06,12.1,12.48,12.06,12.31,574700,12.31
2011-05-09,12.29,13,12.18,12.89,851000,12.89
2011-05-10,12.95,13.29,12.93,13.04,672100,13.04
2011-05-11,13.02,13.09,12.66,12.89,396200,12.89
2011-05-12,12.8,12.89,12.6,12.75,334000,12.75
2011-05-13,12.75,13.44,12.61,13.05,694500,13.05
2011-05-16,13.02,13.2,12.08,12.15,766700,12.15
2011-05-17,11.95,11.98,11.57,11.7,788800,11.7
2011-05-18,11.7,12.55,11.6,12.49,1123700,12.49
2011-05-19,12.59,12.6,12.13,12.35,437900,12.35
2011-05-20,12.23,12.41,12.13,12.17,219700,12.17
2011-05-23,11.95,11.95,11.61,11.62,507000,11.62
2011-05-24,11.67,12.2,11.67,12.05,406500,12.05
2011-05-25,11.96,12.29,11.9,12,306500,12
2011-05-26,12.05,12.2,11.85,12.15,279600,12.15
2011-05-27,12.27,12.99,12.25,12.42,809400,12.42
2011-05-31,12.69,12.84,12.1,12.2,521400,12.2
2011-06-01,12.21,12.32,11.63,11.68,728900,11.68
2011-06-02,11.75,11.99,11.62,11.67,342900,11.67
2011-06-03,11.46,11.68,11.05,11.17,490300,11.17
2011-06-06,11.07,11.35,10.75,10.81,349200,10.81
2011-06-07,11.01,11.1,10.63,10.69,355300,10.69
2011-06-08,10.3,10.55,10.12,10.15,539900,10.15
2011-06-09,10.17,10.65,10.17,10.52,253500,10.52
2011-06-10,10.4,10.59,10,10.06,272700,10.06
2011-06-13,10.12,10.2,9.91,10.01,184200,10.01
2011-06-14,10.19,10.66,10.14,10.58,319200,10.58
2011-06-15,10.31,10.53,10.19,10.21,313200,10.21
2011-06-16,10.22,10.56,10.1,10.28,320800,10.28
2011-06-17,10.43,10.43,9.51,9.53,580800,9.53
2011-06-20,9.34,9.71,9.25,9.66,432600,9.66
2011-06-21,9.8,10.48,9.74,10.45,219300,10.45
2011-06-22,10.38,10.85,10.33,10.64,436200,10.64
2011-06-23,10.36,10.62,10.04,10.61,352000,10.61
2011-06-24,10.61,10.84,10.1,10.3,284600,10.3
2011-06-27,10.48,10.59,10.05,10.2,142000,10.2
2011-06-28,10.3,10.59,10.29,10.47,230800,10.47
2011-06-29,10.5,10.6,10.1,10.2,247700,10.2
2011-06-30,10.25,10.84,10.25,10.72,344100,10.72
2011-07-01,10.82,11.63,10.73,10.88,475800,10.88
2011-07-05,10.91,11.2,10.65,10.75,228900,10.75
2011-07-06,10.71,10.9,10.32,10.51,183500,10.51
2011-07-07,10.68,10.86,10.46,10.48,273900,10.48
2011-07-08,10.37,10.47,10.12,10.3,184100,10.3
2011-07-11,10.12,10.2,9.86,9.86,205200,9.86
2011-07-12,9.8,9.86,9.47,9.63,433700,9.63
2011-07-13,9.72,9.88,9.6,9.71,327300,9.71
2011-07-14,9.71,9.87,9.46,9.5,135500,9.5
2011-07-15,9.59,9.79,9.35,9.68,157500,9.68
2011-07-18,9.65,9.7,9.36,9.61,233900,9.61
2011-07-19,9.7,10.39,9.7,10.31,457600,10.31
2011-07-20,10.43,10.68,10.32,10.63,275800,10.63
2011-07-21,10.65,10.88,10.48,10.61,228100,10.61
2011-07-22,10.68,11.5,10.68,11.5,461300,11.5
2011-07-25,11.39,11.6,11.26,11.41,333300,11.41
2011-07-26,11.41,11.67,11.41,11.52,237200,11.52
