Date,Open,High,Low,Close,Volume,TradeCount,VWAP
2012-06-27 10:10:00,132.07,132.07,132.07,132.07,9,1,132.07
2012-06-27 10:15:00,132.09,132.09,132.09,132.09,1,1,132.09
2012-06-27 10:20:00,132.09,132.09,132.09,132.09,0,0,132.09
2012-06-27 10:25:00,132.09,132.09,132.09,132.09,0,0,132.09
2012-06-27 10:30:00,132.09,132.09,132.09,132.09,0,0,132.09
2012-06-27 10:35:00,132.09,132.09,132.09,132.09,0,0,132.09
2012-06-27 10:40:00,132.09,132.09,132.09,132.09,0,0,132.09
2012-06-27 10:45:00,132.09,132.09,132.09,132.09,0,0,132.09
2012-06-27 10:50:00,132.09,132.09,132.09,132.09,0,0,132.09
2012-06-27 10:55:00,132.09,132.09,132.09,132.09,0,0,132.09
2012-06-27 11:00:00,132.09,132.09,132.09,132.09,0,0,132.09
2012-06-27 11:05:00,132.09,132.09,132.09,132.09,0,0,132.09
2012-06-27 11:10:00,132.09,132.09,132.09,132.09,0,0,132.09
2012-06-27 11:15:00,132.11,132.11,132.11,132.11,5,2,132.11
2012-06-27 11:20:00,132.11,132.11,132.11,132.11,0,0,132.11
2012-06-27 11:25:00,132.11,132.11,132.11,132.11,0,0,132.11
2012-06-27 11:30:00,132.11,132.11,132.11,132.11,0,0,132.11
2012-06-27 11:35:00,132.14,132.15,132.14,132.15,2,2,132.145
2012-06-27 11:40:00,132.03,132.03,132.03,132.03,20,1,132.03
2012-06-27 11:45:00,132.07,132.1,132.07,132.1,4,2,132.085
2012-06-27 11:50:00,132.1,132.1,132.1,132.1,0,0,132.1
2012-06-27 11:55:00,132.1,132.1,132.1,132.1,0,0,132.1
2012-06-27 12:00:00,132.1,132.1,132.1,132.1,0,0,132.1
2012-06-27 12:05:00,132.24,132.25,132.24,132.25,4,2,132.245
2012-06-27 12:10:00,132.25,132.25,132.25,132.25,0,0,132.25
2012-06-27 12:15:00,132.18,132.18,132.14,132.14,20,2,132.176
2012-06-27 12:20:00,132.14,132.14,132.14,132.14,0,0,132.14
2012-06-27 12:25:00,132.14,132.14,132.14,132.14,2,1,132.14
2012-06-27 12:30:00,132.14,132.14,132.14,132.14,0,0,132.14
2012-06-27 12:35:00,132.11,132.11,132.11,132.11,25,3,132.11
2012-06-27 12:40:00,132.21,132.27,132.2,132.27,119,8,132.23
2012-06-27 12:45:00,132.26,132.35,132.26,132.33,62,5,132.329
2012-06-27 12:50:00,132.35,132.35,132.27,132.27,121,6,132.319
2012-06-27 12:55:00,132.25,132.28,132.23,132.23,300,7,132.253
2012-06-27 13:00:00,132.28,132.43,132.28,132.36,275,41,132.385
2012-06-27 13:05:00,132.36,132.37,132.33,132.37,23,8,132.358
2012-06-27 13:10:00,132.36,132.36,132.35,132.35,60,5,132.352
2012-06-27 13:15:00,132.34,132.34,132.26,132.26,207,14,132.287
2012-06-27 13:20:00,132.28,132.28,132.26,132.26,186,11,132.277
2012-06-27 13:25:00,132.26,132.3,132.26,132.26,23,4,132.279
2012-06-27 13:30:00,132.3,132.39,132.3,132.39,279,24,132.33
2012-06-27 13:35:00,132.33,132.34,132.3,132.33,94,13,132.33
2012-06-27 13:40:00,132.3,132.3,132.29,132.29,6,4,132.293
2012-06-27 13:45:00,132.29,132.31,132.28,132.3,63,10,132.282
2012-06-27 13:50:00,132.31,132.36,132.31,132.34,30,9,132.352
2012-06-27 13:55:00,132.36,132.41,132.33,132.41,237,24,132.39
2012-06-27 14:00:00,132.39,132.42,132.36,132.39,978,67,132.385
2012-06-27 14:05:00,132.38,132.51,132.36,132.5,300,69,132.446
2012-06-27 14:10:00,132.48,132.5,132.38,132.39,258,47,132.447
2012-06-27 14:15:00,132.38,132.38,132.29,132.34,519,91,132.341
2012-06-27 14:20:00,132.34,132.35,132.29,132.3,156,43,132.312
2012-06-27 14:25:00,132.3,132.33,132.23,132.27,264,67,132.288
2012-06-27 14:30:00,132.28,132.44,132.26,132.34,1421,363,132.361
2012-06-27 14:35:00,132.36,132.42,132.34,132.41,862,215,132.39
2012-06-27 14:40:00,132.38,132.41,132.23,132.23,1043,277,132.324
2012-06-27 14:45:00,132.25,132.25,132.12,132.17,1690,338,132.176
2012-06-27 14:50:00,132.17,132.21,132.12,132.13,2740,344,132.162
2012-06-27 14:55:00,132.14,132.2,132.12,132.19,942,259,132.154
2012-06-27 15:00:00,132.18,132.19,132.14,132.17,381,139,132.159
2012-06-27 15:05:00,132.16,132.21,132.09,132.1,812,227,132.125
2012-06-27 15:10:00,132.1,132.19,132.1,132.16,1532,316,132.167
2012-06-27 15:15:00,132.16,132.19,132.11,132.18,519,178,132.147
2012-06-27 15:20:00,132.2,132.3,132.19,132.27,2689,522,132.24
2012-06-27 15:25:00,132.27,132.43,132.26,132.42,10028,447,132.388
2012-06-27 15:30:00,132.42,132.62,132.4,132.56,29571,8187,132.532
2012-06-27 15:35:00,132.56,132.74,132.54,132.64,24088,6751,132.639
2012-06-27 15:40:00,132.63,132.69,132.43,132.59,19206,5495,132.538
2012-06-27 15:45:00,132.59,132.6,132.34,132.41,22087,5740,132.42
2012-06-27 15:50:00,132.41,132.51,132.31,132.5,15624,4192,132.415
2012-06-27 15:55:00,132.5,132.67,132.42,132.63,20500,6155,132.548
2012-06-27 16:00:00,132.62,132.79,132.5,132.77,25119,7466,132.639
2012-06-27 16:05:00,132.77,133.01,132.76,132.96,29550,7507,132.913
2012-06-27 16:10:00,132.95,133.17,132.95,133.1,30296,7602,133.119
2012-06-27 16:15:00,133.09,133.18,132.98,133.09,18883,5014,133.05
2012-06-27 16:20:00,133.08,133.15,132.98,133.0,11288,3299,133.066
