Date,Open,High,Low,Close,Volume,TradeCount,WAP,HasGaps
20120628  10:00:00,132.66,132.66,132.53,132.53,6,2,132.552,False
20120628  10:05:00,132.53,132.53,132.53,132.53,0,0,132.53,False
20120628  10:10:00,132.53,132.53,132.53,132.53,0,0,132.53,False
20120628  10:15:00,132.5,132.5,132.33,132.33,31,6,132.447,False
20120628  10:20:00,132.29,132.29,132.29,132.29,5,1,132.29,False
20120628  10:25:00,132.35,132.35,132.35,132.35,50,1,132.35,False
20120628  10:30:00,132.35,132.35,132.35,132.35,0,0,132.35,False
20120628  10:35:00,132.3,132.3,132.3,132.3,2,1,132.3,False
20120628  10:40:00,132.24,132.27,132.24,132.27,3,2,132.26,False
20120628  10:45:00,132.27,132.27,132.27,132.27,0,0,132.27,False
20120628  10:50:00,132.39,132.39,132.39,132.39,10,1,132.39,False
20120628  10:55:00,132.4,132.4,132.4,132.4,2,1,132.4,False
20120628  11:00:00,132.4,132.47,132.4,132.47,8,4,132.425,False
20120628  11:05:00,132.47,132.47,132.47,132.47,0,0,132.47,False
20120628  11:10:00,132.47,132.47,132.47,132.47,0,0,132.47,False
20120628  11:15:00,132.58,132.58,132.58,132.58,10,2,132.58,False
20120628  11:20:00,132.47,132.47,132.47,132.47,3,1,132.47,False
20120628  11:25:00,132.5,132.5,132.5,132.5,5,1,132.5,False
20120628  11:30:00,132.5,132.5,132.5,132.5,0,0,132.5,False
20120628  11:35:00,132.5,132.5,132.5,132.5,0,0,132.5,False
20120628  11:40:00,132.39,132.4,132.39,132.4,200,2,132.4,False
20120628  11:45:00,132.35,132.35,132.35,132.35,10,1,132.35,False
20120628  11:50:00,132.31,132.31,132.31,132.31,2,2,132.31,False
20120628  11:55:00,132.23,132.33,132.23,132.28,35,4,132.247,False
20120628  12:00:00,132.15,132.21,132.15,132.21,21,2,132.153,False
20120628  12:05:00,132.23,132.28,132.23,132.28,5,4,132.242,False
20120628  12:10:00,132.33,132.47,132.33,132.47,53,9,132.413,False
20120628  12:15:00,132.4,132.4,132.34,132.34,50,8,132.377,False
20120628  12:20:00,132.38,132.38,132.38,132.38,7,1,132.38,False
20120628  12:25:00,132.43,132.54,132.43,132.54,41,11,132.47,False
20120628  12:30:00,132.55,132.59,132.55,132.55,25,10,132.58,False
20120628  12:35:00,132.51,132.51,132.47,132.47,153,5,132.499,False
20120628  12:40:00,132.48,132.51,132.48,132.5,289,18,132.485,False
20120628  12:45:00,132.51,132.51,132.46,132.46,77,5,132.498,False
20120628  12:50:00,132.47,132.49,132.45,132.45,361,14,132.456,False
20120628  12:55:00,132.49,132.5,132.49,132.5,11,4,132.495,False
20120628  13:00:00,132.48,132.54,132.44,132.52,92,20,132.518,False
20120628  13:05:00,132.54,132.63,132.5,132.57,596,47,132.573,False
20120628  13:10:00,132.56,132.6,132.53,132.57,787,37,132.593,False
20120628  13:15:00,132.56,132.82,132.5,132.8,1956,144,132.691,False
20120628  13:20:00,132.82,133.09,132.75,132.85,732,109,132.888,False
20120628  13:25:00,132.82,132.85,132.72,132.72,698,55,132.793,False
20120628  13:30:00,132.75,132.82,132.7,132.78,163,23,132.742,False
20120628  13:35:00,132.81,132.81,132.65,132.7,434,24,132.691,False
20120628  13:40:00,132.69,132.74,132.68,132.72,358,32,132.705,False
20120628  13:45:00,132.74,132.83,132.54,132.58,1403,162,132.626,False
20120628  13:50:00,132.57,132.62,132.35,132.37,1753,222,132.45,False
20120628  13:55:00,132.39,132.49,132.38,132.45,1372,85,132.415,False
20120628  14:00:00,132.45,132.75,132.33,132.43,3656,244,132.514,False
20120628  14:05:00,132.48,132.49,132.39,132.4,326,116,132.407,False
20120628  14:10:00,132.4,132.43,132.32,132.39,2234,312,132.353,False
20120628  14:15:00,132.38,132.42,132.27,132.39,1215,247,132.352,False
20120628  14:20:00,132.37,132.39,132.33,132.33,244,92,132.35,False
20120628  14:25:00,132.31,132.38,132.27,132.3,2196,254,132.34,False
20120628  14:30:00,132.27,132.56,132.27,132.52,2369,385,132.438,False
20120628  14:35:00,132.52,132.54,132.43,132.47,632,156,132.508,False
20120628  14:40:00,132.46,132.5,132.43,132.46,973,258,132.448,False
20120628  14:45:00,132.47,132.53,132.46,132.49,1163,343,132.496,False
20120628  14:50:00,132.48,132.49,132.37,132.39,1428,310,132.434,False
20120628  14:55:00,132.39,133.17,132.37,132.38,1617,362,132.514,False
20120628  15:00:00,132.38,132.4,132.29,132.29,1222,256,132.327,False
20120628  15:05:00,132.29,133.17,132.2,132.28,2353,501,132.373,False
20120628  15:10:00,132.27,132.32,132.22,132.27,1206,334,132.271,False
20120628  15:15:00,132.28,132.52,132.23,132.32,6127,1473,132.413,False
20120628  15:20:00,132.31,132.36,132.27,132.3,1880,420,132.313,False
20120628  15:25:00,132.28,132.3,132.24,132.3,5258,798,132.277,False
20120628  15:30:00,132.29,132.36,132.02,132.09,45737,13502,132.186,False
20120628  15:35:00,132.09,132.26,132.08,132.17,27805,8407,132.166,False
20120628  15:40:00,132.16,132.29,132.1,132.16,17712,4959,132.208,False
20120628  15:45:00,132.17,132.35,132.14,132.28,18541,5643,132.279,False
20120628  15:50:00,132.28,132.42,132.23,132.36,17373,5257,132.357,False
20120628  15:55:00,132.36,132.4,132.22,132.32,16392,5032,132.305,False
20120628  16:00:00,132.31,132.45,132.25,132.38,20183,5617,132.352,False
20120628  16:05:00,132.39,132.42,131.81,132.07,82102,19820,131.986,False
20120628  16:10:00,132.05,132.33,132.0,132.11,43529,11830,132.196,False
20120628  16:15:00,132.1,132.35,132.0,132.33,27683,7180,132.173,False
20120628  16:20:00,132.34,132.47,132.29,132.34,19318,5868,132.377,False
20120628  16:25:00,132.34,132.34,132.0,132.03,19990,5652,132.121,False
20120628  16:30:00,132.03,132.03,131.86,131.89,24166,5989,131.915,False
20120628  16:35:00,131.89,131.89,131.49,131.58,36625,10437,131.654,False
20120628  16:40:00,131.59,131.59,131.41,131.5,28676,8043,131.493,False
20120628  16:45:00,131.5,131.61,131.42,131.5,24839,6510,131.512,False
20120628  16:50:00,131.5,131.6,131.44,131.47,14526,4405,131.525,False
20120628  16:55:00,131.48,131.58,131.41,131.56,13817,3789,131.487,False
20120628  17:00:00,131.57,131.58,131.42,131.5,14823,4002,131.495,False
20120628  17:05:00,131.51,131.66,131.5,131.63,20305,5040,131.605,False
20120628  17:10:00,131.63,131.67,131.54,131.64,16759,4634,131.607,False
20120628  17:15:00,131.64,131.71,131.56,131.68,17700,3945,131.649,False
20120628  17:20:00,131.67,131.77,131.66,131.76,12322,2893,131.723,False
20120628  17:25:00,131.75,131.88,131.73,131.85,16284,4276,131.817,False
20120628  17:30:00,131.85,131.97,131.84,131.88,20070,4864,131.911,False
20120628  17:35:00,131.88,131.98,131.85,131.92,8228,2367,131.93,False
20120628  17:40:00,131.91,131.93,131.82,131.84,10350,2821,131.863,False
20120628  17:45:00,131.84,131.88,131.81,131.83,6372,1891,131.847,False
20120628  17:50:00,131.83,131.83,131.75,131.78,6137,1699,131.801,False
20120628  17:55:00,131.78,131.86,131.77,131.83,5624,1744,131.825,False
20120628  18:00:00,131.82,131.91,131.82,131.9,7736,1897,131.87,False
20120628  18:05:00,131.9,131.93,131.81,131.9,9188,2393,131.858,False
20120628  18:10:00,131.91,131.95,131.88,131.89,4120,1244,131.916,False
20120628  18:15:00,131.88,131.89,131.76,131.77,9118,2382,131.803,False
20120628  18:20:00,131.77,131.79,131.63,131.71,20712,4384,131.684,False
20120628  18:25:00,131.69,131.77,131.69,131.75,5363,1617,131.737,False
20120628  18:30:00,131.76,131.76,131.66,131.66,5854,2009,131.716,False
20120628  18:35:00,131.66,131.7,131.61,131.69,9760,2600,131.646,False
20120628  18:40:00,131.69,131.75,131.65,131.71,6743,2092,131.706,False
20120628  18:45:00,131.71,131.74,131.63,131.67,8472,2368,131.671,False
20120628  18:50:00,131.67,131.85,131.67,131.84,9497,2861,131.799,False
20120628  18:55:00,131.84,131.85,131.76,131.82,5750,1824,131.817,False
20120628  19:00:00,131.82,131.83,131.68,131.8,12906,3661,131.767,False
20120628  19:05:00,131.79,131.91,131.75,131.84,8136,2330,131.832,False
20120628  19:10:00,131.84,131.9,131.79,131.81,6770,1559,131.824,False
20120628  19:15:00,131.81,131.81,131.71,131.72,7938,2220,131.75,False
20120628  19:20:00,131.72,131.77,131.66,131.67,8161,2222,131.718,False
