Date,Open,High,Low,Close,Volume,Adj Close
2010-12-30,10303.13,10315.47,10209.93,10228.92,107800,10228.92
2010-12-29,10282.84,10344.54,10276.61,10344.54,87600,10344.54
2010-12-28,10330.01,10340.84,10292.63,10292.63,78000,10292.63
2010-12-27,10292.84,10376.91,10292.84,10355.99,83200,10355.99
2010-12-24,10275.97,10290.89,10264.06,10279.19,86200,10279.19
2010-12-22,10348.48,10394.22,10327.60,10346.48,142200,10346.48
2010-12-21,10277.14,10372.51,10266.29,10370.53,113200,10370.53
2010-12-20,10296.55,10301.15,10182.74,10216.41,113600,10216.41
2010-12-17,10307.17,10327.42,10280.80,10303.83,140400,10303.83
2010-12-16,10297.55,10347.39,10282.54,10311.29,140800,10311.29
2010-12-15,10338.14,10340.69,10282.85,10309.78,137400,10309.78
2010-12-14,10272.70,10319.24,10267.22,10316.77,170600,10316.77
2010-12-13,10212.52,10293.89,10199.73,10293.89,145200,10293.89
2010-12-10,10373.70,10373.70,10194.27,10211.95,240600,10211.95
2010-12-09,10277.87,10298.25,10240.11,10285.88,153400,10285.88
2010-12-08,10200.16,10258.90,10184.32,10232.33,126600,10232.33
2010-12-07,10152.92,10167.10,10094.41,10141.10,114800,10141.10
2010-12-06,10175.23,10179.82,10143.58,10167.23,95400,10167.23
2010-12-03,10231.78,10254.00,10154.99,10178.32,107800,10178.32
2010-12-02,10151.15,10187.59,10143.08,10168.52,131400,10168.52
2010-12-01,9939.80,9988.05,9918.55,9988.05,122600,9988.05
2010-11-30,10070.31,10101.42,9937.04,9937.04,153400,9937.04
2010-11-29,10075.66,10149.94,10044.01,10125.99,124800,10125.99
2010-11-26,10078.09,10134.64,10039.56,10039.56,115800,10039.56
2010-11-25,10117.85,10123.27,10038.79,10079.76,133800,10079.76
2010-11-24,9942.54,10064.31,9904.92,10030.11,150200,10030.11
2010-11-22,10133.48,10157.97,10091.99,10115.19,121800,10115.19
2010-11-19,10124.84,10130.23,10019.08,10022.39,160800,10022.39
2010-11-18,9820.60,10013.63,9798.56,10013.63,189000,10013.63
2010-11-17,9693.21,9817.37,9693.21,9811.66,112600,9811.66
2010-11-16,9892.82,9908.30,9774.12,9797.10,133200,9797.10
2010-11-15,9782.11,9830.59,9744.99,9827.51,128600,9827.51
2010-11-12,9810.30,9851.42,9724.81,9724.81,129400,9724.81
2010-11-11,9878.11,9885.37,9834.82,9861.46,139600,9861.46
2010-11-10,9748.61,9842.90,9747.03,9830.52,168800,9830.52
2010-11-09,9667.44,9726.60,9659.86,9694.49,122000,9694.49
2010-11-08,9699.79,9737.01,9677.87,9732.92,118200,9732.92
2010-11-05,9500.60,9680.68,9497.45,9625.99,161000,9625.99
2010-11-04,9282.79,9377.76,9276.71,9358.78,133000,9358.78
2010-11-02,9140.28,9172.03,9123.62,9159.98,115200,9159.98
2010-11-01,9166.85,9258.32,9134.47,9154.72,125400,9154.72
2010-10-29,9327.25,9337.92,9179.15,9202.45,167000,9202.45
2010-10-28,9368.61,9413.68,9350.44,9366.03,146800,9366.03
2010-10-27,9436.01,9453.79,9329.86,9387.03,130200,9387.03
2010-10-26,9386.55,9455.04,9362.13,9377.38,107400,9377.38
2010-10-25,9424.44,9460.70,9392.68,9401.16,98000,9401.16
2010-10-22,9404.09,9457.62,9390.14,9426.71,108400,9426.71
2010-10-21,9443.95,9479.25,9326.78,9376.48,131400,9376.48
2010-10-20,9399.65,9402.05,9316.97,9381.60,138400,9381.60
2010-10-19,9490.09,9575.14,9489.68,9539.45,118400,9539.45
2010-10-18,9517.68,9564.85,9471.48,9498.49,104800,9498.49
2010-10-15,9551.21,9553.57,9478.64,9500.25,143800,9500.25
2010-10-14,9515.17,9614.44,9481.51,9583.51,171000,9583.51
2010-10-13,9473.78,9510.19,9393.52,9403.51,144000,9403.51
2010-10-12,9648.59,9650.20,9387.73,9388.64,140800,9388.64
2010-10-08,9675.59,9675.59,9588.88,9588.88,148000,9588.88
2010-10-07,9661.09,9716.92,9649.17,9684.81,171200,9684.81
2010-10-06,9588.47,9693.74,9567.00,9691.43,234200,9691.43
2010-10-05,9337.43,9538.35,9332.19,9518.76,193800,9518.76
2010-10-04,9410.92,9508.36,9358.82,9381.06,161200,9381.06
2010-10-01,9440.52,9470.36,9358.62,9404.23,163200,9404.23
2010-09-30,9554.83,9566.84,9369.35,9369.35,145800,9369.35
2010-09-29,9530.05,9600.93,9502.34,9559.38,134600,9559.38
2010-09-28,9547.03,9553.91,9471.35,9495.76,97400,9495.76
2010-09-27,9557.37,9613.47,9539.12,9603.14,122600,9603.14
2010-09-24,9435.04,9601.77,9415.96,9471.67,146600,9471.67
2010-09-22,9563.20,9625.41,9546.82,9566.32,108800,9566.32
2010-09-21,9700.88,9704.25,9579.83,9602.11,109400,9602.11
2010-09-17,9581.65,9643.28,9554.36,9626.09,122800,9626.09
2010-09-16,9613.89,9620.90,9479.63,9509.50,142200,9509.50
2010-09-15,9243.48,9578.53,9199.08,9516.56,187800,9516.56
2010-09-14,9319.50,9330.05,9258.18,9299.31,117400,9299.31
2010-09-13,9325.64,9390.90,9317.30,9321.82,108600,9321.82
2010-09-10,9132.25,9291.50,9132.25,9239.17,169800,9239.17
2010-09-09,9120.54,9136.26,9069.93,9098.39,92800,9098.39
2010-09-08,9098.86,9105.89,8997.63,9024.60,107000,9024.60
2010-09-07,9232.02,9311.02,9206.81,9226.00,118000,9226.00
2010-09-06,9199.99,9303.00,9173.38,9301.32,106800,9301.32
2010-09-03,9097.59,9141.09,9050.83,9114.13,102000,9114.13
2010-09-02,9069.62,9083.37,8958.81,9062.84,119200,9062.84
2010-09-01,8833.32,8932.15,8796.45,8927.02,120000,8927.02
2010-08-31,8998.80,9008.36,8819.26,8824.06,121800,8824.06
2010-08-30,9141.45,9280.70,9117.87,9149.26,114400,9149.26
2010-08-27,8811.47,9021.75,8810.46,8991.06,127800,8991.06
2010-08-26,8908.02,8910.62,8834.09,8906.48,104800,8906.48
2010-08-25,8904.44,8949.41,8807.41,8845.39,134000,8845.39
2010-08-24,9024.60,9069.22,8983.52,8995.14,111200,8995.14
2010-08-23,9147.24,9171.42,9090.96,9116.69,93600,9116.69
2010-08-20,9239.36,9287.50,9169.17,9179.38,112000,9179.38
2010-08-19,9242.84,9362.68,9242.84,9362.68,120200,9362.68
2010-08-18,9261.50,9280.59,9153.42,9240.54,118400,9240.54
2010-08-17,9089.85,9188.48,9084.24,9161.68,91400,9161.68
2010-08-16,9145.22,9210.97,9095.94,9196.67,97000,9196.67
2010-08-13,9214.81,9278.46,9163.25,9253.46,121800,9253.46
2010-08-12,9125.49,9212.59,9065.94,9212.59,142400,9212.59
2010-08-11,9423.03,9445.04,9283.60,9292.85,111600,9292.85
2010-08-10,9629.97,9667.04,9505.34,9551.05,107000,9551.05
2010-08-09,9535.51,9572.83,9523.63,9572.49,87800,9572.49
2010-08-06,9560.65,9658.04,9545.41,9642.12,112000,9642.12
2010-08-05,9640.34,9688.87,9578.31,9653.92,128800,9653.92
2010-08-04,9606.82,9613.13,9474.67,9489.34,119400,9489.34
2010-08-03,9716.57,9750.88,9632.86,9694.01,138600,9694.01
2010-08-02,9574.64,9676.41,9548.86,9570.31,135600,9570.31
2010-07-30,9658.61,9658.61,9505.64,9537.30,166200,9537.30
2010-07-29,9653.51,9732.76,9648.97,9696.02,148200,9696.02
2010-07-28,9614.47,9760.31,9614.47,9753.27,148200,9753.27
