Input,Expected
31.48,
31.04,
31.17,
31.03,
31.04,
30.99,
30.95,
31.18,
31.25,
31.53,
31.6,
32.31,
32.51,
32.4,
32.29,31.518
32.56,31.59
32.92,31.7153333333333
32,31.7706666666667
32.03,31.8373333333333
33.24,31.984
33.14,32.1273333333333
32.99,32.2633333333333
32.62,32.3593333333333
32.98,32.4746666666667
33.03,32.5746666666667
32.89,32.6606666666667
33.26,32.724
33.47,32.788
33.29,32.8473333333333
32.76,32.8786666666667
33.11,32.9153333333333
33.01,32.9213333333333
33.68,33.0333333333333
32.53,33.0666666666667
32.18,32.996
32.25,32.9366666666667
32.95,32.934
32.9,32.9526666666667
31.67,32.8653333333333
32.12,32.8046666666667
33.03,32.814
32.77,32.7813333333333
32.1,32.69
32.74,32.6533333333333
32.79,32.6553333333333
31.8,32.568
31.91,32.4946666666666
31.59,32.3553333333333
31.17,32.2646666666666
30.2,32.1326666666666
30.55,32.0193333333333
30.76,31.8733333333333
31.42,31.7746666666666
31.13,31.7386666666666
31.41,31.6913333333333
32.14,31.632
32.64,31.6233333333333
32.56,31.654
33.16,31.682
33.05,31.6993333333333
33.43,31.808
34.02,31.9486666666666
34.14,32.1186666666666
33.92,32.302
33.58,32.5273333333333
33.72,32.7386666666666
33.54,32.9239999999999
33.79,33.0819999999999
33.4,33.2333333333333
33.7,33.3859999999999
33.8,33.4966666666666
34.18,33.5993333333333
33.63,33.6706666666666
33.67,33.7046666666666
34.11,33.7753333333333
34.75,33.8633333333333
34.83,33.9173333333333
34.97,33.9726666666666
35.25,34.0613333333333
35.29,34.1753333333333
35.96,34.3246666666666
36.37,34.5133333333333
36.14,34.6699999999999
35.25,34.7933333333333
34.67,34.8579999999999
34.87,34.9293333333333
35.2,34.9973333333333
35.62,35.1299999999999
34.98,35.2173333333333
35.73,35.3253333333333
35.19,35.3546666666666
34.18,35.3113333333333
33.94,35.2426666666666
33.91,35.1533333333333
34.5,35.1006666666666
34.27,34.9879999999999
33.16,34.7739999999999
33.04,34.5673333333333
32.99,34.4166666666666
33.4,34.3319999999999
33.7,34.2539999999999
34.22,34.1886666666666
32.88,34.0059999999999
32.72,33.8553333333333
32.33,33.6286666666666
32.19,33.4286666666666
31.84,33.2726666666666
31.25,33.0933333333333
31.63,32.9413333333333
31.18,32.7199999999999
31.63,32.544
32.08,32.472
31.16,32.3466666666666
30.8,32.2006666666666
31.19,32.0533333333333
31.91,31.934
32.65,31.8293333333333
32.2,31.784
32.46,31.7666666666666
31.14,31.6873333333333
31.58,31.6466666666666
32.34,31.68
32.43,31.7586666666666
32.91,31.844
33.05,31.9686666666666
