20110301 090100;133.9;134.01;133.9;133.98;3778
20110301 090300;134;134;134;134;400
20110301 090600;133.96;133.96;133.96;133.96;127
20110301 090800;133.98;133.98;133.96;133.96;5500
20110301 090900;133.96;133.96;133.95;133.95;10000
20110301 091000;133.98;133.98;133.98;133.98;100
20110301 091100;133.95;133.95;133.95;133.95;500
20110301 091200;133.93;133.93;133.93;133.93;500
20110301 091300;133.93;133.93;133.93;133.93;100
20110301 091400;133.9;133.9;133.88;133.88;900
20110301 091500;133.86;133.86;133.86;133.86;3500
20110301 091600;133.89;133.89;133.89;133.89;300
20110301 091700;133.89;133.89;133.89;133.89;300
20110301 091800;133.86;133.86;133.86;133.86;5000
20110301 092800;133.8;133.8;133.8;133.8;2000
20110301 092900;133.82;133.82;133.82;133.82;127
20110301 093200;133.8;133.8;133.8;133.8;100
20110301 094300;133.81;133.81;133.81;133.81;200
20110301 094900;133.77;133.77;133.73;133.73;950
20110301 095000;133.73;133.73;133.73;133.73;100
20110301 095300;133.81;133.81;133.81;133.81;200
20110301 095600;133.79;133.79;133.79;133.79;200
20110301 100000;133.8;133.8;133.8;133.8;100
20110301 100400;133.71;133.71;133.71;133.71;100
20110301 100900;133.7;133.7;133.7;133.7;2000
20110301 101400;133.81;133.81;133.81;133.81;1100
20110301 101600;133.8;133.8;133.8;133.8;200
20110301 102000;133.8;133.8;133.8;133.8;200
20110301 110400;133.76;133.76;133.76;133.76;1000
20110301 110700;133.66;133.67;133.66;133.67;500
20110301 110900;133.67;133.67;133.67;133.67;600
20110301 111000;133.65;133.65;133.65;133.65;10000
20110301 111100;133.63;133.63;133.63;133.63;100
20110301 111200;133.6;133.6;133.6;133.6;1000
20110301 112400;133.65;133.65;133.62;133.62;2000
20110301 112700;133.6;133.6;133.6;133.6;1000
20110301 113000;133.61;133.61;133.61;133.61;100
20110301 113900;133.59;133.59;133.58;133.58;25000
20110301 114000;133.57;133.57;133.57;133.57;5000
20110301 114200;133.6;133.6;133.6;133.6;2000
20110301 114500;133.58;133.58;133.58;133.58;500
20110301 114600;133.6;133.6;133.6;133.6;6537
20110301 114800;133.62;133.64;133.62;133.62;3100
20110301 114900;133.64;133.64;133.64;133.64;5000
20110301 115000;133.63;133.63;133.63;133.63;200
20110301 115100;133.63;133.65;133.63;133.65;1100
20110301 115300;133.63;133.63;133.63;133.63;100
20110301 115500;133.65;133.65;133.63;133.63;30900
20110301 115700;133.63;133.63;133.63;133.63;1000
20110301 115800;133.6;133.6;133.6;133.6;5000
20110301 115900;133.62;133.62;133.62;133.62;1537
20110301 120100;133.64;133.64;133.6;133.6;600
20110301 120200;133.61;133.61;133.61;133.61;2500
20110301 120300;133.6;133.63;133.6;133.63;2000
20110301 120400;133.64;133.64;133.63;133.63;800
20110301 120500;133.64;133.64;133.64;133.64;500
20110301 120600;133.63;133.63;133.61;133.61;3450
20110301 120700;133.55;133.58;133.55;133.58;5800
20110301 120800;133.55;133.55;133.55;133.55;12700
20110301 120900;133.56;133.56;133.5;133.5;28700
20110301 121000;133.53;133.53;133.53;133.53;3000
20110301 121100;133.51;133.54;133.5;133.5;21000
20110301 121200;133.5;133.52;133.5;133.52;15500
20110301 121300;133.5;133.51;133.45;133.45;35800
20110301 121400;133.43;133.45;133.43;133.43;30850
20110301 121500;133.41;133.41;133.4;133.4;13699
20110301 121600;133.4;133.4;133.33;133.33;34000
20110301 121700;133.33;133.36;133.3;133.35;26100
20110301 121800;133.36;133.38;133.35;133.35;21800
20110301 121900;133.35;133.35;133.35;133.35;3000
20110301 122000;133.38;133.43;133.38;133.38;24300
20110301 122100;133.4;133.41;133.39;133.4;69500
