Date,Open,High,Low,Close,Volume,Adj Close
2000-12-29,30.87,31.31,28.69,29.06,31655500,28.41
2000-12-28,30.56,31.12,30.37,31.06,25055600,30.37
2000-12-27,30.37,31.06,29.37,30.69,26441700,30.01
2000-12-26,31.50,32.19,30.00,30.94,20594800,30.25
2000-12-22,30.37,31.98,30.00,31.87,35568900,31.16
2000-12-21,27.81,30.25,27.31,29.50,46723300,28.84
2000-12-20,28.06,29.81,27.50,28.50,54440800,27.87
2000-12-19,31.81,33.13,30.12,30.62,58653400,29.94
2000-12-18,30.00,32.44,29.94,32.00,61640200,31.29
2000-12-15,29.44,30.08,28.19,28.56,15150000,27.92
2000-12-14,29.25,29.94,27.25,27.50,45894200,26.89
2000-12-13,31.94,32.00,28.25,28.37,37935600,27.74
2000-12-12,31.87,32.50,30.41,30.75,26481900,30.07
2000-12-11,30.50,32.25,30.00,31.94,50285200,31.23
2000-12-08,30.06,30.62,29.25,30.06,40054100,29.39
2000-12-07,29.62,29.94,28.12,28.31,41093000,27.68
2000-12-06,31.19,31.62,29.31,30.19,42128700,29.52
2000-12-05,29.44,31.50,28.94,31.50,59757500,30.80
2000-12-04,26.25,28.87,26.19,28.19,40710600,27.56
2000-12-01,26.37,27.87,25.50,26.44,48665500,25.85
2000-11-30,21.75,27.62,21.50,26.50,84386600,25.91
2000-11-29,23.19,23.62,21.81,22.87,75408100,22.36
2000-11-28,23.50,23.81,22.25,22.66,43078300,22.16
2000-11-27,25.44,25.81,22.87,23.12,45668100,22.61
2000-11-24,23.31,24.25,23.12,24.12,22446100,23.58
2000-11-22,23.62,24.06,22.06,22.31,53317000,21.81
2000-11-21,24.81,25.62,23.50,23.87,58651900,23.34
2000-11-20,24.31,25.87,24.00,24.75,89783100,24.20
2000-11-17,26.94,29.25,25.25,28.81,59639400,28.17
2000-11-16,28.75,29.81,27.25,27.37,37990000,26.76
2000-11-15,28.81,29.44,27.70,28.87,50655200,28.23
2000-11-14,27.37,28.50,26.50,28.37,77496700,27.74
2000-11-13,25.12,25.87,23.50,24.75,61651900,24.20
2000-11-10,26.44,26.94,24.87,25.44,54614100,24.87
2000-11-09,24.69,27.37,24.06,27.19,67281100,26.58
2000-11-08,27.37,27.50,24.50,24.81,63040000,24.26
2000-11-07,28.37,28.44,26.50,26.56,58950800,25.97
2000-11-06,30.69,30.69,27.50,27.94,75552300,27.32
2000-11-03,31.50,31.75,29.50,30.31,65020900,29.64
2000-11-02,32.44,32.50,27.25,29.56,149780300,28.90
2000-11-01,32.81,33.19,30.37,31.37,62690900,30.67
2000-10-31,32.63,34.75,32.50,33.00,41880900,32.27
2000-10-30,33.75,34.13,31.37,31.62,35424500,30.92
2000-10-27,34.50,35.19,33.00,34.19,34963600,33.43
2000-10-26,34.75,35.88,30.94,34.06,49993400,33.30
2000-10-25,36.50,36.63,34.00,34.38,33362500,33.61
2000-10-24,35.00,36.56,34.50,35.81,36714700,35.01
