Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,126.02,126.33,125.50,125.50,95599000,123.65
2011-12-29,125.24,126.25,124.86,126.12,123507200,124.26
2011-12-28,126.51,126.53,124.73,124.83,119107100,122.99
2011-12-27,126.17,126.82,126.06,126.49,86075700,124.62
2011-12-23,125.67,126.43,125.41,126.39,92187200,124.53
2011-12-22,124.63,125.40,124.23,125.27,119465400,123.42
2011-12-21,123.93,124.36,122.75,124.17,194230900,122.34
2011-12-20,122.18,124.14,120.37,123.93,225418100,122.10
2011-12-19,122.06,122.32,120.03,120.29,183903000,118.52
2011-12-16,122.23,122.95,121.30,121.59,220481400,119.80
2011-12-15,123.03,123.20,121.99,122.18,199109200,119.62
2011-12-14,122.56,123.03,121.47,121.74,238618800,119.19
2011-12-13,124.86,125.57,122.45,123.05,245159800,120.47
2011-12-12,124.95,124.97,123.16,124.21,215826100,121.61
2011-12-09,124.51,126.37,124.40,126.05,209111400,123.41
2011-12-08,125.90,126.18,123.65,123.95,240862800,121.35
2011-12-07,125.84,127.26,124.97,126.73,237802500,124.07
2011-12-06,126.21,127.11,125.76,126.26,178842100,123.61
2011-12-05,126.84,127.18,125.44,126.22,225263900,123.57
2011-12-02,126.12,126.50,124.78,124.86,221109700,122.24
2011-12-01,124.85,125.64,124.43,124.97,176954800,122.35
2011-11-30,123.49,125.22,120.00,124.99,324439500,122.37
2011-11-29,120.05,121.00,119.61,120.05,199241500,117.53
2011-11-28,119.54,120.18,118.82,119.71,210686000,117.20
2011-11-25,116.38,117.70,116.20,116.34,99557000,113.90
2011-11-23,118.07,119.19,116.56,116.56,224329100,114.12
2011-11-22,119.40,120.10,118.52,119.19,216494900,116.69
2011-11-21,120.20,120.35,118.65,119.66,229611600,117.15
2011-11-18,122.50,122.75,121.47,121.98,215580400,119.42
2011-11-17,123.85,124.16,121.23,122.11,331219600,119.55
2011-11-16,124.81,126.34,123.90,124.08,235782500,121.48
2011-11-15,125.17,126.75,124.72,126.08,184709400,123.44
2011-11-14,126.19,127.45,124.92,125.46,159258300,122.83
2011-11-11,125.83,126.99,125.79,126.66,189924400,124.00
2011-11-10,124.79,124.94,123.02,124.32,231866500,121.71
2011-11-09,124.89,125.80,122.86,123.16,337982000,120.58
2011-11-08,126.92,128.02,125.71,127.88,224426300,125.20
2011-11-07,125.39,126.39,124.20,126.26,196617200,123.61
2011-11-04,125.23,125.70,124.01,125.48,249401600,122.85
2011-11-03,125.27,126.50,123.60,126.25,291174800,123.60
2011-11-02,123.83,124.40,122.79,123.99,245529400,121.39
2011-11-01,122.03,123.51,121.52,122.00,416565800,119.44
2011-10-31,127.16,128.62,125.32,125.50,228146700,122.87
2011-10-28,128.00,128.85,127.80,128.60,225906500,125.90
2011-10-27,127.63,129.42,126.61,128.63,393220200,125.93
2011-10-26,124.35,124.77,122.21,124.30,289053800,121.69
2011-10-25,124.89,124.95,122.78,123.05,268596800,120.47
2011-10-24,124.17,125.80,124.06,125.49,203215600,122.86
2011-10-21,123.09,124.12,122.72,123.97,278999400,121.37
2011-10-20,121.43,122.10,119.82,121.66,262075600,119.11
2011-10-19,122.38,123.08,120.71,121.13,226601300,118.59
2011-10-18,120.14,123.50,119.20,122.58,318857900,120.01
2011-10-17,121.99,122.55,119.93,120.23,202311600,117.71
2011-10-14,121.91,122.60,121.23,122.57,211397600,120.00
2011-10-13,120.04,120.87,119.12,120.51,212159600,117.98
2011-10-12,120.60,122.14,120.33,120.75,281544900,118.22
2011-10-11,118.87,120.04,118.75,119.70,209088000,117.19
2011-10-10,117.68,119.63,117.67,119.58,230666300,117.07
2011-10-07,117.17,117.25,115.06,115.71,312657900,113.28
2011-10-06,114.36,116.66,113.51,116.49,257800800,114.05
2011-10-05,112.62,114.72,111.58,114.42,284108000,112.02
2011-10-04,108.35,112.58,107.43,112.34,459177500,109.98
2011-10-03,112.49,113.95,109.81,109.93,365136800,107.63
2011-09-30,114.45,115.45,113.07,113.15,288392300,110.78
2011-09-29,117.05,117.63,113.93,116.05,298108900,113.62
2011-09-28,117.78,118.49,114.97,115.14,286696800,112.73
2011-09-27,118.53,119.56,116.84,117.54,311753900,115.08
2011-09-26,114.61,116.40,112.98,116.24,260673700,113.80
2011-09-23,112.11,114.16,112.02,113.54,307242500,111.16
2011-09-22,113.25,114.21,111.30,112.86,513911300,110.49
2011-09-21,120.23,120.60,116.44,116.63,316251300,114.18
2011-09-20,120.82,121.99,120.01,120.17,218932200,117.65
2011-09-19,119.53,120.93,118.72,120.31,241517000,117.79
2011-09-16,121.29,121.97,120.32,121.52,284528300,118.97
2011-09-15,120.65,121.47,119.40,121.43,326777200,118.27
2011-09-14,118.34,120.80,116.72,119.37,319389500,116.27
2011-09-13,117.05,118.18,116.22,117.74,272514700,114.68
2011-09-12,114.47,116.76,114.05,116.67,305793500,113.64
2011-09-09,117.68,119.06,115.28,115.92,380195100,112.91
2011-09-08,119.57,120.94,118.77,119.04,250568200,115.94
2011-09-07,118.76,120.34,118.36,120.29,209803200,117.16
2011-09-06,114.39,117.16,114.38,116.99,285130500,113.95
2011-09-02,118.42,120.87,117.43,117.85,255517200,114.79
2011-09-01,122.29,123.40,120.78,120.94,254585900,117.80
2011-08-31,122.46,123.51,121.30,122.22,301828400,119.04
2011-08-30,120.83,122.43,119.26,121.68,241315700,118.52
2011-08-29,119.56,121.43,118.06,121.36,190977200,118.20
2011-08-26,115.69,118.51,113.85,117.97,314495900,114.90
2011-08-25,118.73,119.40,115.87,116.28,312365400,113.26
2011-08-24,116.19,118.24,115.92,118.08,246869700,115.01
2011-08-23,113.15,116.57,112.58,116.44,331136600,113.41
2011-08-22,115.17,115.23,112.41,112.73,275090600,109.80
